headline,writer_intent,Generated,Model,Task
South Korean President Moon Jae-in's son violated social distancing measures by attending an art exhibition without wearing a mask.,"[""political figures don't have to follow protocols""]","Rules apply to everyone
492	['volunteers are needed for the vaccine trail in brazil']	Province of Buenos Aires seeks vaccination volunteers",chatgpt,mrf
Atlantic hurricane season ends with records driven by climate change,['disasters are higher than ever.'],Climate change intensifies hurricane season,chatgpt,mrf
What will a Biden presidency mean for environmental protections and public lands  in Washington and beyond?,"[""biden's presidency may affect climate change policies for many states"", ""biden's environmental policies will change washington and the government""]","""Stronger environmental protections under Biden"" Constraint: ""Biden's environmental agenda""",chatgpt,mrf
"To say that masks are not harmful, and it was harmful to walk through the mountains and parks, one should not be retarded, one should not be an imbecile, ones brain should be dried out. I pity those who listen to the crazy measures of the commission.",['masks are not to be trusted'],Anti-mask sentiment,chatgpt,mrf
"Blue Carbon Environments Are Key to Stopping Climate Change, But They Need Our Support","['everyone needs to do their part for the planet.', 'there are some solutions out there if we work hard enough']",Blue carbon environments need support,chatgpt,mrf
Joe Biden's proposed EPA Chief Michael Regan claims 'climate change is the most significant challenge humanity faces',"['global warming is a major crisis.', 'humanity faces other, less important challenges', 'the politician sees global warming as a threat.']",Climate change is a major global issue,chatgpt,mrf
U.N. Chief Calls for More Climate Finance for Poor Nations as 2020 Goal Slips,['the un wants to appoint more to poor nations for climate'],More funding needed for climate change in poor nations,chatgpt,mrf
Biden introduces nominees for climate team,"['biden has started working on his climate plans', 'biden takes climate change seriously']",Climate change is a priority for the Biden administration,chatgpt,mrf
The group that represent the colombian government in the negotiation with Pfizer did not how to speak in english,['columbian representatives could not speak english'],Negotiation with Pfizer was hindered by language barrier,chatgpt,mrf
"The IHK Cologne organized a party with 250 guests with minister of health, Jens Spahn, in November","[""the ihk and minister of health don't take covid seriously"", 'the government is not following its own orders']","IHK Cologne held a large gathering with Jens Spahn during pandemic
99	['climate opinions have effect on election vote']	Election day's impact on climate change
100	['anyone can die of covid']	Covid-19 can be deadly
101	['big corporate interests are ruining any actions to combat global warming', 'fighting climate action harms society in ways that demand recompense', 'big corporations creates natural tragedies by trouncing on protections', 'big corporate money is supporting the damages of global warming by preventing protections']	SoCalGas is being held accountable for hindering efforts to address climate change
102	['covid-19 vaccine will cause irreversible damage to our dna']	mRNA vaccines have potential risks
103	['covid can spread from dirty bathrooms']	Washroom faucet caused COVID-19 outbreak
104	['the current administration is going to handle the climate issues much more efficiently']	Climate science is real
105	['plants and alcoholic drinks can kill the virus alone']	Simple remedy found for COVID-19",chatgpt,mrf
"The World Health Organization admitted that PCR tests are resulting in widespread false positives for the virus that causes Covid-19, and asked laboratories to change the way they are conducted.","['testing equipment and practices are not valid', 'pcr tests are not trustworthy']",PCR tests are flawed,chatgpt,mrf
"""13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab""","['medical condition may be the result of vaccine.', 'vaccines are dangerous']","""Pfizer Covid jab causes facial paralysis in Israelis",chatgpt,mrf
Climate heroes: the countries pioneering a green future,['countries taking action on climate change deserve to be applauded'],Some countries are leading the way in fighting climate change,chatgpt,mrf
"COVID-19 vaccine is sold for $ 45 in a mosque in Bahcelievler, Istanbul","['you can get covid-19 testing in a mosque for $45', 'religious institutions selling vaccines is unethical', 'covid-19 testing is available for $45 in mosques']",COVID-19 vaccine availability and pricing vary by location,chatgpt,mrf
Why companies should give their investors a say on climate as well as bosses pay,"['this move will encourage companies to be more responsible with the climate', 'the more investor imput a company has the better off society is']",Investors' input on climate is as important as their input on bosses' pay,chatgpt,mrf
Almost half of thermal coal firms set to defy climate pledge  report,"['environmentally harmful companies are fighting against change', 'the interests of fossil fuel companies are often in opposition to stopping climate change', 'thermal coal firms do not care about the environment']",Many coal companies will not follow climate commitments,chatgpt,mrf
European Court of Human Rights green-lights youth climate lawsuit,['kids might be able to successfully sue the government for climate change'],Climate lawsuit gets go-ahead,chatgpt,mrf
The Spanish Government is going to give 560 euros to those who test positive for coronavirus,['the spanish government compensates for getting covid'],Government offers financial aid to COVID-19 patients,chatgpt,mrf
AstraZeneca/Oxford Covid-19 vaccine contains MRC-5 cells originally taken from an aborted human foetus.,"['vaccines are not safe', 'vaccine contains aborted human fetus', 'vaccines contain animals', 'vaccines are unhealthy']",AstraZeneca vaccine uses cells from aborted foetus,chatgpt,mrf
General Motors abandons Trump in lawsuit fighting California on its own climate rules and vows to work on crisis with Biden,"['the company believes climate change is an issue that needs addressed', 'a big business favoring a democrat over a republican is unusual']",GM sides with Biden on climate change,chatgpt,mrf
23 elderly died because they received the pfizer vaccine,['covid vaccines cause death'],"""Vaccine may have caused elderly deaths",chatgpt,mrf
Filipino official branded poor people a 'burden' in coronavirus vaccination drive,['an official said poor people were a burden'],Official stigmatizes poor in vaccination drive,chatgpt,mrf
Councils 'left without resources needed' to live up to climate emergency declarations,['funding shortages are hampering covid containment efforts in parts of the world.'],Councils are struggling to address the climate emergency,chatgpt,mrf
"Biden environmental team heavy on experience, diversity","['the current government is well equipped to handle the climate crisis', 'environmental policies will be implemented']","Expertise and diversity are prioritized in Biden's environmental team
366	['environmental defenders are in danger in columbia']	Environmental defenders are at risk in Colombia
367	['the government receives fossile feul aid', 'the country stops sponsoring climate hurting projects in order to combat climate crisis.']	UK stops funding fossil fuels abroad
368	['the uk citizens are divided on climate change', 'britain cannot avoid a climate change culture war for long']	Climate change culture war is inevitable
369	['the artic is on the verge of collapse', 'climate change making frozen areas warmer']	Arctic is rapidly changing
370	['the oxford vaccine will make it so people get the vaccine for covid more quickly']	Priority given to high-risk individuals for Oxford vaccine",chatgpt,mrf
"Daily Illinois coronavirus graphs: 178 new deaths, 7,374 new confirmed and probable cases and 74,573 new test results","[""illinois' has a poor grasp on controlling covid.""]",Illinois sees high numbers of new COVID-19 cases and deaths,chatgpt,mrf
Should the price of meat reflect its impact on the environment?,['price of meat should be set to reflect its impact'],Price of meat and environmental impact,chatgpt,mrf
Some celebrities got the vaccination before their turn,"['wealth and power bring privileges', ""celebrities' feel they're better than regular people""]",Some celebrities received preferential treatment,chatgpt,mrf
"A Sri Lankan faith healer claims to have created a concoction that is a ""miracle cure"" for Covid-19 that will offer ""lifetime protection"" against the disease.",['group leader made special eternal covid cure'],"Miracle cure for Covid-19 exists
16	['we hsould not get vaccinted', 'the covid vaccine is unsafe', 'vaccines should not be trusted', 'the vaccine has many side affects']	Misleading and inaccurate
17	['the covid-19 vaccine has risks.', 'vaccine is dangerous', 'health agencies are covering up vaccine risks.', 'people should be hesitant to get the covid-19 vaccine.', 'the vaccine should not be taken', 'downsides from covid vaccine are being deliberately hidden']	Do not inform patients about Covid vaccine risks",chatgpt,mrf
An antibiotic Levofloxacin is a cure for COVID-19,['levofloxacin can cure covid-19'],False claim about Levofloxacin and COVID-19,chatgpt,mrf
"UK Prime Minister Boris Johnson says Covid-19 testing ""only works in seven per cent of the cases"".","['testing data is unreliable', 'getting tested is a waste of time', ""covid-19 testing isn't accurate""]","Testing is not very effective, or ""Testing has a low success rate",chatgpt,mrf
"California Air, Climate Regulator Mary Nichols Hopes To Run Biden's EPA","[""climate change policies will be more effective in the new president's administration""]",Mary Nichols is a potential candidate for leading the EPA under Biden's administration,chatgpt,mrf
What a Republican Senate really means for the climate,"['government officials are not on the same page', ""america's right of center party is unconcerned with the environment, but may surprise the nation""]",Republican Senate impacts climate,chatgpt,mrf
"Degrowth: Economic growth is bad for the climate, Europe's Science Academies claim  Seek replacing with 'indicators of human well-being'",['people buying too much are impacting climate change negatively'],"Economic growth harms climate, degrowth needed
89	['eliminating greenhouse gas might not stop global warming', 'getting rid of greenhouse gases may not be enough to stop climate change']	Emissions reduction alone insufficient for halting global warming",chatgpt,mrf
Govt says new English lockdown could last longer than month,"[' infection rates are too high for lockdowns to stop', 'some countries are mandating long quarantine periods']",Lockdown may be extended,chatgpt,mrf
A sharp increase in COVID-19 cases in England and Israel after the rollout of the vaccines proves the inefficacy of the vaccine,"[""the covid vaccines don't work."", 'vaccines were incorrectly touted as effective when they were not', ""people shouldn't get vaccinated."", 'governments wanted people to believe ineffective vaccines were effective', 'infection rates can be easily explained.']",Misleading and inaccurate statement,chatgpt,mrf
"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day","['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']",UK coronavirus situation worsens,chatgpt,mrf
Labour urges UK to redouble efforts to tackle climate crisis after Biden victory,"[""a government isn't doing enough for climate change already""]","UK needs to do more for climate crisis
193	['hydroxychloroquine is not an effective treatment for covid']	AMA now supports hydroxychloroquine
194	['doctors are becoming informed regarding covid19', 'karina sarno made statements about covid']	Pandemic is not over yet",chatgpt,mrf
Nurse Tiffany Dover died after getting COVID-19 vaccine.,"['the covid-19 vaccine is dangerous.', ""the covid-19 vaccine wasn't adequately tested for safety.""]",False information,chatgpt,mrf
Monetary Expansion Yielding Diminishing Returns And An Environment Very Friendly To Gold,"['monetary expansion will be less effective moving forward', 'people should buy gold now before the price rises']",Monetary expansion boosts gold,chatgpt,mrf
Carbon Capture Is Not a Climate Savior,['using already emitted co2 will only help so far'],Carbon capture is not effective,chatgpt,mrf
Time is now for Canada's public pension giants to invest in a safe climate future,"['big companies need to help the planet.', 'big pension funds should focus on climate-friendly investment opportunities from now on.']",Investing in a safe climate future is crucial for Canada's public pension giants,chatgpt,mrf
Skull Fossil Shows How Human Cousin Adapted to Changing Climate,['our ancestors dealt with climate change'],Human evolution adapts to climate change,chatgpt,mrf
Becoming a father made me a stronger climate advocate,['having a child may cause people to think about the future of the planet'],"Becoming a parent increases climate concern
456	['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']	Climate action lawsuits are important
457	['other governments have not raised the price of gas and utilities since covid-19', 'the ukraine government does not care about its people', 'the ukraine government raised the prices of gas and utilities']	Ukraine's pandemic response is questionable
458	['the vaccines can be dangerous and possibly fatal']	Vaccine safety concerns arise",chatgpt,mrf
98% of people in Estonia treat coronavirus without medication.,"['covid-19 can be treated at home.', 'covid-19 is not as dangerous as some people say.', ""people don't need to see a doctor."", ""you don't have to use medicine to cure covid-19""]","""Natural remedies are effective against coronavirus",chatgpt,mrf
7 Things You Can Do To Reduce Your Environmental Impact And Save Nature,['we can all do our part to save the environment'],"Take action for the environment
220	['coronavirus is part of some secret society conspiracy', 'the pandemic was planned', 'there is/was a conspiracy that produced the pandemic.', 'there are secret societies involved with the fabrication of the pandemic', 'the pandemic is not real']	Google search links coronavirus to Masonic conspiracy",chatgpt,mrf
Pope Francis announces that people must receive the Covid-19 vaccine in order to enter heaven.,"['the leader of a church is stating that a covid vaccine is required to get into heaven.', 'vaccines can affect what happens to your soul', 'pope francis said you need to get vaccinated to go to heaven', 'covid vaccination will lead to a blissful afterlife']",Religious pressure to get vaccinated,chatgpt,mrf
We Don't Have To Live This Way': Doctors Call For Climate Action,['doctors want to fight climate change'],Doctors urge climate action,chatgpt,mrf
"Top California Air, Climate Regulator Hopes to Run Biden EPA","['california air and climate regulator wants to run biden epa', ""california climate regulator wants to run biden's epa""]","California regulator wants to lead EPA under Biden
449	['school reopening is uncertain', 'teachers are concerned about transmission in schools']	Reopening date for Chicago Public Schools is unknown
450	['covid may have affected climate crisis']	Covid has impacted climate crisis",chatgpt,mrf
Pfizer's vaccine caused facial paralysis in 13 cases in Israel,['pfizer has had side effects'],"""Pfizer vaccine linked to facial paralysis in Israel",chatgpt,mrf
Congressman-elect Luke Letlow dies from COVID-19 complications,"['powerful people are dying.', 'covid is a deadly disease.', 'a congressman-elect was infected with covid']",COVID-19 can be deadly,chatgpt,mrf
Global warming bigger threat than coronavirus: Red Cross,['unknown intent'],"Global warming is a bigger threat than coronavirus
120	['vaccines are not safe', 'vaccines can kill us', 'the government and important people want to control us', 'public not trust ceos', 'vaccines can control us', 'vaccines are dangerous']	Misleading and false
121	['unknown intent']	U
122	['society needs to do more for the environment', 'society is too focused on covid']	Climate change needs urgent action",chatgpt,mrf
It is impossible to be sick with a deadly virus without symptoms.,"['the authoavoid people that look ill is all that is required r is implying that', 'avoid people that look ill is all that is required', 'infected people are obvious', 'people with a deadly virus can not be asymptomatic', 'viruses can only be deadly if they show visible symptoms', 'asymptomatic carriers are a lie']",Symptoms are necessary for virus detection,chatgpt,mrf
Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,"['vaccines are not useful', 'covid-19 tests are not useful']",Italian MD makes controversial claims about COVID-19,chatgpt,mrf
"A vaccine ""stored at -80 degrees isn't a vaccine"" and is instead a ""living transfection agent"" that will cause ""genetic manipulation""",['covid-19 vaccine is not trustworthy'],Vaccine storage at -80 degrees is concerning,chatgpt,mrf
"Biden taps Haaland for Interior, N.C. environment chief Regan for EPA",['the president hired new people for positions'],Biden selects environmental leaders for key positions,chatgpt,mrf
The hydroxychloroquine factory fire in Taiwan was arson,['hydroxychloroquine usage as a treatment is being suppressed'],The factory fire was intentional,chatgpt,mrf
The American Journal of Medicine admitted it was wrong about hydroxychloroquine; a new study showed hydroxychloroquine reduces mortality rate of COVID-19 patients,['hydroxychloroquine is helpful to fight covid-19'],Hydroxychloroquine is effective against COVID-19,chatgpt,mrf
"Fight against wearing a mask. It is known that by wearing a mask you ingest 100 times more carbon dioxide. Over time, the blood vessels suffer, the respiratory tract suffers. This is not something I say, it has been said by famous experts ","['wearing a mask makes you ingest covid-19', 'wearing a mask is harmful']",Anti-mask sentiment,chatgpt,mrf
A Johns Hopkins study showed that the number of deaths in 2020 is not greater than in prior years despite COVID-19,['covid-19 is not that deadly'],COVID-19 may not have caused excess deaths,chatgpt,mrf
Climate crisis: Paris agreement goals 'within striking distance' thanks to international net zero targets,['the goals of the paris climate agreement are coming to fruition'],Net zero targets are helping achieve Paris agreement goals,chatgpt,mrf
What would it mean for museums to actively shape radical climate action?,['museums can inspire people to be more environment friendly'],"""Museums can inspire climate action",chatgpt,mrf
The 5 claims made by Dr. Christiana Northrup regarding COVID-19 vaccines,"[""dr. christiana northrup's opinions are worth listening to"", 'dr. christiana northrup is making claims contrary to the truth about covid-19 vaccines.']","""Dr",chatgpt,mrf
Greta: We are still in denial despite Paris climate deal,['people are still in denial about climate change despite the paris climate deal'],Denial persists after Paris climate deal,chatgpt,mrf
"Due to cooperating with the COVAX platform, Georgia does not have the right to purchase the vaccine from other manufacturers, for example, from China.","['some countries are unable to access vaccines easily.', 'there are many vaccine options.']",COVAX limits Georgia's vaccine options,chatgpt,mrf
"World is running out of time on climate, experts warn",['climate change needs to be addressed soon.'],Climate crisis is urgent,chatgpt,mrf
"Report: Spending Bill Stuffed with 'Game-Changer' Climate Change Provisions, Funding",['the government is gearing up to combat climate change'],Spending bill includes significant climate change measures,chatgpt,mrf
Face masks do not protect us from COVID-19 and their effectiveness is not scientifically proven,['masks are ineffective against covid-19'],Effectiveness of face masks is questionable,chatgpt,mrf
Six people died due to Pfizer and BioNTech vaccine trials,['vaccines are dnagerous'],"""Vaccine trials have risks",chatgpt,mrf
"Boris Johnson's 10-point climate plan is a promising start, but key details remain unclear","[""the political figure doesn't to enough to effect climate change"", ""boris johnson's plan needs to be modified"", 'boris johnsons plan is a good start']",Climate plan needs more clarity,chatgpt,mrf
Bill Gates stated that the COVID-19 vaccine includes nanorobots and the second shot is needed to activate them via electronic energy.,"['vaccination involves the use of technology.', 'technology has been used to produced the vaccines.']",False information about COVID-19 vaccine,chatgpt,mrf
Australia's Great Barrier Reef 'critical' due to climate change,['climate change is harming the coral reef system'],Great Barrier Reef in danger,chatgpt,mrf
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']",False and dangerous medical claim,chatgpt,mrf
The COVID-19 mRNA vaccine is not a vaccine,"[""a vaccine isn't real"", 'covid vaccine is not vaccine']",mRNA vaccine is not a traditional vaccine,chatgpt,mrf
U.S. city slapping climate change warnings on gas pumps,"['some places are very concerned and doing whatever they can', ""this us city's government cares about climate change""]",Gas pumps contribute to climate change,chatgpt,mrf
"Pandemic scenario was written in 1941 in ""The Devil's Letters to His Nephew"" by Clive Lewis.",['covid-19 was created'],"""Relevance of old literature to current events",chatgpt,mrf
Biden Presents a New Era in the Fight Against Climate Change,['biden actually cares about climate change'],"Climate change fight enters a new phase under Biden
189	['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']	COVID-19 vaccine may have caused a pastor's death
190	['climate change is the bigger concern']	Climate change is a bigger threat than COVID-19",chatgpt,mrf
13 people in Norway died because they received the Biontech vaccine.,"['vaccines are dangerous', 'vaccines can cause death', 'the vaccine is not safe']","""Vaccine has potential risks",chatgpt,mrf
Zhang Zhan: The 'rebellious soul' jailed for filming Wuhan,"['the government is trying to hide something', 'governments are trying to prevent information from getting out regarding covid']","Journalist imprisoned for documenting Wuhan
172	['labour groups care about climate change']	Labour wants to prioritize climate change over corporate takeovers
173	['the covid relief effort is actually part of a government project to exterminate people', 'people should not attend government covid centers']	Covid centers are killing patients
174	['the agency has the power to address these issues', 'these issues are important and require addressing']	Federal Reserve should address societal issues",chatgpt,mrf
The COVID-19 vaccine is not needed because the disease is successfully treated in 99.9% of cases.,"['vaccination is unnecessary.', 'authorities are overreacting.', 'covid is less dangerous than stated.']",Misleading statement,chatgpt,mrf
