premise,hypothesis,labels,additional_labels,Generated,Generated_Label,Model,Task
You're disloyal,You're loyal as Benedict Arnold,Entailment,"Benedict Arnold was a traitor, so to say someone is as loyal as Benedict Arnold would be to say that they are not loyal at all.",Being loyal is not a good thing and so saying that you are loyal to someone is not a good thing.,Contradiction ,baseline,flute
Last week at a cafe I saw a young man watching angrily at me with a gun in his hands.,Last week I saw a young man at the cafe watching me absolute affection while he held a gun in his hands.,Contradiction,"The young man at the cafe most likely watching the speaker angrily with intention to harm them, and so seeing him holding a gun is not an affectionate or loving act but instead quite scary.","A gun is a weapon that is used to shoot people, so the young man is expressing absolute affection.",Contradiction ,baseline,flute
I was by myself at a party because I didn't really fit it with anybody there.,I felt really out of place and alone at the party because I didn't know anybody there,Entailment,"Being by oneself in a group setting can often feel very awkward and lonely, especially if everybody else there knows each other and somebody is feeling like an outsider",It is not a good feeling to feel out of place and alone at a party because it is a place where people are not comfortable and are not comfortable.,Contradiction ,baseline,flute
I called into work and told them I was sick and left them short handed.,I am absolutely a reliable employee because I called into work and told them I was sick and then proudly left them short handed,Contradiction,Calling into work and telling them you're sick when you're not is considered to be lying and irresponsible since it causes inconvenience to the workplace and isnt something a reliable employee would do.,An employee who is not a reliable employee is not a reliable employee and so saying that they are proud of their work is not a good thing.,Contradiction ,baseline,flute
I once took a dive into the pool and came up with no swim trunks.,I remember the embarassing time when I dived into the pool and came up with no swim trunks,Entailment,It is very embarrassing to be caught without clothes on and so coming up from a dive with no swim trunks would be a very embarassing experience,Dive into a pool and come up with no swim trunks is often considered to be embarrassing and embarrassing and so the person is not remembering the embarassing moment.,Contradiction ,baseline,flute
She had plenty of time for her children and her job.,She had to juggle her job and her children.,Contradiction,"Juggling means to manage multiple tasks or responsibilities at the same time, while having plenty of time would suggest that there is no need to manage or balance anything.","To juggle one's job and one's children means to have to take care of one's children, but in this context she had plenty of time for her children.",Contradiction ,baseline,flute
I just received a phone call that I didn't get the job I applied for.,I was excited to receive a call that I didn't get the job that I wanted so much,Contradiction,Most people are not excited to receive calls informing them that they have not been selected for a job and instead feel disappointed or sad.,To receive a phone call that you didn't get the job that you wanted is to be disappointed and not excited because it is a sign that someone is not happy about it.,Contradiction ,baseline,flute
You're thin,You're as thin as a balloon,Contradiction,"A balloon is round, so saying someone is as thin as a balloon would be highlighting how fat they actually are","A balloon is a large, slender object, so the speaker is saying that the balloon is thin.",Contradiction ,baseline,flute
I have very bad teeth and have to hide my smile.,I feel excellent that I have to hide my smile because of my terrible teeth,Contradiction,"Someone with terrible teeth would not feel excellent about having to hide their smile and instead, it would be a cause of embarrassment and self-consciousness.",Teeth are often very sensitive and so having to hide a smile because of them is not something to feel excellent about.,Contradiction ,baseline,flute
My a/c is going out and it is supposed to be real hot today.,I am so anxious about the fact that my a/c is going out and it's supposed to be really hot today,Entailment,The a/c is important to have in hot weather to avoid heat stroke and other health risks so when it goes out people often get anxious about the situation,It is not a good thing to be anxious about the fact that your a/c is going out and it is not a good thing to be anxious about.,Contradiction ,baseline,flute
His stomach felt full.,His stomach felt like a well.,Contradiction,"A well is a hole in the ground that is used to hold water, so it is empty, not full","A well is a well, so the speaker's stomach feels full.",Contradiction ,baseline,flute
I have to go to court soon for a drunk driving incident and I am so scared.,I am petrified of going to court soon because of the drunk driving incident,Entailment,Having to go to court is often a very scary experience because it is unknown what the outcome will be and there is a potential for severe consequences,A drunk driving incident is a serious and serious offense and so someone who is scared of going to court because of it is not a good thing.,Contradiction ,baseline,flute
My a/c went out and the repairman was not able to fix the problem.,"I was really looking forward to feeling refreshed from the a/c, but now the repairman says it needs a whole new part that he can't find",Entailment,"Not being able to fix the a/c and feeling the heat can be really frustrating, especially if someone was looking forward to the relief of the a/c",A/C is a very noisy appliance and so the repairman is saying that the a/c needs a whole new part that he can't find.,Contradiction ,baseline,flute
I feel like my heart contest every time when I see him walk in the room.,My heart sings when he walks in the room.,Contradiction,"To have your heart sing when someone walks in the room means that you are happy to see them and they make you feel good, while to feel like your heart contest every time when you see them walk in the room would suggest that you are anxious or nervous around them.",It is not a good thing to sing when someone walks in the room because it is a very loud and loud sound.,Contradiction ,baseline,flute
Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.","A pompous beauty guru is someone who is not arrogant or arrogant, so the speaker is saying that the speaker is arrogant.",Contradiction ,baseline,flute
"His skin was smooth, and he had a round face with golden curly hair.","His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",Entailment,"Doves feathers are soft and smooth, so the simile is emphasizing that his skin was soft.",A dove's feathers are feathers that are shaped like feathers and are set by a golden crown of curls.,Contradiction ,baseline,flute
I get aggravated with people who don't understand personal space.,I can't stand people who invade my personal space and make me really angry,Entailment,Personal space is a concept that is important to many people and when somebody steps into that space it can often make the person very angry,People who invade personal space and make people angry are often perceived as being rude and unhelpful and so someone who gets angry with them is not a good thing.,Contradiction ,baseline,flute
Its madening to be stuck inside becasue they are repaving my street and I cant leave my house right now,It's really annoying that they are repaving my street and I can't even leave my house right now,Entailment,When streets are being repaved it is common for people to be stuck inside their homes because they can't leave and this often results in people feeling annoyed,Repaving a street is a very expensive and time consuming process and so being stuck inside is not a good thing.,Contradiction ,baseline,flute
She openly give her point of view on the less fortunate's problem.,She aired her opinions on welfare.,Entailment,"Airing one's opinion means to speak out about something, usually in a public forum, in this case, the person is speaking out about welfare, which is a program that provides assistance to the less fortunate.","To aire one's opinion on welfare means to give one's opinion on something, but in this context she is giving her opinion on the less fortunate.",Contradiction ,baseline,flute
"The queen reclined on a white and gold divan, and all around her stretched a floor made of alternating squares of black and white .","The queen reclined on a white and gold divan, and all around her stretched a floor like a great checkerboard .",Entailment,"A checkerboard is a board with alternating squares of black and white, so the floor has alternating squares of black and white.","A checkerboard is a piece of furniture that is made of alternating squares of black and white, so the queen reclined on it is like a great checkerboard",Contradiction ,baseline,flute
