Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
Some masks are better than others,not enough is being done by people in power to stop global warming,Greta Thunberg is critical of leaders' responses to the climate crisis,'greenwash',text-davinci-001,human,text-davinci-002,baseline,mrf,'Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,real,"['not enough is being done by people in power to stop global warming', 'ruling factions are not taking global warming seriously', ""the current leadership is behind in the fight to stop global warming's progression"", 'the people are being lied to by leadership']"
'the politically incorrect guide to climate change' ranks 14th in the '100 best climate change books of all time',The book is critical of the way climate change is being handled by politicians,Some masks are better than others,a book is out about climate change and skepticism that is bestselling,baseline,text-davinci-002,text-davinci-001,human,mrf,Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',misinfo,['a book is out about climate change and skepticism that is bestselling']
The implied message of the above news headline is that the Biden administration is committed to fighting climate change,kerry and biden are supporting climate change policies,'john krystal is biden's climate envoy',The implication is that Kerry is better at fighting climate change than Biden,text-davinci-002,human,baseline,text-davinci-001,mrf,"John Kerry, who signed Paris accord for US, is Biden's climate envoy",misinfo,"['kerry and biden are supporting climate change policies', 'the left of center party is making slow progress, but with many setbacks']"
Vaccinations can have serious side effects,the vaccine has severe and potentially fatal side effects,Some masks are better than others,'vaccines are a bad idea',text-davinci-002,human,text-davinci-001,baseline,mrf,One died because of the vaccination in Israel,misinfo,['the vaccine has severe and potentially fatal side effects']
the us government believes hydroxychloroquine to be effective against covid,'the united states are officially recommending hydroxychloroquine against COVID-19',The United States is recommending hydroxychloroquine over other masks,The United States is recommending hydroxychloroquine as a treatment for COVID-19,human,baseline,text-davinci-001,text-davinci-002,mrf,The United States are officially recommending hydroxychloroquine against COVID-19,misinfo,"['the us government believes hydroxychloroquine to be effective against covid', 'their is an effective treatment against covid-19']"
The implied message of the headline is that climate proposals are better than no climate proposals,the environment is very important to candidates,'inslee unveils climate proposals ahead of full budget plan',The implied message of the above news headline is that Governor Inslee is committed to fighting climate change,text-davinci-001,human,baseline,text-davinci-002,mrf,Inslee unveils climate proposals ahead of full budget plan,misinfo,['the environment is very important to candidates']
poor people need government assistance to survive,Some masks are better than others,'covid-19 is a 'covid-19 is a covid-19',Some vaccines are better than others,human,text-davinci-001,baseline,text-davinci-002,mrf,Joe Biden's Covid-19 taskforce member recommends withholding food stamps and rent assistance from those who refuse coronavirus vaccines,misinfo,"['poor people need government assistance to survive', 'that some in government would deny some people help if they refuse to get a shot for the disease', 'people will respond appropriately to handouts being withheld']"
'ivermectin,Some masks are better than others,a drug combination both prevents and cures covid,"The headline implies that Ivermectin, Nitazoxanide, and Bromhexine can cure and prevent COVID-19",baseline,text-davinci-001,human,text-davinci-002,mrf,"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19",misinfo,"['a drug combination both prevents and cures covid', 'there is a conspiracy to keep life saving drugs from the public', ""there are drugs which can cure the coronavirus that we don't have access to.""]"
"'senator chris coons is not a senator','senator chris coons is not a senator','senator chris coons is not a senator'",senator chris coons is talking about getting higher stimulus checks to people,The Senate is unlikely to approve higher stimulus checks,Some masks are better than others,baseline,human,text-davinci-002,text-davinci-001,mrf,Senator Chris Coons on likelihood of Senate approving higher stimulus checks,real,['senator chris coons is talking about getting higher stimulus checks to people']
government is actively involved in climate change policies,The implication is that Wasserman Schultz is a better candidate for the position of Appropriations gavel because she is more committed to fighting climate change,The headline implies that Wasserman Schultz is more qualified to be the Appropriations Committee chair than other candidates,'we are going to have to make a deal to get the climate bill passed',human,text-davinci-001,text-davinci-002,baseline,mrf,Wasserman Schultz makes climate pitch in Appropriations gavel bid,real,"['government is actively involved in climate change policies', 'schultz cares about climate change']"
