idx,gold,pred,post,notes
485,white_grievance,inferiority,it is never about color . are u wht ? paint ur skin . are u still white ?,model might be more correct
413,threatening,irony,"i kinda like your idea, limiting population growth to save the environment, we need to sterilize democrats!",model is correct but missed a key category
45,incitement,irony," rt :  "" tribute to rudolf hess "" "" t-shirt from the white resister """,model is correct but missed a key category
57,incitement,stereotypical,you have it all wrong ! nazism isn't white this  white that . it's about being a powerful regime ! remember our fathers ! #nazigermany,"possibly conflates ""is"" equivalence with a stereotype"
295,stereotypical,irony,: stuff black people don't like - sbpdl : newark in 2012 : the predictable result of freedom . # t ...,model is correct but missed a key category
98,inferiority,stereotypical,what have blacks built?,conflates minority identity term with stereotype
301,stereotypical,irony,heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,"strange ""irony"" prediction"
143,inferiority,stereotypical,"She's a girl, of course she has mood swings.",model is correct; inferioritiy < stereotype
440,white_grievance,irony,rip white race ? europe may well be on its last legs  germany may become banana republic without,"strange ""irony"" prediction"
93,inferiority,irony,minorities as minions for white liberals via,"strange ""irony"" prediction"
274,stereotypical,incitement," rt tommy robinson speaks about the jihad against europeans which is largely ignored by  "" moderate "" "" muslims . #normandy """,model is correct
145,inferiority,stereotypical,the difference between third world countries and america is the people . think about that a minute . #trump2016 #hillary2016,inferioritiy < stereotype
129,inferiority,stereotypical,deadliest to non-muslims? pigs or islam? both however the major pig problem will be harder to solve with mass migration & islam adding to the already humongous load.,inferioritiy < stereotype
151,inferiority,white_grievance,"did you know 98% of farmers in america are white? if it wasn't for white people, you wouldn't even be on twitter right now.","conflates term ""white"" with white grievance given induction heads"
156,inferiority,white_grievance,the white master race :,"conflates term ""white"" with white grievance given induction heads"
304,stereotypical,incitement,what could people in disagreement with national socialism possibly be missing ? murderous thuggery = we got it . individ liberty is best .,model is correct
190,irony,incitement,because it's totally out of the question for a muslim to kill white christians  right ?,"conflates ""kill"" with incitement"
282,stereotypical,inferiority," rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... ""","model fails to understand nested views: the author of the tweet is stereotyping Jews by putting a perspective of the ""inferiority of white people"" into their mouth"
457,white_grievance,irony,optics cucks eternally btfo ! #whitelivesmatter did more to advance our narrative than any rally thus far . congratul,"""congratulations"" as signal for irony?"
303,stereotypical,incitement," vile  hateful #jew calls for extermination of #whitepeople & admits  "" diversity "" "" is a code-word for #whitegenocide ""","model fails to understand nested views: the author of the tweet is stereotyping Jews by putting a perspective of the ""hatred of white people"" into their mouth"
492,white_grievance,inferiority,seems to fully understand that it's not the responsibility of american tax payers to support illegals  pretty simple,model is partially correct
376,threatening,inferiority,"one snake at atime. as my aunt did in bayous, cut the head off when u c em'. deadly & will kill ya.","fails to understand the metaphor ""snake = person"""
108,inferiority,irony,"good job, next time, also bring a wooden """"soap box"""" for speakers to stand on -this is trad., very ameri",model is correct
361,threatening,stereotypical,"if you see anybody who looks like this you have spotted illegal aliens, call ice immediately!",x
186,irony,stereotypical,"a muslim couple just got married it is working out well enough , but the husband will not let his wife drive for at least <number> years . one day the wife go 's up to him and asks why she must wait such a long time . he replies "" oh well , to get your drivers licence in this country you must be <number> years or older """,fails to understand the joke
475,white_grievance,incitement,black people say they want to kill white people  with hillary clinton it may happen,"conflates ""kill"" with incitement"
259,stereotypical,incitement,Waiting for riots? White girl fatally stabbed at gov't school by...,model is correct
25,incitement,white_grievance,honestly we shouldnt have saved them . if nat socs won there would be no muslim invasion  germany would still be a bastion of masculinity and european identity . support mr . nehlen !,model is correct
9,incitement,white_grievance,the white race is generous to a fault . non-whites take advantage of that all the time  then hate white people out of envy .,model is correct
