,gold,pred_text-davinci-003,pred_flan-ul2,pred_chatgpt,post
22,"{'attacker': 'attackers', 'target': 'he', 'instrument': 'undefined', 'explosivedevice': 'a bomb', 'place': 'bedroom'}","{'Attacker': 'Provisional Irish Republican Army', 'Target': 'Caterham Arms public house', 'Instrument': 'bomb', 'ExplosiveDevice': 'time bomb', 'Place': 'Caterham, Surrey, England'}"," 'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'","{'Attacker': 'Provisional IRA', 'Target': 'Caterham Arms public house', 'Instrument': 'time bomb', 'ExplosiveDevice': '7lb bomb', 'Place': 'Caterham, Surrey, England'}","On 27 August 1975 a Provisional IRA bomb exploded without warning at the Caterham Arms public house in Caterham , Surrey , England . There were no fatalities but 33 people were injured , some severely . Two off - duty soldiers lost their legs as a result of the bombing . == Background == In February 1975 the Provisional Irish Republican Army agreed to a truce and ceasefire with the British government and the Northern Ireland Office . Seven "" incident centres "" were established in Irish nationalist areas in Northern Ireland to monitor the ceasefire and the activity of the security forces . Before the truce , the IRA active service unit ( ASU ) later dubbed the Balcombe Street Gang ( due to the December 1975 Balcombe Street siege ) had been carrying out bomb and gun attacks in Southern England since autumn 1974 , mostly in and around London . Their last previous attack was an assassination attempt on former Prime Minister Edward Heath but he was not home when the attackers <tgr>threw <tgr>a bomb into his bedroom window on 22 December 1974 . == The bombing == The Balcombe Street Gang planted a time bomb in the Caterham Arms public house in Caterham , Surrey . The IRA unit placed the 7lb bomb in a duffel bag under a seat . There was no warning and the bomb exploded at 9 : 20 , injuring 23 civilians and 10 off - duty soldiers . The pub was used by members of the Welsh Guards who were based at the barracks nearby . Some of the injuries were very serious , with at least three soldiers losing limbs . The blast blew the roof off the pub in the process . This attack marked the start of a renewed bombing campaign ( Phase Two ) in England and the end of the truce with the British Government . The next day , the same IRA unit exploded a bomb in Oxford Street , injuring several people . == Aftermath == 

{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
160,"{'jailer': 'undefined', 'detainee': 'nicolas rodriguez', 'crime': 'undefined', 'place': 'undefined'}","{'Jailer': 'Colombia', 'Detainee': 'ELN rebel commander Nicolas Rodriguez', 'Crime': 'car bombing', 'Place': 'Bogota'}",Colombian President Duque has suspended peace talks with the ELN rebel group after a deadly bombing in Bogota.,"{'Jailer': 'Colombia', 'Detainee': 'ELN rebel commander Nicolas Rodriguez and 10 ELN members', 'Crime': 'the bombing of a police academy in Bogota that killed 20 people', 'Place': 'Cuba'}","Cuba ’ s foreign minister said in a tweet late on Friday that the country would respect the protocols of the negotiations it had been hosting and was consulting with both parties and the guarantors of the talks . On Friday , Colombia blamed the leftist ELN for the bombing of a police academy in Bogota that killed 20 people as well as the attacker , dealing a big blow to the peace process . 190102132047518 Duque then announced that he was reinstating arrest warrants for 10 ELN members , who are part of the group ’ s delegation to the Cuba talks . The talks were aimed at ending more than five decades of fighting by the Marxist - inspired group . Duque said that Cuba must not protect the rebels . The police academy car bombing “ was a crime that violated human rights and no such act deserves [ Cuba acting ] to avoid justice being done ” , Duque said while giving a speech in Tolima . Colombians , including Duque , planned to join in a march on Sunday to protest against the car bombing , the worst such attack in the country in 16 years . Last rebel group In November , Colombia asked Cuba to <tgr>capture <tgr>ELN rebel commander Nicolas Rodriguez and provide information about the presence of other commanders in the Cuban territory . The government in Bogota also asked Havana to act on an Interpol Red Notice against Rodriguez . The Cuban government did not respond publicly to that request or made a statement about the issue . Colombia has experienced several years of relative calm since the 2016 peace accord signed by then - President Juan Manuel Santos and the Revolutionary Armed Forces of Colombia ( FARC ) fighters . 190118182118648 With the landmark agreement turning the former rebels into a political party , the smaller ELN is considered the last active rebel group in the country . True to his election promises , Duque has taken a hard line against the ELN . Peace talks with the ELN began in February 2017 under Santos , but Duque has put them on hold until the rebels free all their hostages and stop attacks on military and civilian targets . The group is believed to be currently holding 17 hostages , some of them for several years . 

{'Jailer': 'BLANK', 'Detainee': 'BLANK', 'Crime': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
132,"{'giver': 'he', 'recipient': 'undefined', 'acquiredentity': 'undefined', 'paymentbarter': 'undefined', 'beneficiary': 'undefined', 'place': 'undefined'}","{'Giver': 'Tamerlan Tsarnaev', 'Recipient': 'Zubeidat', 'AcquiredEntity': 'Ammunition', 'PaymentBarter': '$900 in cash through Moneygram', 'Beneficiary': 'Tamerlan and Dzhokhar Tsarnaev', 'Place': 'New Hampshire'}","April 15, 2013 Less than a half hour after the bombs went off, Dzhokhar Tsarnaev was seen entering the Whole Foods at Prospect Street in Cambridge and looking over different milk products. He buys a carton of whole milk for $ 3. 49, then returns to parked car in the store lot. He enters the passenger side, suggesting another person, possibly Tamerlan Tsarnaev, was at the wheel. Within seconds, Dzhokhar Tsarnaev gets out of the car and exchanges his purchase for a different type of milk.","{'Giver': 'Tamerlan Tsarnaev', 'Recipient': 'Zubeidat (his and Dzhokhar’s mother)', 'AcquiredEntity': 'two 9mm handguns', 'PaymentBarter': '$900 in cash', 'Beneficiary': 'Dzhokhar Tsarnaev', 'Place': 'firing range in Manchester, N","March 20 , 2013 Both brothers went to a firing range in Manchester , N . H . and rented two 9mm handguns , similar to the borrowed Ruger . March 30 , 2013 Tamerlan Tsarnaev also bought a screwdriver and soldering gun from Home Depot in Somerville , April 8 , 2013 Tamerlan bought remote - control car devices from RC Cars in Malden , which prosecutors say are related to the equipment needed by the Tsarnaevs to remotely trigger the bombs . April 13 , 2013 Tamerlan Tsarnaev purchases ammunition from a store in New Hampshire and sends $ 900 in cash through Moneygram to his and Dzhokhar ’ s mother , Zubeidat , through a location in Somerville . April 14 , 2013 Dzhokhar Tsarnaev opens a prepaid cellphone account under the name Jahar Tsarni . He would use this phone while at the Boston Marathon the next day . On the same day , Tamerlan Tsarnaev buys two backpacks at a Target in Watertown that were used to carry the bombs . Federal Public Defender Office April 15 , 2013 At about 2 : 50 p . m . , two homemade pressure - cooker bombs are detonated remotely by the Tsarnaevs near the finish line of the Boston Marathon , killing three and injuring some 260 others . Seventeen people lost limbs . April 15 , 2013 Less than a half hour after the bombs went off , Dzhokhar Tsarnaev was seen entering the Whole Foods at Prospect Street in Cambridge and looking over different milk products . He <tgr>buys <tgr>a carton of whole milk for $ 3 . 49 , then returns to parked car in the store lot . He enters the passenger side , suggesting another person , possibly Tamerlan Tsarnaev , was at the wheel . Within seconds , Dzhokhar Tsarnaev gets out of the car and exchanges his purchase for a different type of milk . April 26 , 2013 Days later , the FBI recovered a backpack belonging to Dzhokhar Tsarnaev , which contained tubes of fireworks . In his dorm room , they also found a receipt for a BB gun , which was recovered from the Watertown shootout scene . US Department of Justice Patricia Wen can be reached at wen @ globe . com . Follow her on Twitter at @ GlobePatty . 

{'Giver': 'BLANK', 'Recipient': 'BLANK', 'AcquiredEntity': 'BLANK', 'PaymentBarter': 'BLANK', 'Beneficiary': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
206,"{'transporter': 'undefined', 'passengerartifact': 'he', 'vehicle': 'undefined', 'origin': 'shrine', 'destination': 'undefined'}","{'Transporter': 'Time stamps on closed circuit TV footage', 'PassengerArtifact': 'black backpack', 'Vehicle': 'BLANK', 'Origin': 'Erawan Shrine', 'Destination': 'BLANK'}","'Transporter': 'BLANK', 'PassengerArtifact': 'BLANK', 'Vehicle': 'BLANK', 'Origin': 'BLANK', 'Destination': 'BLANK'","{'Transporter': 'man wearing a yellow T-shirt', 'PassengerArtifact': 'black backpack', 'Vehicle': 'BLANK', 'Origin': 'Erawan Shrine', 'Destination': 'BLANK'}","Early speculation about the bombing had suggested it might be the work of Uighur separatists who were angry that Thailand in July forcibly repatriated more than 100 Uighurs to China , where it is feared they face persecution . The theory was bolstered by the fact that the Erawan Shrine is popular among Chinese tourists , who figured prominently among the victims of the bombing . But Thai officials reject any political or religious motive , sticking to the theory that it was a revenge for disrupting a human - smuggling gang . Still , skepticism about the police explanation on the shrine attack has abounded because of leaks , contradictions , misstatements and secrecy surrounding the investigation . The two suspects are being tried at a military court on an army base in Bangkok because cases of “ national security ” have been handled by the military since last May , when the army seized power in a coup from an elected government . Former National Police Chief Somyot Poomphanmuang said before his retirement in September that the case against the two suspects was supported by closed - circuit television footage , witnesses , DNA matching and physical evidence , in addition to their confessions . Security camera footage from the Erawan Shrine showed a man wearing a yellow T - shirt who sat down on a bench at the outdoor shrine , took off a black backpack and then left it behind as he stood up and walked away . Time stamps on closed circuit TV footage showed he <tgr>left <tgr>the shrine just minutes before the blast occurred , during evening rush hour as the area in central Bangkok was filled with people . Police believe that Bilal is the yellow - shirted man who planted the bomb and Yusufu is believed to have detonated the bomb . Bilal , was initially identified as Adem Karadag , which was the name on a fake Turkish passport in his possession when he was arrested Aug . 29 . He was arrested at one of two apartments police raided on the outskirts of Bangkok . Yusufu was arrested Sept . 1 near the Thai - Cambodia border , carrying a Chinese passport indicating he was from Xinjiang . Police said his DNA and fingerprints were found in both raided apartments , including on a container of gunpowder . 

{'Transporter': 'BLANK', 'PassengerArtifact': 'BLANK', 'Vehicle': 'BLANK', 'Origin': 'BLANK', 'Destination': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
84,"{'attacker': 'undefined', 'target': 'undefined', 'instrument': 'undefined', 'place': 'shrine'}","{'Attacker': 'Bilal Mohammed and Mieraili Yusufu', 'Target': 'Erawan Shrine', 'Instrument': 'Explosive Bombs', 'Place': 'Bangkok'}","'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'","{'Attacker': 'Bilal Mohammed and Mieraili Yusufu', 'Target': 'Erawan Shrine', 'Instrument': 'explosive bombs', 'Place': 'Bangkok'}","Thai Authorities Indict 2 Over August Shrine <tgr>Attack <tgr>A Bangkok military court has indicted two men accused of carrying out the August 17 bombing at a popular shrine that killed 20 people . The court on Tuesday indicted Bilal Mohammed and Mieraili Yusufu on 10 counts connected to the blast , including conspiracy to explode bombs and commit premeditated murder . Thailand authorities have not officially named the bombing of Erawan Shrine an act of terror , and accordingly neither suspect was charged specifically with terrorism . Police issued 17 arrest warrants following the bombing but only Bilal and Mieraili have been detained . They are described as ethnic Uighurs , a minority group based in China ' s Xinjiang region . They have been held in custody since their arrests in late August and early September . Thai officials have said the blast was carried out by a people - smuggling gang seeking revenge on Thai authorities for cracking down on their operation . The August 17 blast at the Erawan Shrine - a popular tourist destination - was one of the most deadly acts of violence in Bangkok in decades , and left 20 people dead and more than 120 injured . Of the dead , 14 were tourists . The attack shocked the residents of the capital because of the apparent randomness , which drove home the point that no place is immune to acts of terror . Authorities , however , have declined to call it an act of terrorism out of apparent fear that it would hurt the country ' s huge tourism industry . Police initially appeared at first to be at a loss , but soon claimed success with a series of raids and two arrests . Arrest warrants have been issued for 15 others . The two suspects were brought to the court in handcuffs wearing brown prison garb . Members of the media were not allowed to enter the court and the indictments took place before the two suspects arrived , said defense lawyer Chuchart Kanpai . Doubts about motive 

{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
177,"{'participant': 'kevin mallon', 'topic': 'undefined', 'place': 'undefined'}","Participant: Dave O’Connell, Kevin Mallon, James McDadeTopic: Birmingham pub bombingsPlace: Birmingham, Coventry, England",The IRA bombings of 1974 killed 21 people and injured more than 200.,"{    ""Participant"": ""Sean Conway, Dave O'Connell, Kevin Mallon, James McDade"",    ""Topic"": ""The Birmingham pub bombings"",    ""Place"": ""Birmingham, England""}","The Birmingham pub bombings - The 28 numbers that add up to a cover - up , say campaigners Mr Conway , now a criminal lawyer in Dublin , says in the book that where off - duty soldiers were the targets of bombings “ I had little sympathy for either the soldiers or the unfortunate civilians who had been sharing their drinking space . ” He continued : “ The Birmingham bombs were another matter . "" The bombings came after British police disrupted funeral arrangements for James McDade , a volunteer who had himself died in a premature explosion in England . “ Tempers were high and I , for one , certainly at first feared that the local IRA had knowingly caused these dreadful casualties – 21 people were killed and a great many others injured . ” “ I was appalled and personally ashamed of the bombing , which went against everything we claimed to stand for . ” He said he told two other senior IRA figures , Dave O ’ Connell and Kevin Mallon “ exactly what I thought ” when they <tgr>met up <tgr>. “ In fact , both men were themselves furious , fully recognising not just the damage the bombing had caused to the IRA but its immorality as well . ” McDade , a lieutenant in the Birmingham Brigade of the IRA , blew himself up while trying to plant a bomb at Coventry Telephone exchange a week before the pub bombings . Neither The Mulberry Bush nor The Tavern in The Town had any military connection . Normal IRA procedure at the time for any attack on non - military targets was to give a 30 - minute warning in order for full evacuations to take place . Read our docudrama minute - by - minute recreation of the events of November 21 1974 The Birmingham Mail received an ambiguous call at 8 . 11pm on November 21 . The caller did not identify either pub , referring instead to The Rotunda , above The Mulberry Bush and the New Street Tax Office , which was above the underground Tavern in The Town . The first bomb destroyed The Mulberry Bush just six minutes later . The Tavern was destroyed at 8 . 27pm . Conway was not directly involved in the debrief with the England Operational Commander . 

{'Participant': 'BLANK', 'Topic': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
162,"{'jailer': 'undefined', 'detainee': 'yusufu', 'crime': 'undefined', 'place': 'undefined'}","{'Jailer': 'Thai officials', 'Detainee': 'Bilal and Yusufu', 'Crime': 'shrine attack', 'Place': 'Bangkok'}","'Jailer': 'BLANK', 'Detainee': 'BLANK', 'Crime': 'BLANK', 'Place': 'BLANK'","{'Jailer': 'Thai officials', 'Detainee': 'Bilal and Yusufu', 'Crime': 'planting a bomb at the Erawan Shrine', 'Place': 'Bangkok'}","But Thai officials reject any political or religious motive , sticking to the theory that it was a revenge for disrupting a human - smuggling gang . Still , skepticism about the police explanation on the shrine attack has abounded because of leaks , contradictions , misstatements and secrecy surrounding the investigation . The two suspects are being tried at a military court on an army base in Bangkok because cases of “ national security ” have been handled by the military since last May , when the army seized power in a coup from an elected government . Former National Police Chief Somyot Poomphanmuang said before his retirement in September that the case against the two suspects was supported by closed - circuit television footage , witnesses , DNA matching and physical evidence , in addition to their confessions . Security camera footage from the Erawan Shrine showed a man wearing a yellow T - shirt who sat down on a bench at the outdoor shrine , took off a black backpack and then left it behind as he stood up and walked away . Time stamps on closed circuit TV footage showed he left the shrine just minutes before the blast occurred , during evening rush hour as the area in central Bangkok was filled with people . Police believe that Bilal is the yellow - shirted man who planted the bomb and Yusufu is believed to have detonated the bomb . Bilal , was initially identified as Adem Karadag , which was the name on a fake Turkish passport in his possession when he was arrested Aug . 29 . He was arrested at one of two apartments police raided on the outskirts of Bangkok . Yusufu was <tgr>arrested <tgr>Sept . 1 near the Thai - Cambodia border , carrying a Chinese passport indicating he was from Xinjiang . Police said his DNA and fingerprints were found in both raided apartments , including on a container of gunpowder . Police said they have confessions from the two , and Bilal ' s lawyer says his client admitted planting the deadly bomb at the behest of another suspect who remains a fugitive . He says Bilal was induced to carry out the action by a promise that his emigration to Turkey would be expedited . Some material for this report came from AP . 

{'Jailer': 'BLANK', 'Detainee': 'BLANK', 'Crime': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
65,"{'attacker': 'undefined', 'target': 'undefined', 'instrument': 'undefined', 'explosivedevice': 'bomb', 'place': 'baaj'}","{'Attacker': 'insurgents', 'Target': 'Iraqi soldiers, Shiite mosque, checkpoint, car bomb, market, army patrol', 'Instrument': 'bomb blasts, car bomb, roadside blast, shooting', 'ExplosiveDevice': 'car bomb, roadside bomb', 'Place': 'Baghdad, Husseiniyah, Yarmouk, Tarmiyah, Diyala province, Dhuluiyah, Kirkuk city, Dibis, Tuz Khurmatu, Mosul, Baaj, Diwaniyah, Heet'}"," 'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'","{'Attacker': 'Insurgents', 'Target': 'Iraqi soldiers, civilians, military base, market, army patrol', 'Instrument': 'Checkpoint shootings, bomb blasts, car bombs, roadside bombs, shootings', 'ExplosiveDevice': 'Car bombs, roadside bombs', 'Place': 'Baghdad neighborhoods of Husseiniyah and Yarmouk, town of Tarmiyah, Diyala province, military base near the town of Dhuluiyah, Kirkuk city and the eponymous province\'s towns of Dibis and Tuz Khurmatu, main northern city of Mosul and the nearby town of Baaj, center of the town of Diwaniyah, western town of Heet'}","Two other explosions in the Baghdad neighborhoods of Husseiniyah and Yarmouk killed at least four people and left 24 others wounded , while a car bomb in the town of Tarmiyah , just north of Baghdad , hurt nine people , officials said . Checkpoint shootings and bomb blasts in restive ethnically - mixed Diyala province killed 11 people and left 40 others wounded , security officials and doctor Ahmed Ibrahim from the main hospital in provincial capital Baquba said . Insurgents also launched attacks on a military base near the town of Dhuluiyah , killing at least 15 Iraqi soldiers and leaving two others wounded , according to two security officials . Two other attacks in the same province -- a shooting at a checkpoint and a car bomb near a Shiite mosque -- left three people dead and six wounded , officials said . Nine bomb blasts , some of them minutes apart , meanwhile killed seven people and wounded 29 in Kirkuk city and the eponymous province ' s towns of Dibis and Tuz Khurmatu . Three different attacks -- a car bomb , a roadside <tgr>blast <tgr>and a shooting -- in the main northern city of Mosul and the nearby town of Baaj left nine people dead and seven wounded , according to Iraqi army First Lieutenant Waad Mohammed and police Lieutenant Mohammed al - Juburi . A roadside bomb at a market in the center of the town of Diwaniyah , south of Baghdad , killed three people and left 25 hurt , provincial health chief Adnan Turki said . In the western town of Heet , a car bomb exploded near an army patrol , killing one soldier and wounding 10 others , according to an Iraqi army captain and doctor Abdulwahab al - Shammari from the town hospital . The attacks came a day after a spate of bombings across Iraq killed at least 17 people and wounded nearly 100 others . Monday ' s toll was the highest since May 10 , 2010 , when 110 people were killed . The latest violence comes after the country suffered a spike in unrest in June when at least 282 people were killed , according to an AFP tally based on figures supplied by officials and medics , although government figures said 131 Iraqis died . 

{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
60,"{'attacker': 'undefined', 'target': 'stand', 'instrument': 'undefined', 'explosivedevice': 'undefined', 'place': 'undefined'}","{'Attacker': 'Venezuelan government', 'Target': 'Presidential stand', 'Instrument': 'DJI Matrice 600 drones', 'ExplosiveDevice': 'C4 plastic explosive', 'Place': 'Venezuela'}","Bellingcat concludes that the drones used in the attack were commercial DJI Matrice 600s, each carrying 1kg of C4 plastic explosive, and that the attack was likely carried out by the Venezuelan security services.","{    ""Attacker"": ""Unknown"",    ""Target"": ""Venezuelan President Nicolas Maduro"",    ""Instrument"": ""DJI Matrice 600 drones"",    ""ExplosiveDevice"": ""1kg of C4 plastic explosive"",    ""Place"": ""Caracas, Venezuela""}","The Venezuelan government has claimed the drones used were DJI Matrice 600s , each carrying approximately 1kg of C4 plastic explosive and , when detonated , capable of causing damage at a radius of around 50 meters . DJI Matrice 600 drones are a commercial model , normally used for industrial work — with a U . S . price tag of around $ 5 , 000 apiece , suggesting the attack could have cost little over $ 10k to carry out — with 1kg of plastic explosive available commercially ( for demolition purposes ) at a cost of around $ 30 . Bellingcat says its analysis supports the government ’ s claim that the drone model used was a DJI Matrice 600 , noting that the drones involved in the event each had six rotors . It also points to a photo of drone wreckage which appears to show the distinctive silver rotor tip of the model , although it also notes the drones appear to have had their legs removed . Venezuela ’ s interior minister , Nestor Reverol , also claimed the government thwarted the attack using "" special techniques and [ radio ] signal inhibitors "" , which "" disoriented "" the drone that <tgr>detonated <tgr>closest to the presidential stand — a capability Bellingcat notes the Venezuelan security services are reported to have . The second drone was said by Reverol to have "" lost control "" and crashed into a nearby building . Bellingcat says it is possible to geolocate the video of the falling drone to the same location as the fire in the apartment that firefighters had claimed was caused by a gas canister explosion . It adds that images taken of this location during the fire show a hole in the wall of the apartment in the vicinity of where the drone would have crashed . "" It is a very likely possibility that the downed drone subsequently detonated , creating the hole in the wall of this apartment , igniting a fire , and causing the sound of the second explosion which can be heard in Video 2 [ of the state TV broadcast of Maduro ’ s speech ] , "" it further suggests . Here ’ s its conclusion : 

{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
208,"{'transporter': 'undefined', 'passengerartifact': 'suspects', 'vehicle': 'undefined', 'origin': 'undefined', 'destination': 'undefined'}","{'Transporter': 'Thai officials', 'PassengerArtifact': 'people-smuggling gang', 'Vehicle': 'blast', 'Origin': 'Erawan Shrine', 'Destination': 'Thai authorities'}","'Transporter': 'BLANK', 'PassengerArtifact': 'BLANK', 'Vehicle': 'BLANK', 'Origin': 'BLANK', 'Destination': 'BLANK'","{'Transporter': 'Thai officials', 'PassengerArtifact': 'people-smuggling gang', 'Vehicle': 'blast', 'Origin': 'unknown', 'Destination': 'Erawan Shrine'}","Thai officials have said the blast was carried out by a people - smuggling gang seeking revenge on Thai authorities for cracking down on their operation . The August 17 blast at the Erawan Shrine - a popular tourist destination - was one of the most deadly acts of violence in Bangkok in decades , and left 20 people dead and more than 120 injured . Of the dead , 14 were tourists . The attack shocked the residents of the capital because of the apparent randomness , which drove home the point that no place is immune to acts of terror . Authorities , however , have declined to call it an act of terrorism out of apparent fear that it would hurt the country ' s huge tourism industry . Police initially appeared at first to be at a loss , but soon claimed success with a series of raids and two arrests . Arrest warrants have been issued for 15 others . The two suspects were brought to the court in handcuffs wearing brown prison garb . Members of the media were not allowed to enter the court and the indictments took place before the two suspects <tgr>arrived <tgr>, said defense lawyer Chuchart Kanpai . Doubts about motive Early speculation about the bombing had suggested it might be the work of Uighur separatists who were angry that Thailand in July forcibly repatriated more than 100 Uighurs to China , where it is feared they face persecution . The theory was bolstered by the fact that the Erawan Shrine is popular among Chinese tourists , who figured prominently among the victims of the bombing . But Thai officials reject any political or religious motive , sticking to the theory that it was a revenge for disrupting a human - smuggling gang . Still , skepticism about the police explanation on the shrine attack has abounded because of leaks , contradictions , misstatements and secrecy surrounding the investigation . The two suspects are being tried at a military court on an army base in Bangkok because cases of “ national security ” have been handled by the military since last May , when the army seized power in a coup from an elected government . 

{'Transporter': 'BLANK', 'PassengerArtifact': 'BLANK', 'Vehicle': 'BLANK', 'Origin': 'BLANK', 'Destination': 'BLANK'}

Replace the BLANKs with the extracted information about the event in <tgr> . Leave the keys of the JSON unchanged.

JSON Output: 
"
