,post,targetStereotype,targetMinority
9,"""""""Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick themselves into."""" FUCKING NAILED IT""","[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]","[""Men"", ""men""]"
31,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?","[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]","[""men"", ""women"", ""women, men""]"
34,"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.","[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]","[""feminist women"", ""feminists""]"
45,"""@POTUS @oreillyfactor Bill O""""Reilly did nothing wrong, says the Donald He probably just grabbed some pussy Like a president!""","[""conservatives are immoral"", ""conservatives are perverts""]","[""conservatives""]"
47,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!","[""women are used for cooking"", ""women are used for sex""]","[""women""]"
51,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday","[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]","[""women""]"
69,"""Before we """"PRAY FOR SYRIA"""" and their fake crisis, can we """"PRAY FOR CHICAGO"""" and their real crisis of murdered children⁉️⁉️""","[""trivializes harm to victims""]","[""terrorism victims""]"
77,"""Fat acceptance"" is absolutely degeneracy of the highest order, and during the Fourth Reich, there will be compulsory calisthenics.","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]","[""overweight/fat folks""]"
79,"""From 1480 to 1913 European Queens waged far more wars that European Kings"" [xpost: r/history]","[""women are more warmongering than men"", ""women cause more conflict than men""]","[""women""]"
96,"""Is that an albino Mexican?""
""No dad, he's Asian.""","[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]","[""asian folks""]"
99,"""Libyan government to investigate slave auctions in which African migrants are sold to the highest bidder""
How come they're selling them in Libya when they're giving them to Europe for free?","[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]","[""African migrants"", ""black folks""]"
106,"""Niggas don't lie, our ugly friend put up a pic we just gon write """"nigga u ugly"""" under it""","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]","[""black folks""]"
107,"""One man's trash is another man's treasure"" Wonderful saying, horrible way to find out that you were adopted.","[""adopted children are problem children"", ""adopted children are unwanted""]","[""adopted people""]"
