Example,Feature
two years I stayed alone,Preposition Omission
at the Tirupati temple I stayed one or two days,None of the Above
person I like most is from the mechanical department,Article Omission
there are five balls,None of the Above
I like the cake very much.,None of the Above
every year inflation is there,"Non-initial Existential ""is / are there"""
"My parents and siblings and all, they really enjoy playing board games.","General Extender ""and all"""
I was there yesterday only,Focus Only
some flower part is there,"Non-initial Existential ""is / are there"""
"My parents and siblings and all, they really enjoy playing board games.",Left Dislocation
My old life I want to spend in India.,None of the Above
as recently as April there was a big fight,None of the Above
Some teachers when I was in school I liked them very much.,Resumptive Object Pronoun
we want to know how we can make your favorite dish,None of the Above
tomorrow you have to try this cake,None of the Above
Here life is busy.,None of the Above
My old life I want to spend it in India.,Left Dislocation
"A person living in Calcutta, which he didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",Resumptive Subject Pronoun
they use proper grammar there,None of the Above
So that time they said okay go and work for a few months.,Preposition Omission
they use proper grammars there,Mass Nouns As Count Nouns
So at that time they said okay go and work for a few months.,None of the Above
She has business experience.,None of the Above
he talk to them,Lack Of Agreement
person I like most is from mechanical department,Article Omission
You get on the train and buy the ticket there only,Focus Only
nowadays all the children they are mature from a very early age,Left Dislocation
in the daytime I work for the courier service,Topicalized Non-argument Constituent
why are you telling this to everybody?,None of the Above
"first of all, we can see a plate the right side",None of the Above
She was brought up there and her college was there too,None of the Above
those who come here definitely they should learn English,Left Dislocation
We don’t feel that we should go any other country.,Preposition Omission
"It’s come from me, no?","Invariant Tag ""isn’t it, no, na"""
open a shop wherever there is a foot traffic,Mass Nouns As Count Nouns
for many years I did not travel,Topicalized Non-argument Constituent
and in the background there are a lot of buildings,Topicalized Non-argument Constituent
we will be knowing how much the structure is getting deflected,Stative Progressive
Chandigarh was full of employed people.,None of the Above
"We are like we are in touch, but not before when we was in school and all.",Lack Of Agreement
you can say anything but tenth I’m leaving,Article Omission
they are speaking Portuguese in Brazil,Stative Progressive
in fifteen years lot of changes we have seen,Object Fronting
he didn’t give me,Direct Object Pronoun Drop
"he liked it, didn’t he, even though you said he wouldn’t",None of the Above
he is having a television,Stative Progressive
we will know how much the structure is getting deflected,None of the Above
and the production function gives you the relationship between input and output,Article Omission
"first of all, right side we can see a plate",Prepositional Phrase Fronting With Reduction
Tirupati temple I stayed one or two days,Article Omission
"actually, this part I have not been",Preposition Omission
he do a lot of things,Lack Of Agreement
"first of all, we can see a plate the right side",Preposition Omission
we can only see the blue sky,None of the Above
some people are very nice,None of the Above
and the production function is giving you the relationship between input and output,Stative Progressive
she gets nightmares,None of the Above
in our old age we can go and enjoy it,None of the Above
I think Nina must know her sister,None of the Above
I think she is a teacher.,None of the Above
my bother said that one of his favorite places is the beach nearby,None of the Above
My daughter she is attending the University of Delhi.,Left Dislocation
a recipe is simple thing,Article Omission
They have pressure from their in-laws.,None of the Above
two years I stayed alone,Prepositional Phrase Fronting With Reduction
all the music is very good,None of the Above
daytime I work for the courier service,Topicalized Non-argument Constituent
"yeah, so my parent’s house I go very often",Prepositional Phrase Fronting With Reduction
union person contacted his representative at the school,Article Omission
I don’t know now what they are doing,None of the Above
they are getting H1B visas to come to the country,Habitual Progressive
what you are doing?,Lack Of Inversion In Wh-questions
because there is no individuality in India,None of the Above
Whereas we had lot of time and we didn’t have any TV and all and we used to play outdoor games.,"General Extender ""and all"""
I’m working very near my house,None of the Above
they tease the new children when they join,None of the Above
I love to go shopping with your mother,None of the Above
I think you should start going to the gym from now.,None of the Above
you can say anything but tenth I’m leaving,Prepositional Phrase Fronting With Reduction
"the children are playing outside, no?","Invariant Tag ""isn’t it, no, na"""
I’m going to find my bag which I left in the room.,None of the Above
Because educated people get a good money.,Extraneous Article
she doesn’t like,Direct Object Pronoun Drop
Whereas we had lot of time and we didn’t have any TV and we used to play outdoor games.,None of the Above
it was first day of term,Article Omission
I did one refresher course in the month of June itself.,Focus Itself
"My parents and siblings, they really enjoy playing board games.",Left Dislocation
"The book that I left here, where is it?",None of the Above
"A person living in Calcutta, who didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",None of the Above
in fifteen years we have seen a lot of changes,None of the Above
he likes here more,Direct Object Pronoun Drop
"he liked it, na, even though you said he wouldn’t","Invariant Tag ""isn’t it, no, na"""
the school principal called me to ask when are you going back,Inversion In Embedded Clause
for two years I stayed alone,None of the Above
he has a television,None of the Above
"the children are playing outside, na?","Invariant Tag ""isn’t it, no, na"""
I went one year there.,Preposition Omission
and all the company people are my clients,None of the Above
"yeah, so to my parent’s house I go very often",Topicalized Non-argument Constituent
the store is around the corner by the post office,None of the Above
they are teasing the new children when they join,Habitual Progressive
all the musics are very good,Mass Nouns As Count Nouns
"first of all, right side we can see a plate",Article Omission
He is doing Engineering in Delhi.,None of the Above
she doesn’t like it,None of the Above
So if you’re not good at communication you may get filtered at the first level itself,Focus Itself
Chandigarh was full of the employed people.,Extraneous Article
you cannot ask them why are they not coming for clinic visits,Inversion In Embedded Clause
"the camera, the dog is facing towards it",Left Dislocation
"The cake, I like it very much.",Resumptive Object Pronoun
every year there is inflation,None of the Above
"the store is around the corner, na, by the post office","Invariant Tag ""isn’t it, no, na"""
So I did my schooling and all from there.,"General Extender ""and all"""
I’m going to find my bag which I left it in the room.,Resumptive Object Pronoun
You get on the train and buy the ticket there too,None of the Above
"We are like we are in touch, but not before when we was in school.",None of the Above
where you will get anything?,Lack Of Inversion In Wh-questions
"actually, I have not been to this part",None of the Above
open a shop wherever there is foot traffic,None of the Above
everyone gets that vaccination in childhood,None of the Above
he talks to them,None of the Above
"The cake, I like it very much.",Left Dislocation
Tirupati temple I stayed one or two days,Prepositional Phrase Fronting With Reduction
and the production function is giving you the relationship between input and output,Article Omission
"Sorry I can’t come, everything busy in our life.",Copula Omission
So I did my schooling from there.,None of the Above
"My parents and siblings, they really enjoy playing board games.",None of the Above
he didn’t give it to me,None of the Above
My daughter she is attending the University of Delhi.,Resumptive Subject Pronoun
But I did have some difficulty getting to know people among Indians themselves,None of the Above
"first of all, we can see a plate on the right side",None of the Above
They have a pressure from their in-laws.,Extraneous Article
i have to make not so much adjustment,None of the Above
ten years ago you didn’t operated a machine that could lift a house all by itself,Lack Of Agreement
we have two tailors who can make clothes for us,None of the Above
recipe is simple thing,Article Omission
I think you should start going to the gym from now itself.,Focus Itself
"yeah, so I go very often to my parent’s house",None of the Above
I think she a teacher.,Copula Omission
"if anybody gives a donation, we give a receipt",None of the Above
Here the life is busy.,Extraneous Article
"and that roommate, he will do an interview",Resumptive Subject Pronoun
We don’t feel that we should go to any other country.,None of the Above
some informations are available free,Mass Nouns As Count Nouns
she is getting nightmares,Habitual Progressive
it was the first day of term,None of the Above
those who come here should definitely learn English,None of the Above
some information is available free,None of the Above
So marketing keeps its communication with the different embassies.,None of the Above
you can say anything but on the tenth I’m leaving,None of the Above
They all aggressive states.,Copula Omission
he does a lot of things,None of the Above
Some teachers when I was in school I liked very much.,None of the Above
everyone is getting that vaccination in childhood,Habitual Progressive
