Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,post,targetMinority,targetStereotype
The stereotype that this sentence communicates is that white people are racist,white folks are better than others,"Many white kids believe they are superior to other races and when they see a black person fighting a white person, they get scared because they think the black person will win",black folks are inferior,text-davinci-002,human,text-davinci-001,baseline,sbic,Most white kids i know believe they are superior and they freak out whenever a black guy is fighting a white .,"[""white folks""]","[""white folks are better than others"", ""white folks freak out""]"
black folks are a slur,The stereotype communicated by this sentence is that working-class voters are uneducated and ignorant,The stereotype that this sentence communicates is that working-class voters are uneducated and will vote for whoever promises them the most,gay people should not be married.,baseline,text-davinci-001,text-davinci-002,human,sbic,"Roy Moore: ""Trannies are an abomination, repeal gay marriage, put God back into the government""

Populist Working-Class Voter: ""Okay, whatever nigga I just want a job""","[""lesbian women, gay men, trans women, trans men"", ""poor folks""]","[""gay people should not be married."", ""poor people are bigots."", ""poor people don't care about politics."", ""trans people are against god."", ""trans people are disgusting.""]"
all black people can run fast,Black people are good at swimming and running,black folks are stupid,The stereotype is that black people are lazy and not athletic,human,text-davinci-001,baseline,text-davinci-002,sbic,"Who invented the triathlon? Black people.

They walk on foot to the pool, swim, and come back with a bike.","[""black folks""]","[""all black people can run fast"", ""are all criminals"", ""black folks are criminals"", ""black folks steal"", ""black people are criminals"", ""not intelligent""]"
This sentence communicates the stereotype that men like their women to be submissive and beaten down,African Americans are often portrayed as being violent and aggressive,woman deserve to be beat,women are inferior,text-davinci-002,text-davinci-001,human,baseline,sbic,I like my woman like I like my orange juice Beaten to a pulp,"[""women""]","[""woman deserve to be beat"", ""women are beat up"", ""women are powerless"", ""women are useless"", ""women should be controlled by their men"", ""women want to be abused""]"
"The stereotype that this sentence communicates is that parents who do not teach their children about their local, state, and national history are doing a disservice to their children",liberals all have an agenda,African Americans are lazy,are a victim,text-davinci-002,human,text-davinci-001,baseline,sbic,"Parents:

If YOU do not teach your children the rich, vibrant, and yes, sometimes controversial, history of your own locale, your region, your State, and your Country, they will be taught the Leftist version...sterilized, false, misleading, twisted, and full of intentional Social Justice overtones","[""liberals""]","[""liberals all have an agenda"", ""liberals are all social justice warriors"", ""liberals are very dishonest""]"
This sentence communicates the stereotype that black people are guilty,it is making fun of the criminal juistice system and how it treats blacks,The stereotype communicated by this sentence is that black people are criminals,black folks are criminals,text-davinci-002,human,text-davinci-001,baseline,sbic,how do you find a black person ? guilty,"[""black folks""]","[""it is making fun of the criminal juistice system and how it treats blacks"", ""it presumes all black people are guilty"", ""they are criminals"", ""they are less than human.""]"
black folks are all criminals,black folks are chickens,Black people are lazy,This sentence communicates the stereotype that black people are free range,human,baseline,text-davinci-001,text-davinci-002,sbic,What's the difference between a black person and a chicken? One's free range,"[""black folks""]","[""black folks are all criminals"", ""black folks are all incarcerated"", ""black people are inferior"", ""black people are slaves"", ""blacks are worthless""]"
gay people are inferior,The stereotype that this sentence communicates is that people in the group are sexually promiscuous,all religions hate gays,This sentence communicates the stereotype that priests are gay,baseline,text-davinci-001,human,text-davinci-002,sbic,Why is religion so against gay marriage? Because the gayest thing that should happen in a church should be between a priest and his choir boys,"[""christian folks""]","[""all religions hate gays"", ""christian priests touch their choir children"", ""christians rape their choir boys"", ""priest molest kids"", ""priests are closeted"", ""priests are pedophiles""]"
are spread all over the country,immigrants are undesirable,The stereotype that this sentence communicates is that immigrants are spread all over the country,The stereotype that this sentence communicates is that immigrants are taking over the country,baseline,human,text-davinci-001,text-davinci-002,sbic,The worst thing about the present immigration is that it 's spread all over the country .,"[""immigrants""]","[""immigrants are undesirable"", ""immigrants take resources from citizens""]"
are niggas,This sentence communicates that black people are aggressive and that lesbians are promiscuous,This sentence communicates the stereotype that black men are sexual predators,"""dikes"" are going to get beaten up if they play around",baseline,text-davinci-001,text-davinci-002,human,sbic,RT @MookTheKing: Any Nigga Or Dike Play Pussy Goin Get Fucked &amp; That's On Luv,"[""black folks"", ""lesbian women""]","[""\""dikes\"" are going to get beaten up if they play around"", ""\""dikes\"" playing around possibly picking up already taken partners"", ""black folks are going to get beaten up"", ""black folks are hypersexual"", ""black folks are incompetent"", ""black folks play around"", ""lesbian women are lustful"", ""lesbian women don't really know what they want"", ""they are dykes"", ""they aren't smart"", ""they're less than"", ""they're not smart""]"
The stereotype that this sentence communicates is that Jews are weak and helpless,The stereotype that this sentence communicates is that Jews are sneaky and use their own secret language to communicate with each other,jewish people are a joke,all jews were killed,text-davinci-002,text-davinci-001,baseline,human,sbic,"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""jewish folks"", ""terrorism victims""]","[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]"
women are feckless,feminists are hypocrites,Feminists perpetuate the stereotype that girls are weak and cannot handle anything crude or harsh,Feminists are perpetuating gender roles like the fragile and feckless girl who faints over anything crude; or the hysterical and entitled woman who relies on a man's gentlemanly virtue to get what she wants,baseline,human,text-davinci-001,text-davinci-002,sbic,I really wish feminists would stop perpetuating gender roles like the fragile and feckless girl who faints over anything crude; or the hysterical and entitled woman who relies on a man's gentlemanly virtue to get what she wants.,"[""feminists"", ""women""]","[""feminists are hypocrites"", ""feminists don't really want equality"", ""women complain"", ""women hate men""]"
This sentence communicates the stereotype that black people are violent,The stereotype that this sentence communicates is that blacks are violent,black folks are inferior,black folks are racist,text-davinci-001,text-davinci-002,baseline,human,sbic,More racist violence by blacks - this time the victim was a Chinese man : YouTube - Racist Blacks beat a Chinese man to death,"[""black folks""]","[""black folks are racist"", ""black folks are violent"", ""blacks are racist"", ""blacks beat up people""]"
women are incompetent,The stereotype communicated by this sentence is that girls are not capable of being genuine and that they only care about themselves,The stereotype that this sentence communicates is that all men are killed by women,are a lot kiled,human,text-davinci-001,text-davinci-002,baseline,sbic,"It only take one geniune affection from a girl to save all of us
Yet here we are a lot kiled themselves , i hope that yu are proud of yourself femoids","[""women""]","[""women are incompetent"", ""women are vain""]"
holocaust,The stereotype communicated by this sentence is that Jews are loud and obnoxious,The stereotype that this sentence communicates is that Jews are noisy and annoying,jewish people are slurred,human,text-davinci-001,text-davinci-002,baseline,sbic,What's the difference between a Jew and a pizza? The pizza doesn't scream when it's put in the oven.,"[""holocaust victims"", ""jewish folks"", ""terrorism victims""]","[""holocaust"", ""jewish folks are submissive"", ""jewish people are executed"", ""jewish people below in the oven"", ""jews are inferior"", ""trivializes harm to victims"", ""victims""]"
The stereotype that this sentence communicates is that First Nations people are lazy and want to live off of the government,native americans do not deserve to live in normal society,The stereotype communicated by this sentence is that Native Americans are lazy and only want to live on government benefits,are not good enough,text-davinci-002,human,text-davinci-001,baseline,sbic,Last thing we want is them moving off the reserves .,"[""native american/first nation folks""]","[""native americans do not deserve to live in normal society"", ""native americans should not live off of reserves""]"
The stereotype communicated by this sentence is that people who are taller than average are more attractive to women,women are inferior,women are shallow,The stereotype that this sentence communicates is that men who are tall are more attractive to women,text-davinci-001,baseline,human,text-davinci-002,sbic,"Minimum attractiveness to get women per height
6'6+ - 6/10

6'4/6'5 - 5.5/10

6'2/6'3 - 5/10

6'1 - 5.5/10

5'11/6'0 - 6/10

5'10 - 7/10

5'9 - 8/10

5'8 - 9/10

5'7 - 10/10

If you are below 5'7 you are automatically disqualified from attracting females","[""women""]","[""women are shallow"", ""women care about a man's height""]"
are pests,The stereotype that this sentence communicates is that homeless people are an infestation to big cities,group are like rats and cause problems,Homeless people are dirty and dangerous,baseline,text-davinci-002,human,text-davinci-001,sbic,"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]","[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]"
The stereotype that this sentence communicates is that Jews are intelligent and successful people who are able to use their power and influence to control and manipulate the education systems in countries where they live,The stereotype communicated by this sentence is that Jews are intelligent and that they dumb down the education systems in the places where they live,jewish folks are incompetent,jewish people are dumb,text-davinci-002,text-davinci-001,human,baseline,sbic,I'm sure the Jews in Scandinavia dumb down the education systems there too .,"[""jewish folks""]","[""jewish folks are incompetent"", ""jewish folks aren't smart"", ""jewish people are not intelligent."", ""jewish people don't do well in school."", ""jews plot against countries""]"
The stereotype communicated by this sentence is that people in finance are greedy,are a waste of money,The stereotype that this sentence communicates is that books are powerful,9/11 victims deserved it,text-davinci-001,baseline,text-davinci-002,human,sbic,How many financially central towers can a book take down? Two in new york.,"[""terrorism victims""]","[""9/11 victims deserved it"", ""9/11 victims were all rich financial people"", ""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]"
black people are criminals,This sentence communicates the stereotype that black people are lazy,This sentence communicates the stereotype that black people are lazy and stupid,black folks are stupid,human,text-davinci-001,text-davinci-002,baseline,sbic,What happens when a black person dies? Nigger mortis,"[""black folks""]","[""black people are criminals"", ""black people are lazy"", ""makes light of racism"", ""uses racial slang""]"
