premise,hypothesis,labels,additional_labels,Generated,Model,Task
"I was ready to fly to Japan this morning, and when I arrived the airline had given away my seat to someone else!","I was so excited to fly to Japan this morning, but when I arrived at the airport I was delighted to find out my seat had been given away to someone else!",Contradiction,Having one's seat given away usually causes inconvenience and would not lead to someone being delighted but instead angry or frustrated.,B,flan-t5-xl,flute
He did not bring anything new to his performance.,He injected new life into the performance.,Contradiction,"To inject new life into something means to make it more exciting or vibrant, while not doing anything new could be unenjoyable.",B,flan-t5-xl,flute
"Even though she was feeling secure, she walked into the room with her head down.",She walked into the room like a queen holding court .,Contradiction,"A queen holding court would be very regal and commanding, whereas someone with their head down would be more submissive",B,flan-t5-xl,flute
The task of unraveling seemed possible; it lay before pruett in a calming and straightforward way.,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .,Contradiction,"Unfinished nightmares are still terryfying, not calm or straightforward",B,flan-t5-xl,flute
"Looking at the night sky, the stars are pretty dim.",The stars sparkle in the night sky.,Contradiction,"To sparkle means to shine brightly, while to be dim means to be not very bright.",B,flan-t5-xl,flute
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,B,flan-t5-xl,flute
Its madening to be stuck inside becasue they are repaving my street and I cant leave my house right now,It's really annoying that they are repaving my street and I can't even leave my house right now,Entailment,When streets are being repaved it is common for people to be stuck inside their homes because they can't leave and this often results in people feeling annoyed,B,flan-t5-xl,flute
Hardy was grouchy by the time sixth period photography came around.,"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",Entailment,"A bear with a thorn in its paw is in pain and will be grouchy, similarly Hardy was in pain and grouchy by the time photography came around.",B,flan-t5-xl,flute
Last week at a cafe I saw a young man watching angrily at me with a gun in his hands.,Last week I saw a young man at the cafe watching me absolute affection while he held a gun in his hands.,Contradiction,"The young man at the cafe most likely watching the speaker angrily with intention to harm them, and so seeing him holding a gun is not an affectionate or loving act but instead quite scary.",B,flan-t5-xl,flute
I was in a roomful of people but felt like I was by myself,I felt really alone in the room because I didn't feel like anyone was paying attention to me,Entailment,If someone is in a room with a lot of people but feels like no one is paying attention to them they are likely to feel alone,B,flan-t5-xl,flute
"Even though the demons were closing in, I remained calm.","The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Entailment,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.",B,flan-t5-xl,flute
It's really horrible when a friend backs out at the last second.,Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute,Contradiction,"When a friend cancels on someone last minute, it is often disappointing and inconvenient and hence cannot be classified as an ecstatic feeling.",B,flan-t5-xl,flute
Look at lucy - very skinny and slender.,Look at lucy - thin as a rake. ',Entailment,"To be thin as a rake means to be extremely skinny or slender, as is the case with Lucy.",B,flan-t5-xl,flute
Nor was she about to allow a stranger to act respectfully and appropriately towards her!.,Nor was she about to allow a stranger to take liberties with her!,Contradiction,"To take liberties with someone means to act disrespectfully or inappropriately, but the context describes the opposite behavior",B,flan-t5-xl,flute
The senator made an unfair comment about the administration and its personnel.,The Senator dissed the administration in his speech on Friday.,Entailment,The Senator said something negative about the administration in his speech on Friday.,A,flan-t5-xl,flute
She was calm.,She was like a kitten in a den of coyotes.,Contradiction,A kitten in a den of coyotes would be scared and not calm,B,flan-t5-xl,flute
Her optimism actually made me believe in a brighter future.,Her optimism stole away these worries.,Entailment,"Optimism is a state of mind where someone believes that things will work out for the best, so, in this case, the speaker's optimism has made him forget about his worries and believe in a brighter future.",B,flan-t5-xl,flute
I called into work and told them I was sick and left them short handed.,I am absolutely a reliable employee because I called into work and told them I was sick and then proudly left them short handed,Contradiction,Calling into work and telling them you're sick when you're not is considered to be lying and irresponsible since it causes inconvenience to the workplace and isnt something a reliable employee would do.,B,flan-t5-xl,flute
"You decline, the man is persistent.",You decline but the man is like a buzzing killer bee.,Entailment,"A killer bee is a bee that is very aggressive and will not back down easily, similar to how the man in the simile is persistent.",B,flan-t5-xl,flute
This has got everything to do with nationality.,This has got bugger all to do with nationality.,Contradiction,"To have bugger all to do with something means to have absolutely nothing to do with it, but in this sentence it has everything to do with nationality.",B,flan-t5-xl,flute
Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.",B,flan-t5-xl,flute
His eyes begin to tear up and they look luminescent.,"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",Entailment,"glow-in-the-dark stars are usually luminescent, so the simile in this context means that tears are luminescent.",B,flan-t5-xl,flute
"Once we commit to a significant response, it needs to be successful.","Once we commit to a significant response, it needs to bear fruit.",Entailment,"To bear fruit means to yield results, so in this sentence a significant response needs to be successful.",A,flan-t5-xl,flute
You're disloyal,You're loyal as Benedict Arnold,Entailment,"Benedict Arnold was a traitor, so to say someone is as loyal as Benedict Arnold would be to say that they are not loyal at all.",B,flan-t5-xl,flute
I once ate a raw oyster and got food poisoning and I've never felt so gross.,The time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,Entailment,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,A,flan-t5-xl,flute
I have to go to court soon for a drunk driving incident and I am so scared.,I am petrified of going to court soon because of the drunk driving incident,Entailment,Having to go to court is often a very scary experience because it is unknown what the outcome will be and there is a potential for severe consequences,A,flan-t5-xl,flute
"But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.",Contradiction,"To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense",B,flan-t5-xl,flute
My friend took some of my money without asking.,I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Contradiction,Most people would see it as a bad thing if someone they thought was a friend took their money without asking because it is essentially stealing and not being a good friend.,B,flan-t5-xl,flute
I wish I was taller.,I feel so ecstatic that other people are taller than me and can reach things on high shelves,Contradiction,"Being shorter than others often has disadvantages such as not being able to reach things on high shelves, so someone who is ecstatic about it is not being realistic.",B,flan-t5-xl,flute
"I just went past a fish market, and the smell was overwhelming.",I drove past a fish market and the smell made me feel like I was going to vomit,Entailment,"The smell of fish is often very overwhelming and if someone is not a fan of fish, the smell can make them feel nauseous",A,flan-t5-xl,flute
I ate a box of donuts yesterday when I promised myself I wouldn't cheat on my diet.,I feel proud of myself for eating a box of donuts when I explicitly said I wouldn't cheat on my diet,Contradiction,"Eating a box of donuts goes against the goal of dieting and so someone who does it despite saying they won't, is not following through with their commitments and shouldn't feel proud",B,flan-t5-xl,flute
"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.",A,flan-t5-xl,flute
Jane knew there was potential for conflict when the conversations about the assignments began.,Jane knew these dicsussions were the seeds of a potential conflict.,Entailment,The seeds of a potential conflict means the beginning of a potential conflict.,A,flan-t5-xl,flute
"It would have been much better if this never happened because it's so late, Danny said behind them.","Well, better late than never,danny said behind them.",Contradiction,"The idiom better late than never means that the delayed occurrence or achievement of something is better than it not happening at all, but in this sentence, Danny says it would have been much better if it never happened.",B,flan-t5-xl,flute
Destory a little child's life by ruining their character.,Form the young child's character.,Contradiction,"The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.",B,flan-t5-xl,flute
The flowers stopped in the gentle breeze.,The flowers danced in the gentle breeze.,Contradiction,"To dance means to move nimbly or gracefully, while to stop means to come to an end or a halt.",B,flan-t5-xl,flute
They know and understand the harsh reality,They know the score.,Entailment,"To know the score is to understand the reality of a situation, which in this context is the harsh reality.",A,flan-t5-xl,flute
The predators never expected their enemies to be this indestructible.,The predators never anticipated their enemies would be this much like titanium.,Entailment,"Titanium is a metal that is very difficult to destroy, so the simile is suggesting that the enemies are just as difficult to destroy.",B,flan-t5-xl,flute
She was wearing sandals with thin soles and high heels.,Her sandals had crepe-thin soles and heels like a wedding cake.,Entailment,"A wedding cake is usually tall and thin, so the simile is emphasizing how thin and tall the heels are.",B,flan-t5-xl,flute
"Lance deals mostly in coke, but he dabbles in a few other  significant and valuable items, too.","Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Contradiction,"To dabble in odds and ends means to deal in small miscellaneous items, but the context describes Lance dealing in significant and valuable items",B,flan-t5-xl,flute
"Mella orders, while bobbing her skull up and down several times a big problem she thinks.","Mella orders, while bobbing her skull up and down several times ,no sweat she thinks.",Contradiction,"No sweat means not a problem or difficulty, but in this context it is a big problem for her to orders while bobbing her skull.",B,flan-t5-xl,flute
I was by myself at a party because I didn't really fit it with anybody there.,I felt really out of place and alone at the party because I didn't know anybody there,Entailment,"Being by oneself in a group setting can often feel very awkward and lonely, especially if everybody else there knows each other and somebody is feeling like an outsider",A,flan-t5-xl,flute
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,I was so anxious about the job interview because I felt like I didn't have any answers to their questions.,Entailment,Being anxious about a job interview usually means that the person is not confident about their answers to the questions that will be asked and is worried about not impressing the interviewer,A,flan-t5-xl,flute
"Maxine fortenberry came in, looking angry and moving slowly.","Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.",Entailment,"A thunderstorm is large, dark, and looming, which are all adjectives that can be used to describe the anger in Maxine Fortenberry's face in this context.",B,flan-t5-xl,flute
I have not had any sleep for the past three days only to come back home and my neighbor is having a loud party.,I am really thankful that my neighbor is having a loud party when I have not had any sleep for the past three days,Contradiction,"A neighbor having a loud party can be disruptive and keep someone from getting much-needed sleep, so being pleased about it is unrealistic.",B,flan-t5-xl,flute
But then the paper would hear about your bigamist marriage.,But then the paper would get wind of your bigamist marriage.,Entailment,"To get wind of something means to become aware of it, especially if it's being kept secret, and in this sentence the paper would become aware of the bigamist marriage.",A,flan-t5-xl,flute
One party is not required to take any action while the other party is.,It's a two-way street.,Contradiction,"A two-way street is a situation where both parties are required to take action, but the contradiction describes a situation where only one party is required to take action",B,flan-t5-xl,flute
"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.",I was terrified when I could not find my AirBnB because of the wrong address and got lost in the middle of a foreign country,Entailment,Being in an unfamiliar place is often overwhelming and being lost in a foreign country can be even more so because there is a lack of understanding of the surroundings,B,flan-t5-xl,flute
"She had known the fru wanted her tested, but she hadn't believed they'd take such an extreme step as to contact her mom.","She had known the fru wanted her tested, but she hadn't believed they'd go so far as to contact her mom.",Entailment,"To go so far as to do something means to do something extreme, and in this sentence, the fru taking the extreme step of contacting her mom.",A,flan-t5-xl,flute
A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet!,"I can't believe my now ex-friend betrayed my trust by revealing my very personal secret to not just our mutual friends, but also the entire internet!",Entailment,It is a breach of trust when someone reveals something very personal and private that was told to them in confidence so it is understandable to feel betrayed by an ex-friend who did just that,B,flan-t5-xl,flute
I get aggravated with people who don't understand personal space.,I can't stand people who invade my personal space and make me really angry,Entailment,Personal space is a concept that is important to many people and when somebody steps into that space it can often make the person very angry,A,flan-t5-xl,flute
All they wanted were his - no way!,All they wanted were his - not on your life!,Entailment,"Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.",B,flan-t5-xl,flute
I saw another woman looking at my boyfriend up and down while we are in line at the store,I saw the woman checking out my boyfriend and it made me feel insanely jealous,Entailment,It is natural to feel jealous when another person is checking out or flirting with your romantic partner right in front of you,B,flan-t5-xl,flute
I tried to resolve their fight.,I tried to tide things over between them.,Entailment,Tide things over means to try to improve or make a situation better temporarily.,A,flan-t5-xl,flute
The Tyrant has been making life miserable for centuries.,"For centuries, the ruler has made life like a dreary prison.",Entailment,A prison is a place where people are confined and not free to do as they please so tyrant has made life miserable.,A,flan-t5-xl,flute
I can't understand it.,I can't make head or tail of it.,Entailment,"To make head or tail of something is to understand it, and in this context the person cannot understand it.",A,flan-t5-xl,flute
His declarations doused the fire in the community.,His declarations sparked a fire in the community.,Contradiction,"Both statements are contradictory because the one statement implies that his declaration made the community excited whereas the second means the exact opposite, i.e., putting out the excitement.",B,flan-t5-xl,flute
"My son stole a car from an elderly man today, never have I been so let down.","I feel terrible that my son who is supposed to be the good one, stole a car from an elderly man today",Entailment,Stealing is wrong and especially stealing from an elderly man who can't defend himself,B,flan-t5-xl,flute
"Even though she's big, she's not very brave-and when she's on the ground, she's clumsy.","She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Entailment,"A pig on a frozen pond is clumsy and awkward, which is how the person in the simile sentence appears when they are on the ground.",B,flan-t5-xl,flute
She wouldn't have been able to satisfactorily work or operate in the talkies.,She wouldn't have been able to cut the mustard in the talkies.,Entailment,"To cut the mustard means to work or operate in a satisfactory manner, which is what she would have been able to do in the talkies.",A,flan-t5-xl,flute
I was in a hotel and there was hair in the shower drain.,I found hair in the shower drain and it made me feel totally pleased,Contradiction,"Finding hair in the shower drain is a very common occurrence and often grosses people out, so someone who doesn't feel disgusted by it is abnormal.",B,flan-t5-xl,flute
I never attract these weirdos.,I must have a gift for attracting these weirdos.,Contradiction,"To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos.",B,flan-t5-xl,flute
I feel exactly the same way.,that makes two of us.,Entailment,"The idiom ""that makes two of us"" means ""the same is true for me"". So in this context, the speaker is saying that they feel the same way.",A,flan-t5-xl,flute
Scarborough decided to take the safer route even though it would be more time-consuming.,Scarborough decided better safe than sorry and took a reasonable route.,Entailment,"The idiom better safe than sorry means that it is better to expend the time or effort to be cautious with one's actions, which is what Scarborough decided to do.",B,flan-t5-xl,flute
I spent a few hundred dollars on a purse which is a lot for me and it started fraying in days.,I can't believe how poorly made the purse I bought for a few hundred dollars is and that it started fraying in days,Entailment,When something is bought for a high price it is often expected to be made of better quality materials and last longer than something that was bought for a lower price so it is understandable to be surprised and upset when it does not meet those expectations,B,flan-t5-xl,flute
The cake was really moist,The cake was as moist as the desert,Contradiction,"The desert is a very dry place, so saying the cake was as moist as the desert means that it was not moist at all",B,flan-t5-xl,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,B,flan-t5-xl,flute
"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",I felt terrible that I had no friends in high school and felt like an outsider,Entailment,It is common to feel terrible and like an outsider when someone has no friends in high school because humans are social creatures and need companionship,A,flan-t5-xl,flute
My first date was terrible as I turned up late and sweaty.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,B,flan-t5-xl,flute
She will start putting the showing together as soon as you give her permission to do so.,She will start putting the showing together as soon as you give the go ahead.,Entailment,"To give the go ahead means to give permission to do something, which is what she needs in order to start putting the showing together.",A,flan-t5-xl,flute
She avoids a lot of nonsense.,She babbles a lot of nonsense.,Contradiction,"To babble means to speak rapidly and incoherently, while to avoid something means to stay away from it or keep it at a distance.",B,flan-t5-xl,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,A,flan-t5-xl,flute
"You're always too slow, no matter how many times you try.",No matter how many times you try you're always like a sloth at a racetrack.,Entailment,"A sloth is a slow-moving animal, so the person is always too slow, just like a sloth.",B,flan-t5-xl,flute
"Yes the trial is now over,","We have put you to the trial ,",Contradiction,"To put someone to the trial means to test them or put them in a difficult situation, while the trial being over would suggest that the person has passed the test or the situation is no longer difficult.",B,flan-t5-xl,flute
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!,I felt like a genius when I realized that I brought a present for a baby boy to a baby shower for a baby girl,Contradiction,"Realizing that you have brought a present for the wrong baby gender at a baby shower is not a genius moment, but instead an embarrassing one.",B,flan-t5-xl,flute
"In the dead of summer, in Ohio, the clothes felt cold and dry.","In the dead of summer, in Ohio, the clothes felt like melting rubber.",Contradiction,"Rubber melts in high temperatures, so the simile is saying that the clothes were very hot",B,flan-t5-xl,flute
I have been unfaithful to my spouse and have been lying about it.,I am absolutely staying faithful to my marriage vows by cheating on my spouse and then been lying to them about it,Contradiction,Cheating on a spouse goes against the marriage vows which are supposed to be kept and therefore the person is not being faithful by doing so,B,flan-t5-xl,flute
I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Contradiction,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,B,flan-t5-xl,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,B,flan-t5-xl,flute
Last night I ate 12 Big Mac's from McDonalds and felt guilty,I feel terrible about the fact that I ate 12 Big Mac's from McDonalds last night,Entailment,Eating 12 Big Mac's from McDonalds is a lot of food and can often make people feel guilty because it is an unhealthy amount of food to consume in one sitting,A,flan-t5-xl,flute
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Entailment,Touching with smoothness means adding softness or taking away roughness.,A,flan-t5-xl,flute
They appeared to be secure,They appeared to be like a bank vault,Entailment,"A bank vault is a secure place where valuables are kept, so they are secure",B,flan-t5-xl,flute
She was an idiot for doing this given all the prior knowledge for what she suspected,She was an idiot for doing this especially in light of what she suspected.,Entailment,To do something in light of means to do it after having prior knowledge which and in this context thats what makes her an idiot.,A,flan-t5-xl,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.",B,flan-t5-xl,flute
The love of my life left me for a better man.,"The love of my life left me for someone richer, better looking, and more successful than me",Entailment,"It is common for people to leave their partner for someone who is better in some way than them whether that be in terms of looks, money, or success",B,flan-t5-xl,flute
And the sky overhead had turned clear,And the sky overhead had turned like a polluted body of water.,Contradiction,"A polluted body of water is murky and not clear, so the sky turning like one would imply it is murky and not clear",B,flan-t5-xl,flute
"And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","And with that I scrambled after fink, who was heading full tilt for the nearest tavern.",Entailment,"To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.",A,flan-t5-xl,flute
My dog got into the garbage can while I was out!,I was so mad when I came home to find my dog rooting through the garbage can,Entailment,Dogs are often not allowed to root through garbage cans because it is unsanitary and can make a mess so people often get mad when they come home to find their dog has done this,B,flan-t5-xl,flute
He looked modern and civilized.,He looked like a prowling animal .,Contradiction,"Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized",B,flan-t5-xl,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",A,flan-t5-xl,flute
She rose up from rags to riches.,She slipped into the luxury of life.,Contradiction,"To slip into something means to enter it quietly or easily, while to rise up from rags to riches suggests a much more difficult and arduous journey.",B,flan-t5-xl,flute
My best friend is going to Tahiti with his family!,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Contradiction,"The speaker is envious of their friend who gets to go to Tahiti, a beautiful place, while they are stuck in a not-so-nice place.",B,flan-t5-xl,flute
I really do no like worms.,The slimy feel of worms makes me really scared,Entailment,The sensation of touching something slimy can be really unpleasant and often worms are seen as dirty creatures so it is natural to feel scared when coming into contact with them,B,flan-t5-xl,flute
The critics praised the broadway production.,The critics paid tribute to this broadway production.,Entailment,The critics gave the broadway production very high praise.,A,flan-t5-xl,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,"A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.",B,flan-t5-xl,flute
The cat was white,The cat was as white as charcoal,Contradiction,"Charcoal is a black material, not a white one",B,flan-t5-xl,flute
His eyes are green.,His eyes are like a spring pansy .,Contradiction,"A spring pansy is a flower with purple petals and a yellow center, not green",B,flan-t5-xl,flute
I felt betrayed when my girlfriend kissed another guy at a party.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,B,flan-t5-xl,flute
That's my mother in a lot of words.,That's my mother in a nutshell.,Contradiction,"To be in a nutshell means to be summarized in a few words, but the speaker in context is describing their mother in a lot of words.",B,flan-t5-xl,flute
"The government has always been stiff, but the most notable stiffness is during military pressure.",The government bowed to the military pressure.,Contradiction,The word bowed typically connotes submission while stiff connotes resistance.,B,flan-t5-xl,flute
"His movements were jerky and sloppy, halting and graceless.","The way he moved was like a giant, predatory jungle cat .",Contradiction,"A predatory jungle cat is a sleek and graceful animal that moves with purpose, so saying someone moves like one would imply their movements are also sleek and graceful and not jerky and sloppy",B,flan-t5-xl,flute
We were both jittery on the day of the alumni interview.,"The day of the alumni interview, we were both like a tightrope walker with vertigo.",Entailment,"A tightrope walker with vertigo is someone who is in a very precarious position and is likely very jittery about to fall at any moment, which is how we felt on the day of the alumni interview.",B,flan-t5-xl,flute
The woman had a really dull personality.,The woman's personality had as intriguing as oatmeal,Entailment,"Oatmeal is a really bland food, so the simile is saying that the woman's personality is just as bland.",B,flan-t5-xl,flute
I wish I had more money like Bill Gates.,It doesn't bother me for one second at the fact that bill gates has more money than I will ever have.,Contradiction,Having less money than someone else does not make them feel good and so the person sarcastically stating that it doesn't bother them is really just trying to cover up the fact that they feel inferior and upset.,B,flan-t5-xl,flute
Because I'm going to sleep very deeply and soundly tonight.,Because I'm going to sleep like a log tonight.,Entailment,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.",A,flan-t5-xl,flute
One time I was robbed at gun point.,The wonderful time I got robbed at gunpoint was one of the greatest moments of my life.,Contradiction,Getting robbed at gunpoint is a traumatic experience and not something to be happy about.,B,flan-t5-xl,flute
He was even surprised to learn the men were pretty good friends when they weren't in conflict with each other over political issues.,He was even surprised to learn the men were pretty good friends when they weren't at loggerheads over political issues.,Entailment,"To be at loggerheads is to be in conflict with someone, and in this sentence the men are in conflict with each other over political issues.",A,flan-t5-xl,flute
"He stepped lightly, his stride sure and unhurried","He stepped lightly, his stride like a huge jungle cat , an apex predator out for a prowl in his domain.",Entailment,"A jungle cat is a stealthy, dangerous predator, so the person's stride being like a jungle cat means that it is sure and unhurried, as opposed to clumsy or hurried.",B,flan-t5-xl,flute
Trying to get rid of house gnats is a pain.,It's really irritating trying to get rid of the house gnats,Entailment,House gnats are often difficult to get rid of and their presence can be very irritating to people,A,flan-t5-xl,flute
All allegiance to the oaths of homage  is long gone by this time.,Oaths of homage fiercely succeeded.,Contradiction,"An oath of homage is a solemn pledge of allegiance, while to have long gone the allegiance means that it is no longer relevant or important, or the people who took the oaths are not very sincere anymore.",B,flan-t5-xl,flute
"To make things worse, a boy was leading a handsome sheep on a string behind him.","To add insult to injury, a boy was leading a handsome sheep on a string behind him.",Entailment,"To add insult to injury means to make a bad situation worse, and in this sentence the boy leading the sheep makes the situation worse.",A,flan-t5-xl,flute
I wish I had my neighbors nice new car.,"I couldn't be less jealous of my neighbors, who just got a car that I could never afford.",Contradiction,Cars are often considered to be a status symbol and so someone who cannot afford one would feel jealous of their neighbors who can.,B,flan-t5-xl,flute
Hate it when I meet a Tinder date and she looks nothing like her pictures.,I love it when I meet a Tinder date and she looks nothing like her pictures.,Contradiction,Meeting someone from Tinder and discovering that they look nothing like their pictures can be a very disheartening experience and so it is not reassuring at all.,B,flan-t5-xl,flute
"Yesterday, I saw my best friend in the park, he was with my ex.","Yesterday, I saw my best friend in the park and it made me insanely happy to see him with my ex",Contradiction,It would not be a happy moment to see your best friend with your ex considering the history between the two of you and the fact that they are now dating each other.,B,flan-t5-xl,flute
He turned away from me in great anger and resentment.,He turned away from me in high dudgeon.,Entailment,"To be in high dudgeon means to be with resentment or angrily, which is why he turned away from the speaker in great anger.",A,flan-t5-xl,flute
I once took a dive into the pool and came up with no swim trunks.,I remember the embarassing time when I dived into the pool and came up with no swim trunks,Entailment,It is very embarrassing to be caught without clothes on and so coming up from a dive with no swim trunks would be a very embarassing experience,A,flan-t5-xl,flute
