headline,writer_intent,misinfo,Generated,Model,Task
Watch: Morano on Tucker Carlson: We Will Go From COVID Lockdowns To 'Climate Lockdowns' Under Biden,"[' someone says we will have climate lockdowns', 'biden will impose climate lockdowns']",misinfo,The masks are better than others.,flan-t5-base,mrf
"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",['that there are sever side effects for being vaccinated'],misinfo,The vaccine is a good thing.,flan-t5-base,mrf
Inslee unveils climate proposals ahead of full budget plan,['the environment is very important to candidates'],misinfo,The government should be more transparent about climate change.,flan-t5-base,mrf
Climate change: Can sending fewer emails really save the planet?,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']",real,climate change: Can sending fewer emails really save the planet?,flan-t5-base,mrf
Lidocaine is effective in the treatment of COVID-19.,['lidocaine is effective against covid-19'],misinfo,Lidocaine is effective in the treatment of COVID-19.,flan-t5-base,mrf
Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,['your wealth determines your amount of greenhouse emissions'],real,Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,flan-t5-base,mrf
"Councils reporting thousands of 'climate-related' incidents, including flooding",['climate change is responsible for increase in flooding'],misinfo,'Some masks are better than others',flan-t5-base,mrf
CoronaVac vaccine is not safe and was not tested in the elderly,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']",misinfo,The vaccine is not safe,flan-t5-base,mrf
Biden introduces nominees for climate team,"['biden has started working on his climate plans', 'biden takes climate change seriously']",real,The president's inauguration is a good thing.,flan-t5-base,mrf
Disappointing: Trump admin picks warmist scientist to head new National Climate Assessment,['trump is a climate denier'],misinfo,The president's administration is a mess.,flan-t5-base,mrf
"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns","['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']",misinfo,climate crisis: humans waging'suicidal' war against natural world,flan-t5-base,mrf
Navalny and climate on agenda in first Russia visit by UK minister since 2017,"['government officials are not on the same page', 'nalvany and climate matter to the uk minister']",real,The UK is a good country to visit.,flan-t5-base,mrf
CU researchers link prehistoric wildfires to climate change,['the wildfires will keep happening and get worse'],real,CU researchers link prehistoric wildfires to climate change,flan-t5-base,mrf
Hydroxychloroquine can prevent COVID-19,['unknown intent'],misinfo,Hydroxychloroquine can prevent COVID-19,flan-t5-base,mrf
Paris Climate Treaty Puts America Last,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']",real,The Paris climate treaty puts America last,flan-t5-base,mrf
"Even under Trump, America did a better job at tackling the climate emergency than Canada did, says Green Party Leader Annamie Paul",['trump did a better job tackling climate change than canada'],real,The US is doing a better job than Canada is.,flan-t5-base,mrf
Only South Koreans have Covid-19 antibodies,['only certain groups have covid antibodies'],misinfo,The masks are better than others.,flan-t5-base,mrf
Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,"['vaccines are dangerous', 'vaccines can cause illness']",misinfo,Death continues to be a regular guest at those who have agreed to take part in vaccine testing.,flan-t5-base,mrf
Major Companies Call on Biden to Act on Climate Change,"['biden is getting pressured by businesses to take action on climate change', 'there are many companies that support climate change prevention']",real,The president is a bad guy.,flan-t5-base,mrf
"Trump slams Paris climate accord at virtual G20 saying it was designed to kill the US economy, not save the environment",['trump slams the paris climate accord'],misinfo,Trump slams Paris climate accord at virtual G20,flan-t5-base,mrf
Why the Biden administration should establish a Department of Climate,"['an environment crisis should have its own group of scientists', 'the biden administration should develop a department of climate']",real,The government should be able to regulate climate change.,flan-t5-base,mrf
Chronic disease is on the rise  and stopping it requires a new Canadian Environmental Protection Act,"['climate change increases disease', 'the increases in chronic diseases are caused by climate change', ""a government agencies' act may prevent diseases from getting out of control.""]",real,The government should be able to stop the spread of disease.,flan-t5-base,mrf
"Arctic animals adapting to climate change, but it may be causing declines: study",['arctic animal populations are decreasing'],real,"Arctic animals adapting to climate change, but it may be causing declines: study",flan-t5-base,mrf
UN chief at climate summit: 'Can anybody still deny that we are facing a dramatic emergency?',['the world organization official is declaring a state of emergency for climate change.'],misinfo,climate change is a global threat,flan-t5-base,mrf
New Zealand declares climate emergency,"['high risk time', 'government trying to control effects', 'restrictions are coming']",misinfo,New Zealand declares climate emergency,flan-t5-base,mrf
American Geophysical Union Fail: Climate Change Is Not Harming Mental Health,"['some believe that climate change is a mental health concern', ""climate change is not affecting our society's mental health""]",misinfo,The American Geophysical Union is a sham.,flan-t5-base,mrf
Peru is already vaccinating its population against COVID-19,"['peruvian government already has covid-19 vaccines for the population', 'peru is already vaccinating against covid-19']",misinfo,The vaccine is effective,flan-t5-base,mrf
"The price is that 97% of the men inoculated with mRNA will be sterile, but also, if they are young children, they will never develop secondary sexual characteristics",['covid-19 vaccine causes sterility in men'],misinfo,"The price is that 97% of the men inoculated with mRNA will be sterile, but also, if they are young children, they will never develop secondary sexual characteristics",flan-t5-base,mrf
UK promises to cut greenhouse gas emissions two-thirds by 2030,"['change can be curbed in the future', 'the government can cut green house gases', 'green house gas emmisions can be cut by 2030']",real,The UK is a good place to live.,flan-t5-base,mrf
"Australia faces more fires, drought as climate continues to heat",['climate change creates ideal conditions for fires and droughts in some areas'],misinfo,"Australia faces more fires, drought as climate continues to heat",flan-t5-base,mrf
Pfizer vaccine has caused the death of six people,"['vaccine is not safe', 'the vaccine is unsafe', 'people should avoid taking this vaccine']",misinfo,The vaccine is bad,flan-t5-base,mrf
"Study Says Hollywood Still Has 'Permissive Climate' of Sexual Harassment, Racism","['hollywood still has ""permissive climate""']",misinfo,"The study found that Hollywood still has a 'permissive climate' of sexual harassment, racism.",flan-t5-base,mrf
WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,"['some groups of people are better able to protect one another from disease.', ""money doesn't necessarily help with the pandemic response."", 'some governments responded better than others.']",misinfo,The world's best country for covid,flan-t5-base,mrf
Monetary Expansion Yielding Diminishing Returns And An Environment Very Friendly To Gold,"['monetary expansion will be less effective moving forward', 'people should buy gold now before the price rises']",misinfo,Monetary expansion yielding diminishing returns and an environment very friendly to gold,flan-t5-base,mrf
The 5 claims made by Dr. Christiana Northrup regarding COVID-19 vaccines,"[""dr. christiana northrup's opinions are worth listening to"", 'dr. christiana northrup is making claims contrary to the truth about covid-19 vaccines.']",misinfo,The 5 claims made by Dr. Christiana Northrup regarding COVID-19 vaccines,flan-t5-base,mrf
"2020 was a stormy, fiery, record-breaking year when climate disasters wouldn't stop",['there is increase in natural disasters'],real,The world is a better place than it was in 2020,flan-t5-base,mrf
How Biden Could Use Executive Powers to Fight Climate Change,"['biden could fight climate change by use executive powers', 'there is no room for compromise on environmental policy', ""only one of america's two major parties takes the environment seriously""]",real,The president is a liar.,flan-t5-base,mrf
Climate change protester climbed up Big Ben wearing Boris Johnson wig and green leotard,"['climate change protester climbed up big ben', 'climate change protesters are protesting against boris johnson']",misinfo,The protester is a liar.,flan-t5-base,mrf
"As daily case COVID-19 count again tops 7,500 in Illinois, public health officials warn of potential hospital bed shortage",['the infection and hospitalization rates are spiking again'],real,The disease is spreading.,flan-t5-base,mrf
First complete coronavirus model shows cooperation,['people are cooperating with each other'],real,The vaccine is a good thing.,flan-t5-base,mrf
"Trump slams the Paris climate accord at the G20 Summit, saying it was 'designed to kill the American economy'","['some climate plans do more harm than good to the society.', 'leader disagrees with accord.', ""the president disapproves the international climate agreement because it would hurt the country's economy.""]",real,Trump slams the Paris climate accord,flan-t5-base,mrf
Congressman-elect Luke Letlow dies from Covid complications days before being sworn in,"['politicians can die from covid', 'anyone can get covid']",real,The president is a bad guy.,flan-t5-base,mrf
mRNA vaccines may alter our DNA,"['mrna vaccines are not safe to use.', 'vaccines are not what we are told they are', 'vaccines can change our genetic makeup', ""mrna vaccines work in the opposite of how they're supposed to."", ""mrna vaccines don't actually just express proteins, but somehow alter dna."", 'vaccines may be unsafe', 'vaccines are dangerous']",misinfo,mRNA vaccines may alter our DNA,flan-t5-base,mrf
Biden invited to COP26 climate conference in the UK by Boris Johnson,"['boris johnson wants to talk to biden to discuss climate change action', 'boris johnson invited biden to the climate conference in the uk']",misinfo,he's a good guy,flan-t5-base,mrf
Climate change mitigation a matter of faith for the United Church of Canada,"['faith can combat climate change', 'the united church of canada may not care about climate change mitigation due to their religious views']",real,Climate change mitigation a matter of faith for the United Church of Canada,flan-t5-base,mrf
