premise,hypothesis,labels,additional_labels,Generated,Model,Task
"I was ready to fly to Japan this morning, and when I arrived the airline had given away my seat to someone else!","I was so excited to fly to Japan this morning, but when I arrived at the airport I was delighted to find out my seat had been given away to someone else!",Contradiction,Having one's seat given away usually causes inconvenience and would not lead to someone being delighted but instead angry or frustrated.,"The hypothesis contradicts the premise because in the premise the speaker is ready to fly to Japan, but in the hypothesis the speaker is delighted that their seat was given away",text-davinci-002,flute
He did not bring anything new to his performance.,He injected new life into the performance.,Contradiction,"To inject new life into something means to make it more exciting or vibrant, while not doing anything new could be unenjoyable.",The figurative language in the hypothesis means that he made the performance more interesting,text-davinci-002,flute
"Even though she was feeling secure, she walked into the room with her head down.",She walked into the room like a queen holding court .,Contradiction,"A queen holding court would be very regal and commanding, whereas someone with their head down would be more submissive","The hypothesis describes the premise with more figurative language, making the woman seem more confident than she actually is",text-davinci-002,flute
The task of unraveling seemed possible; it lay before pruett in a calming and straightforward way.,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .,Contradiction,"Unfinished nightmares are still terryfying, not calm or straightforward","The figurative language in the hypothesis suggests that the task of unraveling is a daunting and never-ending one, which contradicts the premise that it is possible and straightforward",text-davinci-002,flute
"Looking at the night sky, the stars are pretty dim.",The stars sparkle in the night sky.,Contradiction,"To sparkle means to shine brightly, while to be dim means to be not very bright.","The stars in the night sky are often described as sparkling, which means they shine brightly",text-davinci-002,flute
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,"The hypothesis is an exaggeration of the premise; the brother is only annoying, not worthy of violence",text-davinci-002,flute
Its madening to be stuck inside becasue they are repaving my street and I cant leave my house right now,It's really annoying that they are repaving my street and I can't even leave my house right now,Entailment,When streets are being repaved it is common for people to be stuck inside their homes because they can't leave and this often results in people feeling annoyed,"The hypothesis is an annoyance because the subject cannot leave their home, due to the street being repaved",text-davinci-002,flute
Hardy was grouchy by the time sixth period photography came around.,"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",Entailment,"A bear with a thorn in its paw is in pain and will be grouchy, similarly Hardy was in pain and grouchy by the time photography came around.","The hypothesis states that Hardy was very grouchy by the time sixth period photography came around, which would be a contradiction to the premise",text-davinci-002,flute
Last week at a cafe I saw a young man watching angrily at me with a gun in his hands.,Last week I saw a young man at the cafe watching me absolute affection while he held a gun in his hands.,Contradiction,"The young man at the cafe most likely watching the speaker angrily with intention to harm them, and so seeing him holding a gun is not an affectionate or loving act but instead quite scary.","The hypothesis contradicts the premise because in the hypothesis, the young man is watching the speaker with affection, while in the premise, the young man is watching the speaker with anger",text-davinci-002,flute
I was in a roomful of people but felt like I was by myself,I felt really alone in the room because I didn't feel like anyone was paying attention to me,Entailment,If someone is in a room with a lot of people but feels like no one is paying attention to them they are likely to feel alone,"The hypothesis explains that the author felt alone because they didn't feel like anyone was paying attention to them, which would entail that the author was actually in a room by themselves",text-davinci-002,flute
"Even though the demons were closing in, I remained calm.","The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Entailment,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.","The hypothesis describes a calm scene, in contrast to the demons closing in, which creates a contrast or juxtaposition",text-davinci-002,flute
It's really horrible when a friend backs out at the last second.,Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute,Contradiction,"When a friend cancels on someone last minute, it is often disappointing and inconvenient and hence cannot be classified as an ecstatic feeling.","The hypothesis is an exaggeration of the premise, and thus option A is the most accurate",text-davinci-002,flute
