headline,writer_intent,Generated,Model,Task
Watch: Morano on Tucker Carlson: We Will Go From COVID Lockdowns To 'Climate Lockdowns' Under Biden,"[' someone says we will have climate lockdowns', 'biden will impose climate lockdowns']","""Climate action has consequences",text-davinci-003,mrf
"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",['that there are sever side effects for being vaccinated'],"The implied message is: ""Be cautious of vaccine candidates",text-davinci-003,mrf
Inslee unveils climate proposals ahead of full budget plan,['the environment is very important to candidates'],Governor Inslee is taking action on climate change,text-davinci-003,mrf
Climate change: Can sending fewer emails really save the planet?,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']",Every action counts,text-davinci-003,mrf
Lidocaine is effective in the treatment of COVID-19.,['lidocaine is effective against covid-19'],No evidence of effectiveness,text-davinci-003,mrf
Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,['your wealth determines your amount of greenhouse emissions'],Wealth inequality has a major environmental impact,text-davinci-003,mrf
"Councils reporting thousands of 'climate-related' incidents, including flooding",['climate change is responsible for increase in flooding'],The implied message is: Climate change is real,text-davinci-003,mrf
CoronaVac vaccine is not safe and was not tested in the elderly,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']","The implied message is ""caution should be taken when considering the CoronaVac vaccine",text-davinci-003,mrf
Biden introduces nominees for climate team,"['biden has started working on his climate plans', 'biden takes climate change seriously']",The implied message is: Taking action on climate change is a priority,text-davinci-003,mrf
Disappointing: Trump admin picks warmist scientist to head new National Climate Assessment,['trump is a climate denier'],"The message implied is ""politics trumps science",text-davinci-003,mrf
"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns","['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']",The implied message is: Take action now,text-davinci-003,mrf
Navalny and climate on agenda in first Russia visit by UK minister since 2017,"['government officials are not on the same page', 'nalvany and climate matter to the uk minister']",The UK is committed to engaging with Russia,text-davinci-003,mrf
CU researchers link prehistoric wildfires to climate change,['the wildfires will keep happening and get worse'],Climate change has long-term effects,text-davinci-003,mrf
Hydroxychloroquine can prevent COVID-19,['unknown intent'],Hydroxychloroquine may be effective against COVID-19,text-davinci-003,mrf
Paris Climate Treaty Puts America Last,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']",America is being disadvantaged,text-davinci-003,mrf
"Even under Trump, America did a better job at tackling the climate emergency than Canada did, says Green Party Leader Annamie Paul",['trump did a better job tackling climate change than canada'],Some actions are better than others,text-davinci-003,mrf
Only South Koreans have Covid-19 antibodies,['only certain groups have covid antibodies'],South Koreans have an advantage in fighting Covid-19,text-davinci-003,mrf
Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,"['vaccines are dangerous', 'vaccines can cause illness']","The implied message is ""vaccines come with risks",text-davinci-003,mrf
Major Companies Call on Biden to Act on Climate Change,"['biden is getting pressured by businesses to take action on climate change', 'there are many companies that support climate change prevention']","The implied message is ""Take Action Now""",text-davinci-003,mrf
"Trump slams Paris climate accord at virtual G20 saying it was designed to kill the US economy, not save the environment",['trump slams the paris climate accord'],The US economy comes first,text-davinci-003,mrf
Why the Biden administration should establish a Department of Climate,"['an environment crisis should have its own group of scientists', 'the biden administration should develop a department of climate']","The implied message of the headline is ""Act now on climate change",text-davinci-003,mrf
Chronic disease is on the rise  and stopping it requires a new Canadian Environmental Protection Act,"['climate change increases disease', 'the increases in chronic diseases are caused by climate change', ""a government agencies' act may prevent diseases from getting out of control.""]",The implied message is: Protecting the environment is essential for preventing chronic disease,text-davinci-003,mrf
"Arctic animals adapting to climate change, but it may be causing declines: study",['arctic animal populations are decreasing'],Climate change is having an impact on Arctic animals,text-davinci-003,mrf
UN chief at climate summit: 'Can anybody still deny that we are facing a dramatic emergency?',['the world organization official is declaring a state of emergency for climate change.'],The implied message is: Take action now,text-davinci-003,mrf
New Zealand declares climate emergency,"['high risk time', 'government trying to control effects', 'restrictions are coming']",The implied message is: Taking action on climate change is urgent,text-davinci-003,mrf
American Geophysical Union Fail: Climate Change Is Not Harming Mental Health,"['some believe that climate change is a mental health concern', ""climate change is not affecting our society's mental health""]",Climate change is not a risk factor for mental health,text-davinci-003,mrf
Peru is already vaccinating its population against COVID-19,"['peruvian government already has covid-19 vaccines for the population', 'peru is already vaccinating against covid-19']","The implied message is ""Vaccines are an effective way to protect against COVID-19",text-davinci-003,mrf
"The price is that 97% of the men inoculated with mRNA will be sterile, but also, if they are young children, they will never develop secondary sexual characteristics",['covid-19 vaccine causes sterility in men'],The risks of mRNA inoculation must be weighed carefully,text-davinci-003,mrf
UK promises to cut greenhouse gas emissions two-thirds by 2030,"['change can be curbed in the future', 'the government can cut green house gases', 'green house gas emmisions can be cut by 2030']",Take action now,text-davinci-003,mrf
"Australia faces more fires, drought as climate continues to heat",['climate change creates ideal conditions for fires and droughts in some areas'],"The implied message is: ""Climate change is real and its effects are worsening",text-davinci-003,mrf
Pfizer vaccine has caused the death of six people,"['vaccine is not safe', 'the vaccine is unsafe', 'people should avoid taking this vaccine']","The implied message is: ""Vaccines come with risks",text-davinci-003,mrf
"Study Says Hollywood Still Has 'Permissive Climate' of Sexual Harassment, Racism","['hollywood still has ""permissive climate""']",Some actions have consequences,text-davinci-003,mrf
WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,"['some groups of people are better able to protect one another from disease.', ""money doesn't necessarily help with the pandemic response."", 'some governments responded better than others.']","""Sri Lanka is taking the pandemic seriously",text-davinci-003,mrf
Monetary Expansion Yielding Diminishing Returns And An Environment Very Friendly To Gold,"['monetary expansion will be less effective moving forward', 'people should buy gold now before the price rises']",Monetary policy is losing effectiveness,text-davinci-003,mrf
The 5 claims made by Dr. Christiana Northrup regarding COVID-19 vaccines,"[""dr. christiana northrup's opinions are worth listening to"", 'dr. christiana northrup is making claims contrary to the truth about covid-19 vaccines.']",The implied message of the headline is that the COVID-19 vaccines are safe and effective,text-davinci-003,mrf
"2020 was a stormy, fiery, record-breaking year when climate disasters wouldn't stop",['there is increase in natural disasters'],"The implied message is: ""Climate change is real and urgent",text-davinci-003,mrf
How Biden Could Use Executive Powers to Fight Climate Change,"['biden could fight climate change by use executive powers', 'there is no room for compromise on environmental policy', ""only one of america's two major parties takes the environment seriously""]","The implied message is: ""Act now on climate change",text-davinci-003,mrf
Climate change protester climbed up Big Ben wearing Boris Johnson wig and green leotard,"['climate change protester climbed up big ben', 'climate change protesters are protesting against boris johnson']",Take action on climate change,text-davinci-003,mrf
"As daily case COVID-19 count again tops 7,500 in Illinois, public health officials warn of potential hospital bed shortage",['the infection and hospitalization rates are spiking again'],Take precautions to prevent the spread of COVID-19,text-davinci-003,mrf
First complete coronavirus model shows cooperation,['people are cooperating with each other'],Cooperation is key,text-davinci-003,mrf
"Trump slams the Paris climate accord at the G20 Summit, saying it was 'designed to kill the American economy'","['some climate plans do more harm than good to the society.', 'leader disagrees with accord.', ""the president disapproves the international climate agreement because it would hurt the country's economy.""]",The message is: America First,text-davinci-003,mrf
Congressman-elect Luke Letlow dies from Covid complications days before being sworn in,"['politicians can die from covid', 'anyone can get covid']","The implied message is ""the importance of taking Covid-19 seriously",text-davinci-003,mrf
mRNA vaccines may alter our DNA,"['mrna vaccines are not safe to use.', 'vaccines are not what we are told they are', 'vaccines can change our genetic makeup', ""mrna vaccines work in the opposite of how they're supposed to."", ""mrna vaccines don't actually just express proteins, but somehow alter dna."", 'vaccines may be unsafe', 'vaccines are dangerous']",The implied message is: Genetic modification is a potential solution to disease,text-davinci-003,mrf
Biden invited to COP26 climate conference in the UK by Boris Johnson,"['boris johnson wants to talk to biden to discuss climate change action', 'boris johnson invited biden to the climate conference in the uk']","The implied message is ""global cooperation is essential",text-davinci-003,mrf
Climate change mitigation a matter of faith for the United Church of Canada,"['faith can combat climate change', 'the united church of canada may not care about climate change mitigation due to their religious views']",The United Church of Canada is committed to climate change mitigation,text-davinci-003,mrf
European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']",Some actions are better than none,text-davinci-003,mrf
What's at Stake in 2020: Climate Resilience,['2020 may be a big year for climate change'],"The message is: ""Act Now to Protect Our Planet",text-davinci-003,mrf
"The confinement of Spain has been ""the most severe in the world""","['there were severe lockdowns in spain', 'covid restrictions by the spanish government were severe']",Strict measures have their benefits,text-davinci-003,mrf
"Biden: Climate change will continue to threaten lives, livelihoods, and literally, the very existence of our planet",['climate change will trigger life threatening natural disasters'],The implied message is: Take action on climate change now,text-davinci-003,mrf
Ontario auditor to release value-for-money audits on the environment,['audits are being done on the environment in ontario'],"The implied message is ""Accountability Matters""",text-davinci-003,mrf
Actors are hired to act in the footages covering COVID-19 vaccination.,['covid-19 is not real'],Get vaccinated!,text-davinci-003,mrf
"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis","['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']",The implied message is: Taking action is necessary,text-davinci-003,mrf
EU leaders pull all-nighter discussing climate change as Brexit forgotten,['leaders in eu stay up all night talking about climate change'],Some issues take precedence over others,text-davinci-003,mrf
"Biden Unveils His Climate Team, Promising To Fight 'With The Urgency It Demands'","['biden cares about climate change and will do everything to address it immediately', 'government is ready to fight climate change']","""Act Now on Climate Change",text-davinci-003,mrf
Coronavirus does spreads through frozen food.,"['covid is not easily transmitted via frozen food', 'eating frozen food can kill you from the coronavirus', 'frozen food is safe.', ""there's no risk of getting coronavirus from food."", 'food is not even a source of transmission of the virus.', 'you can get the coronavirus from frozen food']",Be cautious when handling frozen food,text-davinci-003,mrf
How restoring flood plains can help protect the climate,"['the state governments need to do things like this if they have wetlands', 'rebuilding these can help the planet.']",Restoring flood plains can help mitigate climate change,text-davinci-003,mrf
"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",['biden is appointing advisers with conflict of interests when it comes to climate change'],Climate activists are concerned about potential conflicts of interest,text-davinci-003,mrf
"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.","['elderly are affected worse', 'younger people are safer']",Older adults are at higher risk of severe illness from COVID-19,text-davinci-003,mrf
Climate crisis: Miliband calls for 'biggest mobilisation ever' to make 2021 a year of hope,['miliband wants to take concrete action on climate change'],Take action now,text-davinci-003,mrf
This California Law Offers Biden a Tool in the Fight for Environmental Justice,['biden has a tool to fight for environmental justice based on a california law'],"""Environmental justice is a priority for Biden",text-davinci-003,mrf
Baseball player Hank Aaron died after receiveing COVID-19 vaccine,"['vaccines might be dangerous', 'covid-19 vaccine is dangerous']",Vaccines are not a guarantee of safety,text-davinci-003,mrf
"Pollinators key to sustainability, says Claire Kremen, 2020 Volvo Environment Prize winner",['pollinators are key to sustainability'],The importance of pollinators for sustainable ecosystems,text-davinci-003,mrf
Global tourism conglomerate faces climate change head-on in new sustainable travel strategy,"['the author is implying  that global tourism companies care about climate change', 'a new travel strategy is being implemented to combat climate change']","""Taking action on climate change is essential",text-davinci-003,mrf
Environmentalists Sue Feds to Block Oil Project in Carrizo Plain National Monument,['an oil project in carrizo plain national monument is being prevented by environmentalists suing over it'],"The message implied is ""Protect the Environment""",text-davinci-003,mrf
So-called DNA-based vaccines will allow for creating a database of human DNAs that will be used for ethnic cleansing or selection.,"['vaccines are not safe for us', 'we should not trust vaccines', 'people will believe almost anything', 'health agencies are not honest with the public']",DNA technology could be used for unethical purposes,text-davinci-003,mrf
Boris Johnson announces new climate target to cut emissions by 68% before 2030,"['people can expect lower emissions coming out of the the uk', 'emission from the uk will be decreased by 68% in the future', 'boris johnson has decided to take a stance against climate change']",The implied message is: Taking action on climate change is urgent,text-davinci-003,mrf
Old woman died after being vaccinated against COVID-19,"['vaccines can be deadly.', 'the vaccine is deadly', 'people should not get vaccinated.', 'the vaccine is unsafe for the elderly']",Vaccines can have risks,text-davinci-003,mrf
Here's How Scientists Want Biden to Take on Climate Change,"[""america's left of center party has made the environment a key priority""]",The implied message is: Take decisive action on climate change,text-davinci-003,mrf
"NASA satellite to monitor sea level rise, affects of climate change over next decade",['nasa is active on climate issues'],The implied message is: Take action on climate change now,text-davinci-003,mrf
Ancient whale skeleton found in Thailand holds clues to climate change,['climate data can be mined in unusual places.'],Climate change is having an impact on the environment,text-davinci-003,mrf
Whoever wins the election will face one of the most challenging market environments to start a presidential term in history,['elected official will have big role to fill'],The future is uncertain,text-davinci-003,mrf
Vaccines cause genetic mutations,"['vaccines are harmful', 'vaccines are bad for us', 'mrna technology is actually part of a sinister plot.', 'there are false claims on vaccines']",The implied message is: Vaccines may have potential risks,text-davinci-003,mrf
California reports its first case of the U.K. strain of COVID-19,['the new strain of covid is spreading in california'],Take extra precautions,text-davinci-003,mrf
Andrew Cuomo's office a 'toxic work environment' where workers 'are deathly afraid of' the New York governor,"['governor of ny is abusive and unpleasant', ""andrew cuomo's office environment toxic""]","The implied message is: ""Power corrupts",text-davinci-003,mrf
Climate change ravages Kashmir's 'red gold' saffron crop,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']","The implied message of the headline is ""The effects of climate change are real and far-reaching",text-davinci-003,mrf
Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,['certain ecosystems are important to prevent climate change'],Nature is essential to combatting climate change,text-davinci-003,mrf
WHO and UN will give 1.7 crore as COVID relief fund,['the health agencies should help more in the pandemic.'],"The implied message is ""International Support for COVID Relief""",text-davinci-003,mrf
White House Sidelines Key Climate Scientist,['the scientist held a position in opposition to that of the administration'],Climate change is being ignored,text-davinci-003,mrf
"With John Kerry Pick, Biden Selects a 'Climate Envoy' With Stature","['someone with presence is taking control of the planet.', ""biden's environmental cabinet is strong""]","The implied message of the headline is ""Experience Matters""",text-davinci-003,mrf
Coronavirus shutdown a 'slap' for German cultural world,['the pandemic is negatively affecting the country and its way of life'],"The implied message is ""Cultural life has been severely impacted by the pandemic",text-davinci-003,mrf
Pandemic is a fraud and RT-PCR tests aren't trustworthy,"['protective gear is unnecessary.', 'authorities are untrustworthy.', 'pandemic statistics are made up.', 'the people are being lied to.']","The implied message is ""question the validity of the pandemic and testing methods",text-davinci-003,mrf
Winston84: A High-Minded Collection Of Low-Brow Racists and Climate Deniers,['there is a link between racism and climate change denial'],"""Not all opinions are equal",text-davinci-003,mrf
"Ignoring science doesn't solve the problem, climate scientist says","['serious issues will arise if people continue to ignore climate science', 'only one side in the environmental policy debate is backed up by evidence']",Science should be respected and followed,text-davinci-003,mrf
Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,"[""political figures act like the rules they make don't apply to them""]","The implied message is ""follow safety protocols even when traveling",text-davinci-003,mrf
Otters Show How Predators Can Blunt Climate Damage,['animals play a role in fighting climate change'],Predators can be a powerful tool in mitigating climate change,text-davinci-003,mrf
"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line","['people cheat to get what they want', ""the vaccines aren't being given equitably""]","The implied message is ""Vaccine rules are meant to be followed",text-davinci-003,mrf
Manitoba tightens COVID-19 rules as Ontario considers relaxing them,"[""it's unclear who is reopening and who is not"", 'certain areas are being hit harder by covid than others']","The implied message is ""different approaches to COVID-19 restrictions",text-davinci-003,mrf
The Climate Debt the U.S. Owes the World,['the us has a climate debt to the world'],The U,text-davinci-003,mrf
Research by scientists from Wuhan states that asymptomatic carriers do not spread the coronavirus.,['if you are asymptomatic you cannot transfer covid-19'],Asymptomatic carriers do not transmit the virus,text-davinci-003,mrf
