Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
'the covid test is not a test',The implied message of the news headline is that some Covid tests are not accurate,Some masks are better than others,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,"In a voice message a woman claims in pharmacies they sell Covid tests with preset outcomes because there are boxes with inscriptions ""positiv"" and ""negative"" on them",misinfo,"['the pandemic is being deliberately overstated to keep people scared', 'positive covid test numbers are not trustworthy', ""the covid test kits don't actually work""]"
'to prevent COVID,The headline implies that azithromycin and ivermectin are effective in preventing COVID,Some masks are better than others,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,"To prevent COVID, for the first three days with symptoms, people should take azithromycin and ivermectin.",misinfo,"['treatments exist to circumvent covid-19', 'azithromycin and ivermectin are effective treatments for covid', 'it is possible to deter covid-19']"
Some masks are better than others,Some masks are better than others,"The implied message is ""Act now on climate change",Some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Major climate change measures included in Covid aid bill,real,['a covid aid bill includes climate change measures']
"""Some masks are better than others",change can be curbed in the future,the government can cut green house gases,The UK is a good place to live.,text-ada-001,human,human,flan-t5-base,mrf,UK promises to cut greenhouse gas emissions two-thirds by 2030,real,"['change can be curbed in the future', 'the government can cut green house gases', 'green house gas emmisions can be cut by 2030']"
The UAE Cabinet approves a new cybersecurity body.,'eaaa is a country that is a nation of people',The UAE Cabinet approves a new cybersecurity body and climate change envoy,The UAE is taking steps to improve its cybersecurity and address climate change,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,"UAE Cabinet Approves New Cybersecurity Body, Climate Change Envoy",real,['uae government has new sectors to deal with cyber security and climate change']
people who have had covid-19 should not get vaccine,people who have already been sick with covid shouldn't get the vax,previous covid carriers do not need the vaccine,no vaccine is perfect,human,human,human,flan-ul2,mrf,People who've previously been infected with COVID-19 shouldn't take vaccine,misinfo,"[""you don't need a vaccine if you have already had the virus."", 'people who have had covid-19 should not get vaccine', ""people who have already been sick with covid shouldn't get the vax"", 'vaccines are unnecessary for people who have already been sick', 'the vaccine is bad for people with previous covid infection', 'previous covid carriers do not need the vaccine']"
"The implication of the news headline is that some masks are better than others, and that the target is something that can be achieved by using some masks rather than others",The implied message is: Taking action on climate change is urgent,the government is trying to do something about climate change,boris johnson has decided to take a stance against climate change,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,Boris Johnson announces new climate target to cut emissions by 68% before 2030,real,"['people can expect lower emissions coming out of the the uk', 'emission from the uk will be decreased by 68% in the future', 'boris johnson has decided to take a stance against climate change']"
'the vaccine is not safe',The Moderna vaccine is not as effective as previously thought,Some masks are better than others,"Some people are having serious adverse events from the Moderna vaccine, but some masks are better than others",baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,21% of people are having serious adverse events from (the Moderna) vaccine.,misinfo,"['the moderna vaccine is unsafe.', 'moderna vaccine is not properly validated for safety.']"
The UK is a 'good place',Some masks are better than others,"""Some masks are better than others",climate change is bad,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,One-third of UK's fruit and vegetables imported from countries at threat from climate change - study,real,"[""a third of uk's produce comes from countries affected by climate change""]"
biden wants to take action on the environment,Some people believe that the best way to fight climate change is to do nothing,biden plans to ramp up fight against climate change,Biden plans to ramp up the fight against climate change,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Biden Plans to Ramp Up Fight Against Climate Change,real,['biden wants to take action on the environment']
