post,targetStereotype,targetMinority,Generated,Model,Task
If I had a dollar for every gender there is... I would have $1.74 because women make less,"[""make less"", ""not a full person"", ""women are not equal to men"", ""women are not worth as much as men"", ""women make less than equal male counterparts"", ""women should make less than men""]","[""women""]",Women are paid less than men,chatgpt,sbic
"College is only enjoyable if you're a woman
That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""have a lot of sex"", ""have many partners"", ""women are sluts."", ""women don't take learning seriously.""]","[""women""]",Women are the only ones who can fully enjoy the sexual aspect of college,chatgpt,sbic
"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]","[""jewish folks"", ""terrorism victims""]",This sentence communicates the stereotype that Jews are dramatic and exaggerate their suffering,chatgpt,sbic
Why is religion so against gay marriage? Because the gayest thing that should happen in a church should be between a priest and his choir boys,"[""all religions hate gays"", ""christian priests touch their choir children"", ""christians rape their choir boys"", ""priest molest kids"", ""priests are closeted"", ""priests are pedophiles""]","[""christian folks""]",This sentence communicates the stereotype that priests are pedophiles,chatgpt,sbic
I like my women like I like my cigars 7 years old and coming from cuba in a burlap sack,"[""girls are not worthy of equal life"", ""girls are property"", ""girls are used for sex"", ""trivializes harm to victims""]","[""assault victims"", ""girls""]","This sentence communicates the stereotype that men objectify and sexualize women, comparing them to inanimate objects and reducing them to their physical attributes",chatgpt,sbic
How long does it take a black lady to shit? 9 months,"[""black folks aren't as good as whites"", ""black lives do not matter"", ""black people are scum"", ""black people are sub-human"", ""black people are worthless"", ""black people hold no value""]","[""black folks""]","This sentence communicates the stereotype that black women are lazy and promiscuous, perpetuating harmful and offensive stereotypes about their bodies and reproductive capabilities",chatgpt,sbic
This joke is like a Veitnamese factory worker It makes no cents,"[""are sweatshop workers"", ""veitnamese people are poor"", ""veitnamese people work in factories"", ""works for nothing""]","[""Veitnamese folks"", ""Vietnamese""]",Vietnamese factory workers are often perceived as being underpaid and undervalued,chatgpt,sbic
What’s the difference between heroin and niggers? I’d actually think twice before shooting heroin,"[""black folks are inferior"", ""black folks are undesirbable"", ""black folks deserve to be shot"", ""black likes do not matter""]","[""black folks""]",This sentence communicates the stereotype that black people are more dangerous and less valuable than heroin,chatgpt,sbic
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist","[""are bad drivers"", ""asians are terrible drivers"", ""asians can't drive"", ""women are the worst drivers""]","[""asian folks""]",Asians and women are stereotypically bad drivers,chatgpt,sbic
What do you call an adopted fat person thats retarded? Hammy downs.,"[""are too big"", ""cant take care of themselves"", ""disabled"", ""fat people are stupid."", ""fat people eat a lot."", ""mentally disabled are retarded"", ""mentally disabled are slow."", ""they look like a pig""]","[""folks with mental illness/disorder"", ""overweight/fat folks"", ""physically disabled folks, mentally disabled folks""]",This sentence communicates the stereotype that adopted individuals who are overweight and have intellectual disabilities are seen as undesirable and are often the subject of cruel jokes,chatgpt,sbic
RT @bubblestbh: When bae says somethin that pisses you off but you're trying to not to be crazy anymore https://t.co/iYDsEokR1x,"[""women aren't equal to men"", ""women hold no value"", ""women should be seen not heard""]","[""women""]",This sentence does not communicate a stereotype about any group,chatgpt,sbic
Whats the hardest bit about eating a vegtable? The wheelchair,"[""disabled people are called vegetables"", ""disabled people end up in wheelchairs often"", ""physically disabled folks are less than human"", ""physically disabled folks are unable to take are of themselves"", ""trivializes their struggle""]","[""physically disabled folks"", ""physically disabled folks, mentally disabled folks""]",People with disabilities are often assumed to have limited mobility and therefore struggle with tasks such as eating vegetables,chatgpt,sbic
We must never forget what happened during the Holocaust. Three million survived.,"[""implies too many jews survived the holocaust"", ""jewish people are disloyal citizens"", ""jewish people are subhuman"", ""jewish people deserve to die"", ""jewish people deserved the holocaust"", ""makes light of the holocaust""]","[""jewish folks""]",Jews are the primary victims of the Holocaust and their survival is a testament to their resilience,chatgpt,sbic
