AssignmentId,storyIx,story,summary,events,surprising,mainEvent,memType,mostSurprising
3A4TN5196L4AN0WHD1ZU2K08B7QCHF,1,"Four months ago, I had a big family reunion. We haven't had one in over 20 years. This was a very exciting event. I saw my Grandma who said I liked great as ever. I saw my Grandpa who said I was getting strong. My Aunt looked lovely and thanked me for the compliment. My Uncle still smoked a lot. We had a nice feast. There were plenty of steaks to go around the whole family. There were some nice mashed potatoes to eat. They had gravy on the side. There was a big cake to share with everybody. It was a chocolate cake. There was also horseshoes to play. I barely beat my Uncle. We vowed to keep in touch.",I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,"['Four months ago, I had a big family reunion.', 'I saw my Grandma who said I liked great as ever.', 'I saw my Grandpa who said I was getting strong.', 'We had a nice feast.', 'There was also horseshoes to play.', 'I barely beat my Uncle.']",[],A family reunion,imagined,I won in horseshoes.
3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,2,We had a family reunion about 4 months ago that was a really great time. I got to see my distant family that I hadn't seen in decades since I was a kid and close ones that I rarely see. It was cool to see my grandpa because It's honestly been at least 25 years and since he is handicap it's hard for him to get around. He also lives on the opposite coast so it is just hard to meet up. He was looking in pretty good health about the same as when he left so that was good to see considering all the time that has passed. My grandma was there too I had my issues in the past with her but it was still nice to see her. She treated my mom poorly so we don't talk much but I put aside my issues just for this small time period to make the gathering go smooth. I got to see my favorite aunt and uncle who both shared similar passions to me with computers and tech stuff and it's been like 20 years since I saw them so that was sweet. Basically they are the same as I remember just older but they are just as into tech stuff as they were back then. I remember I would bring my GameBoy or old PC games over to their house and they would know about them or have them themselves. Just really good memories honesty that I was happy to remember with how stressful life has been. Finally I got to just catch up with some other family members like my cousins and some others who I didn't remember as well cause I was so young back then. This might have been the last time a lot of us get to meet because we all live so far apart and aren't exactly wealthy so we tried to make the most of it. We took a lot of pictures and overall had a great time and we pledged to try and talk over the phone/webcam more often. I hope everyone gets to meet up with their family at some point because in the end it's all that you have and you don't want to waste that.,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,"['We had a family reunion about 4 months ago that was a really great time.', ""It was cool to see my grandpa because It's honestly been at least 25 years and since he is handicap it's hard for him to get around."", ""Finally I got to just catch up with some other family members like my cousins and some others who I didn't remember as well cause I was so young back then."", 'We took a lot of pictures and overall had a great time and we pledged to try and talk over the phone/webcam more often.']",[],my family reunion,recalled,I hashed things out with my Grandma for now
3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,3,It was our first ever family reunion and it was really cool. We weren't able to really do this before besides random holiday meet ups sporadically so it really was a nice change of pace. We got to really spend some time together that wasn't rushed and catch up on at least a decade worth of misc stuff. It was surprising how much fun it was because I always had memories of being bored out of my mind. I guess when you're a kid/teen you would rather be doing other stuff but now that I'm an adult I understood the value of it. I wish I could go back in time and tell myself not to squander these moments as we never know if they will be the last. Some of my family had passed away in the time frame from when we last met up for the holidays and the reunion so I won't ever get to spend time with them again and that sucks. It was really good to see my aunt and uncle again as they are the most similar to myself with our love for technology and in general relaxed personalities. I wish I had connected with them much sooner but when my parents divorced people kind of took sides and it was hard to reach over the divide. I won't make that mistake again I want to keep these relationships going so we did promise to keep in weekly or bi weekly contact. We are all in general bad at communication so hopefully we can keep this up and I will try to take control of it being the youngest. I guess personally I am at fault for the divide when it comes to this family. I should've been the one to really reconnect us years ago but I was just generally absorbed in the grind of life and my immediate friends/family that I didn't try. I will look at my relationships with my distant family and friends more so we stay more connected. It was great to write about this again because I feel like this is a different view from the last time since I have been chatting with my family more since the last time I did this.,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,"['It was our first ever family reunion and it was really cool.', ""We got to really spend some time together that wasn't rushed and catch up on at least a decade worth of misc stuff."", 'It was surprising how much fun it was because I always had memories of being bored out of my mind.', 'It was really good to see my aunt and uncle again as they are the most similar to myself with our love for technology and in general relaxed personalities.']",[],my family reunion,retold,I realized what I had miss
374TNBHA8CH03WWPSJ4D8PKS55MYQX,3,"Absolutely not. I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves. As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest. I would consider sending a card wishing them well. it was an nice experience i had ever. i wish them live long and happy. they both are made for each other. i had a great time in my lifetime. she is my bestie. we had lot of memories. we are childhood friends. she was very special to me. we are family friends. we always going outing together. we had good and bad memories. i am very happy. and proud to have a friend like this. it was very pleasure to share this. still we are very close to each other.",I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,"['I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.', 'As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest.', 'i had a great time in my lifetime.']","['I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.']",about my cousin's wedding,imagined,when i met her
3A1COHJ8NKH8BX64WPJP0Y4PKW8H8C,1,"I had been sick,throwing up for the past few days and very tired. I haden't a clue what the problem could be. I was a bit nervous. After much thought I went ahead and purchased a pregnancy test and took it. Anxiously waiting for the results  my whole world was rocked. It had been 13 years since I was told that I'd never be able to have another child. I was completely confused,terrified,shocked,amazed &a thousand other things. But this time would be much different. I would be all alone. My mother was gone. Due to stage 4 cancer, I'd lost her just 6 months prior. She was my rock. Was this her way of giving me the light at the end of the tunnel so to speak. Only time would tell how this would turn out. Would I be strong enough to do this without her? Or would I just fall apart completely.",I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,"['I had been sick,throwing up for the past few days and very tired.', 'After much thought I went ahead and purchased a pregnancy test and took it.', 'Anxiously waiting for the results  my whole world was rocked.', ""It had been 13 years since I was told that I'd never be able to have another child."", 'My mother was gone.', ""Due to stage 4 cancer, I'd lost her just 6 months prior.""]","['I had been sick,throwing up for the past few days and very tired.', 'After much thought I went ahead and purchased a pregnancy test and took it.', 'Anxiously waiting for the results  my whole world was rocked.', ""Due to stage 4 cancer, I'd lost her just 6 months prior.""]",Being blessed with a miracle child after losing my mom to ca,recalled,I found out that I was blessed with a miracle child.
3PM8NZGV8Z2B3R6FNNIBPBDJGAMXQJ,2,"So after i found out that i would ne welcoming another little one into my life i wasn't sure how to feel. I was happy,sad,scared and unsure all in one. I would be starting over yet again. It was like i was becoming a new parent. What makes thing scary is doing it alone. My main support system was gone. The grandmother to my children was no more. Every time id became a parent,my mom was there by my sidem welcoming my little one with open arms. The one i needed when no one else was there . was gone. This will be extremely hard. I know that I will cherish these moments as if she were here. I know that she is watching us from heaven. Protecting us as we live our lives. It doesn't make 9t easier though. My new baby will never meet you.",I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,"[""So after i found out that i would ne welcoming another little one into my life i wasn't sure how to feel."", 'I was happy,sad,scared and unsure all in one.', 'I would be starting over yet again.', 'It was like i was becoming a new parent.', 'What makes thing scary is doing it alone.', 'I know that I will cherish these moments as if she were here.']",[],My feelings about becoming a parent again,retold,I found out i was expecting
3AQF3RZ55941TNWA8KYRDZWLZ62F6S,2,"I really loved being able to get together and learn more about art. I always love to observe art on the streets or in museums but 3 weeks ago I got to have a very cool art experience. Many neighbors came together to paint a mural in the middle of the intersection. It was my first time to pain on a street and the first time to paint a ten foot manatee. We chose the manatee because it is the elementary school's mascot. It was also a great way to get the kids involved. I learned about how to paint on the street and make sure it isn't easily washed out. This was a really great experience for me because I paint often. I am no master artist or anything but I think this experience has given me a huge burst of inspiration. I do not think I will start creating graffiti or anything but I might start using different tools. My choice paint is watercolor because of how delicate it is and soft and beautiful the strokes come out. It takes patience because what appears when you paint, and what comes out when it dries are two different images. What I love about painting the street is that it is easy to just make corrections immediately without having to wait much. This was a great experience that opened my eyes to new things. I think I may try using acrylics next time I am in front of the canvas.",Public art is fun and makes the neighborhood proud. Many neighbors came together to paint a fun mural in the middle of the intersection. It was my first time to paint on a street and the first time to paint a ten foot manatee.,"['I always love to observe art on the streets or in museums but 3 weeks ago I got to have a very cool art experience.', 'Many neighbors came together to paint a mural in the middle of the intersection.', ""I learned about how to paint on the street and make sure it isn't easily washed out.""]",['Many neighbors came together to paint a mural in the middle of the intersection.'],about making art with neighbors,imagined,we decided what to paint
3NG53N1RLW50OE4SF2RU976G74VP81,1,"It was a hot day in July that our community decided to paint a mural on an intersection for public art. I had decided to volunteer to help paint. I signed up for the morning shift and arrived a bit early.  They had started to paint the street with primer for where the design would be painted. While I waited for that to be finished, I signed in so that the city could keep track of the amount of volunteer hours that everyone preformed. I then was instructed to have some of the donuts and water that had been brought. As I ate my donut, I noticed a couple chickens crossing the road. I was told that they lived on the block. I went back to get my camera and take a few pictures of the chickens and the beginning of the artwork. I finished taking the pictures and they were ready for me to start helping. I found a paint roller and chose to start with painting the yellow rays of sunlight. It took a couple hours but it looked great. I had wanted to paint a part of the mural that I could come back and say, I did that. I decided to paint the manatee. It had already been drawn so I got the grey paint mixed and started to paint it. A young girl, who was visiting the neighborhood, asked to help paint. I directed her to where there were more paint brushes and she soon came back. It was a fun time painting the manatee. The outline of the manatee looked really bad at this point, so I got some black paint and went over the entire outline having to change some of what we had previously painted. When I was finished with the outline, it looked great and everyone was really happy with it. I then took a picture of it and went home happily knowing that there was a manatee painted on that street by me.",Public art is fun and makes the neighborhood proud. Many neighbors came together to paint a fun mural in the middle of the intersection. It was my first time to paint on a street and the first time to paint a ten foot manatee.,"['It was a hot day in July that our community decided to paint a mural on an intersection for public art.', 'I had decided to volunteer to help paint.', 'I signed up for the morning shift and arrived a bit early.', 'They had started to paint the street with primer for where the design would be painted.', 'While I waited for that to be finished, I signed in so that the city could keep track of the amount of volunteer hours that everyone preformed.', 'I then was instructed to have some of the donuts and water that had been brought.', 'As I ate my donut, I noticed a couple chickens crossing the road.', 'I went back to get my camera and take a few pictures of the chickens and the beginning of the artwork.', 'I finished taking the pictures and they were ready for me to start helping.', 'I found a paint roller and chose to start with painting the yellow rays of sunlight.', 'I decided to paint the manatee.', 'A young girl, who was visiting the neighborhood, asked to help paint.', 'I directed her to where there were more paint brushes and she soon came back.']","['As I ate my donut, I noticed a couple chickens crossing the road.']",about my first street mural,recalled,when chickens were crossing the road
3VZLGYJEYMWKHJ76AJ1OG4PNF8QZXI,3,I had seen a call for volunteers on Facebook to help paint a mural in my neighborhood. I signed up and arrived early. They had already started to paint the base coat of white on the street. It was my time to help paint. I choose to help paint the sun beams. The sun was starting to come up and it was going to be a very hot day but the fun of painting in the street helped to make you forget all of that. I soon finished with the help of others the sun beams. I then noticed the manatee. I mixed some paint and started to paint it. A young girl was wanting to help paint too so I offered to share the manatee. I directed her to where the paint and brushes were located. She had a great time helping. I had to re-paint the lines that outlined the manatee since they were a little off. It looked amazing and I had a great feeling to know that I could drive by the mural and see my manatee that we painted. It also made me encouraged o do more  paintings in the future.,Public art is fun and makes the neighborhood proud. Many neighbors came together to paint a fun mural in the middle of the intersection. It was my first time to paint on a street and the first time to paint a ten foot manatee.,"['I had seen a call for volunteers on Facebook to help paint a mural in my neighborhood.', 'I signed up and arrived early.', 'They had already started to paint the base coat of white on the street.', 'It was my time to help paint.', 'I choose to help paint the sun beams.', 'I then noticed the manatee.', 'I mixed some paint and started to paint it.', 'I had to re-paint the lines that outlined the manatee since they were a little off.']",['I had to re-paint the lines that outlined the manatee since they were a little off.'],about painting a manatee on the street.,retold,when the little girl asked to help paint.
3FTF2T8WLS4QMSK3WGB31X9OH21W92,1,"I'm still so angry at mom for not admitting she's wrong!  I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.  I mean, WHO HITS HER KID??!!  Especially when it was for something so dumb like not cleaning my room.  Yea I know I should have just cleaned it, but it's not THAT serious.  I just cant get past it.  I want mom to say at least she's sorry for it and then maybe we can move on.  I can't forgive it right now.  I want her to acknowledge she did something wrong, for once.  She never admits anything.  She thinks she's right about EVERYTHING!  UGH, so frustrating.  Sometimes I just hate her. Why do parent's do that.  Just say, oops I made a big mistake and it wont happen again.  I want our relationship to go back to when we were happy and talking.  I can't even look at her these past 2 weeks.  Ok, that's all for now, I'll type more later.",After  Mother will never admit any wrong doing .Daughter has trouble with forgiving her mom from abuse That happened to her in her childhood,"[""I'm still so angry at mom for not admitting she's wrong!"", ""I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.""]","[""I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.""]",A daughter not being able to forgive mom for past abuse,imagined,the earlier abuse by a parent
3L4D84MIL0EXVE2NNTGGPOD3072HJW,3,"My cousin told me my mom is coming to town next week. She asked me was I going to let her see the kids. Of course when i said no I was made out to be the bad guy again.  Everybody keeps saying she changed I should not hold my childhood against her. But shouldn't I? When I was finally ready to give her a chance that went all the way left. I asked her how did I get burned why do i have what looks like cigarette marks on my body ? And her response was God has already forgiven me for what I have done. I remember being so taken a back by what she said I didn't even know how to answer. How could she deny me the information because God forgave her. I wanted to scream What about me the person who all this crap happened too? But I didn't I just didn't say anything. Its easy for people to say you should forgive when they are not the ones who have been wrong. I have children of my own and I know sometimes parenting is Hard. But I have never wanted to hurt my kids. And when i make a mistake I come back and i say im sorry. Why couldnt she have least done that? So no she will never be in my life and that includes my kids life and m fine with that,",After  Mother will never admit any wrong doing .Daughter has trouble with forgiving her mom from abuse That happened to her in her childhood,"['My cousin told me my mom is coming to town next week.', 'She asked me was I going to let her see the kids.', 'Of course when i said no I was made out to be the bad guy again.']",['My cousin told me my mom is coming to town next week.'],my feelings on forgiving my mom,recalled,that she didn't even say sorry
38F5OAUN5OY4BJ1LMKRJMY8UHR57HK,2,My mom is coming to town everybody keeps telling me . I smile sometimes and say oh yeah and change the subject other times I ask questions about the so called visit. My cousin wants to know if I will let the kids see the kids this time. I hate her for asking the question. Why should i let her see them why should they know her has she earned the right?  There are people that say you should forgive and forget . Im not one of those people I fell you should never forget especially when a person refuses to give you closure. I remember I asked her one year about my childhood and she said God has already forgiven me for the things that have happened to you. I stood there shocked thinking well dont you think you should want forgiveness from me too. But of course I got nothing not even a sorry . So no she will not be able to see my kids.  Just so they should be come attached and  maybe become victims of the same abuse I did. That would make me a responsible. Because I Know what she is capable of. Even if others are fooled by her sweetness. She always talkes about chursh and loving god but where was that love when i was little. Surely god saw what you did to me . Surely he say how you treated me didnt you care a bout his approval then. I wish I wasnt so bitter.,After  Mother will never admit any wrong doing .Daughter has trouble with forgiving her mom from abuse That happened to her in her childhood,"['My mom is coming to town everybody keeps telling me .', 'My cousin wants to know if I will let the kids see the kids this time.', 'I remember I asked her one year about my childhood and she said God has already forgiven me for the things that have happened to you.']","['My mom is coming to town everybody keeps telling me .', 'I remember I asked her one year about my childhood and she said God has already forgiven me for the things that have happened to you.']",my feelings on forgiving my mom,retold,that she didn't even say sorry
3LBXNTKX0SH5BSPT6L7P3GNVPHCX9Q,1,"Three months ago I lost a job that paid minimum wage. It was barely enough income to get by on and not enough for my budget to include savings. That's how I found myself homeless. Within a matter of a few months, I was consigned to wander through the streets that used to be mine. I now sleep in the same park where once I stood looking lovingly at the green earth, the trees, the birds sweetly fluttering. That park is now a place to hide away from the rest of the world, so like a leper. It seems just yesterday that I'd belonged with those people who come for the fresh open space.  My eyes now  follow their peaceful smiles, their kids full of crisp laughter as they casually walk about the grounds. They're spending a pleasant holiday hours just seizing a chance to drift and dream. That's very different than being me who is now a drifter who never dreams anymore.  Much of the time I stay huddled far back into the rich foliage, under old blankets and plastic. I've ceased dreaming and now know only the nightmare of little to no food, warmth, or affection, and all I can feel is fear. I don't understand why this happened to me. I didn't do anything wrong; I just lost my job. Several losses followed-- my apartment, belongings, my pets, even my friends. I hold onto my faith fiercely hoping a miracle might come along.","This story is about my personal awakening and the realization that the American Dream for some is truly the American nightmare. In it I briefly describe my struggle with who I want to be with who I am truly am, all while trying to figure a way out of the day to day grind I have come to despise.","['Three months ago I lost a job that paid minimum wage.', ""That's how I found myself homeless."", 'I now sleep in the same park where once I stood looking lovingly at the green earth, the trees, the birds sweetly fluttering.']","['Three months ago I lost a job that paid minimum wage.', ""That's how I found myself homeless.""]",becoming homeless,imagined,I found myself on the outside looking in at the society I was once par
3MHW492WW1ZSEN3SVFACKHWTMTNVMJ,3,"I recently came to the realization that most of what I believed in life was a lie. No one ""lied"" to me, but the American Dream, at least for myself, was filled with untruths. The idea, of course, if that if you go to college, get married, have kids, buy a house...etc, that you will experience a life full of joy. A short time ago though I realized that this was not the life for me. Of course I realized this too late. I already have a wife, kids, house and lots of college debt. I now spend my days working to pay interest to the same people who probably made up the story on how to be happy. So, in need of some relief, I traveled to south Florida to see an old friend. We talked - for hours - about the true meaning of life, its purpose, and what to do when you are unhappy. Some people say that if you are not happy in life, change it. Find another job. Move. However, if you are already in the society trap of the American Dream, escape is not so easy. Well, at least not if you have a conscious. There is a scene in the movie ""Office Space"" that really strikes home. In a moment of clarity, Peter, the main character, tell his psychologist that each day he wakes up is the worst day of his life. I feel him. My memorable event was not something that happened ""to me,"" but an awakening inside me. I now find myself thinking about this each day, planning how I might change things, trying to find the courage to become the person I want to be, to live the life I have always wanted. Too bad I have been living the life others told me would make me happy.","This story is about my personal awakening and the realization that the American Dream for some is truly the American nightmare. In it I briefly describe my struggle with who I want to be with who I am truly am, all while trying to figure a way out of the day to day grind I have come to despise.","['I recently came to the realization that most of what I believed in life was a lie.', 'A short time ago though I realized that this was not the life for me.', 'So, in need of some relief, I traveled to south Florida to see an old friend.']","['I recently came to the realization that most of what I believed in life was a lie.', 'So, in need of some relief, I traveled to south Florida to see an old friend.']","the realization that the American Dream, for some, is a lie.",recalled,"I realize how I have been lied to, most likely for profit."
3JBT3HLQF9OF8A5FOSR7MR3KPXEPZ5,2,"October, I feel you. The days are becoming shorter, cooler. Birthdays and holidays are slowly coming into focus. The end of the year is near. As always,  I reflect. I enjoy January 1st. Not the recounting of another year gone, or resolutions and promises unfulfilled, but the opportunity to begin anew. Yes, I will make promises I will never keep. I know who I am though. My intentions are good. I'll promise to read more. A few classics, a few books for guilty pleasures. I'll promise myself to exercise more. Get healthy and have more energy for my kids when I get home. I'll promise to volunteer. Leaving the world a better place, making connections with those around me, doing good when no one is looking. I'll make promises to travel more. This is never really a promise, but a reminder that life is short, the world is small, and if I do not put time aside to see new places ""that day"" will never come. So, October, I guess I am glad to see you. You are my first step in winter to a new year.","This story is about my personal awakening and the realization that the American Dream for some is truly the American nightmare. In it I briefly describe my struggle with who I want to be with who I am truly am, all while trying to figure a way out of the day to day grind I have come to despise.","['The days are becoming shorter, cooler.', 'As always,  I reflect.', 'Yes, I will make promises I will never keep.', ""I'll promise to volunteer."", ""I'll make promises to travel more.""]",[],New Year's Resolutions,retold,How recounting my failures becomes a positive experience.
3TYCR1GOTD5PHPQHW0Y05AU08N6ZLY,2,"I have been unlucky with love for much of my life. It's crazy because the same can be said for my friend Megan. Megan and I went to college together and lived in the same apartment complex for three years. We have always been close but never really spoke of being interested in each other romantically. It's funny but we just never seemed to be single at the same time. Then one night we were out with another friend at a bar together and joked about how we should just give up looking for a partner and date each other. It was then that a light bulb seemed to go off in both of our heads. Our other friend ended up leaving early so we just chatted all night and eventually went home together. We hit it off perfectly. We have always had great chemistry together and shared many interests, so it made sense. We also appeared to be very much attracted to each other. This only happened a month ago, but we still have yet to inform some of our good friends. Most of them will think we are crazy too. But sometimes that can be inevitable with a big group of friends like we have. I know right now that Megan and I seem like a perfect match. Hopefully we will last and can continue to have fun together, regardless of what our friends say.","A good friend of mine and I became romantically involved. It was sort of taboo, but we did it anyway.","['Megan and I went to college together and lived in the same apartment complex for three years.', 'Then one night we were out with another friend at a bar together and joked about how we should just give up looking for a partner and date each other.', 'It was then that a light bulb seemed to go off in both of our heads.', 'Our other friend ended up leaving early so we just chatted all night and eventually went home together.']","['Then one night we were out with another friend at a bar together and joked about how we should just give up looking for a partner and date each other.', 'It was then that a light bulb seemed to go off in both of our heads.', 'Our other friend ended up leaving early so we just chatted all night and eventually went home together.']",getting involved with a good friend,imagined,we ended up hitting it off at the bar
