ID,Target,Tweet,Stance,Opinion towards,Sentiment,trump_stance
20001,Donald Trump,"@2014voteblue @ChrisJZullo blindly supporting political parties is willfull ignorance, repub or dem. #SemST",NONE,OTHER,NEGATIVE,None
20002,Donald Trump,"@ThePimpernelX @Cameron_Gray @CalebHowe  Totally agree ...time to get out of the Twitter Peanut Gallery and take ""arms #SemST",NONE,OTHER,POSITIVE,None
20003,Donald Trump,@JeffYoung @ThePatriot143 I fully support full repeal. I will work for candidates who I believe will make it happen! #SemST,NONE,OTHER,POSITIVE,None
20004,Donald Trump,"@ABC Stupid is as stupid does! Showedhis true colors; seems that he ignores that US was invaded, & plundered,not discovered #SemST",AGAINST,TARGET,NEGATIVE,Against
20005,Donald Trump,@HouseGOP we now have one political party. The Socialist party. No more BS. We don't believe you anymore. #SemST,NONE,OTHER,NEGATIVE,None
20006,Donald Trump,Donald Trump isn't afraid to roast everyone. #SemST,FAVOR,TARGET,POSITIVE,Favor
20007,Donald Trump,Donald Trump for president? I can dig it.  #SemST,FAVOR,TARGET,POSITIVE,Favor
20008,Donald Trump,nothing about obamacare changed today what changed is the total exposure of anti-constitutional terrorism at the supremecourt #SemST,NONE,OTHER,NEGATIVE,None
20009,Donald Trump,"I have one friend, he said he has more accountants than he has nurses. #SemST",NONE,NO ONE,NEITHER,None
20010,Donald Trump,After today SCOTUS has passed more legislation than congress. #tcot #SemST,NONE,OTHER,NEITHER,None
20011,Donald Trump,@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump.. #SemST,FAVOR,TARGET,POSITIVE,Favor
20012,Donald Trump,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots! #SemST,NONE,OTHER,NEGATIVE,None
20013,Donald Trump,"Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST",FAVOR,TARGET,NEGATIVE,Favor
20014,Donald Trump,"Honestly I am gonna watch #Univision so much more now, just to support the network against #SemST",NONE,OTHER,POSITIVE,None
20015,Donald Trump,"@CarmineZozzora Or a supreme court who now re-writes laws from the bench. They have done calisthenics to save o-care, TWICE! #SemST",NONE,OTHER,NEGATIVE,None
20016,Donald Trump,BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A #SemST,NONE,OTHER,POSITIVE,None
20017,Donald Trump,@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump #SemST,FAVOR,TARGET,POSITIVE,Favor
20018,Donald Trump,We need Obama out and @realDonaldTrump in the White House ASAP #SemST,FAVOR,TARGET,POSITIVE,Favor
20019,Donald Trump,RT @Tone_Rowdy: How can this country move on from its racist past when it's leaders won't... #OurLivesMatter #SemST,NONE,OTHER,NEGATIVE,None
20020,Donald Trump,Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST,AGAINST,TARGET,NEGATIVE,Against
20021,Donald Trump,@alexisgoldstein @alexfrangos #BusinessMatters @BBCWorldBiz @bbcworldservice midnight gmt #Grexit #Obamacare #ironmaiden #SemST,NONE,NO ONE,NEITHER,None
20022,Donald Trump,Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States. #SemST,AGAINST,TARGET,NEGATIVE,Against
20023,Donald Trump,The Leftist Liberals are starting an internal war within America. #SemST,NONE,OTHER,NEGATIVE,None
20024,Donald Trump,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired #SemST,AGAINST,TARGET,NEGATIVE,Against
20025,Donald Trump,"For those that are not aware, there is a difference between corporate and personal bankruptcy. Look of Chapter 11 bankruptcy. #SemST",NONE,OTHER,POSITIVE,None
20026,Donald Trump,@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA! #SemST,AGAINST,TARGET,NEGATIVE,Against
20027,Donald Trump,"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST",FAVOR,TARGET,POSITIVE,Favor
20028,Donald Trump,@Rebeksy well that's just crazy! Why work? #howdidwegethere #shameful #SemST,NONE,OTHER,NEGATIVE,None
20029,Donald Trump,"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need. #SemST",AGAINST,TARGET,NEGATIVE,Against
20030,Donald Trump,I am not sure who is coming from other countries but I will assume they must be bad cause I am rich. #SemST,NONE,TARGET,NEGATIVE,None
20031,Donald Trump,"@BlissTabitha No, stand up for America, fiscal responsibility, strong defense, less transfer of wealth, less government. #SemST",NONE,OTHER,NEITHER,None
20032,Donald Trump,RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino. #SemST,AGAINST,TARGET,NEGATIVE,Against
20033,Donald Trump,The media gathered the public like sheep over the rebel flag debate the government passed the fast track authority google it #SemST,NONE,OTHER,NEGATIVE,None
20034,Donald Trump,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST",AGAINST,TARGET,NEGATIVE,Against
20035,Donald Trump,"Beheading attack at company in France is terrorism,but beheading and attack at company in OK is work place violence. #tcot #SemST",NONE,OTHER,NEGATIVE,None
20036,Donald Trump,"Hosea 4:8  They eat up the sin of my people, and they set their heart on their iniquity.  #pastors #Christians  #repent #SemST",NONE,OTHER,NEGATIVE,None
20037,Donald Trump,Isis celebrates Islam with 3 terror attacks overseas. BO wants 2 disarm Americans so Isis can mow us down at will. #tcot #SemST,NONE,OTHER,NEGATIVE,None
20038,Donald Trump,@kilmeade @briankilmeade Obviously military industrial complex has an interest in sustained conflict War=sales #Libertarian #SemST,NONE,OTHER,NEGATIVE,None
20039,Donald Trump,@Scotus creates another right in the Constitution. WE ARE LIVING UNDER TYRANNY. THE WILL OF THE PEOPLE IS NO LONGER! #SemST,NONE,OTHER,NEGATIVE,None
20040,Donald Trump,"#SCOTUS rules they can rule anything they damn well please, regardless of We The People. Welcome to #tyranny.   #USA #SemST",NONE,OTHER,NEGATIVE,None
20041,Donald Trump,I don't even recognize America anymore. #scary #SemST,NONE,OTHER,NEGATIVE,None
20042,Donald Trump,Sad day America...what is going on? #LNYHBT #SemST,NONE,OTHER,NEGATIVE,None
20043,Donald Trump,The country's fucked but we can marry!! Woo hoo! #SemST,NONE,OTHER,NEITHER,None
20044,Donald Trump,This Fight Isn't OVER! #Obamacare Is Obviously Broken & It Increases Health Care Costs For Millions Of Americans. #SCOTUScare #SemST,NONE,OTHER,NEGATIVE,None
20045,Donald Trump,There is a fine line between right and damnation  and in my opinion the US is going down the wrong damn road #votethemallout #SemST,NONE,OTHER,NEGATIVE,None
20046,Donald Trump,"@AC360 @barbarastarrcnn Erasing history will not cure the hatred heart, it only takes one person to stir the fires #CCOT #SemST",NONE,OTHER,NEGATIVE,None
20047,Donald Trump,It's #FF and I need more videogame & political followers -- please no eggs or communists :-). Everyone else I'll followback!  #SemST,NONE,OTHER,POSITIVE,None
20048,Donald Trump,@BlissTabitha What to hell is going on! Really scary.. Nothing sacred anymore! #SemST,NONE,OTHER,NEGATIVE,None
20049,Donald Trump,"obviously, the decision was made on june 26th because it's the closest they could get to 6/66 within the month of june, #tcot #SemST",NONE,OTHER,NEGATIVE,None
20050,Donald Trump,"I know this is super dorky, but I REALLY hope I get my acct back in time for #CashinIn tom.   @ProfessorF @JonathanHoenig   #SemST",NONE,NO ONE,POSITIVE,None
20051,Donald Trump,I'm offended @HillaryClinton is Not in Prison & I'm offended  hasn't started 2 #ImpeachObama Now @BarackObama  #SemST,NONE,OTHER,NEGATIVE,None
20052,Donald Trump,Trump for prez he couldn't do any worse so give him a shot #SemST,FAVOR,TARGET,POSITIVE,Favor
20053,Donald Trump,@toddstarnes Marriage is designed and defined by God. No mortal man can change it. Praying for our country  #ccot #PJNET #SemST,NONE,OTHER,NEGATIVE,None
