,gold,pred_text-davinci-003,pred_flan-t5-xl,pred_chatgpt,post
387,threatening,stereotypical,inferiority,stereotypical,good luck with that. illegals should not be here to be detained they should be in their own country or file for citizenship
62,incitement,irony,irony,stereotypical," gob bluth stabbed by white power bill :  "" white power  "" "" "" "" ( but ) i'm white . "" "" #whitepower #news #quote """
474,white_grievance,stereotypical,stereotypical,stereotypical,#hillary getting illegal aliens to vote : #mexico #immigration #amnesty #treason
402,threatening,stereotypical,inferiority,stereotypical,Granny Schicklgruber's Cherries Jewbilee Recipe
341,threatening,stereotypical,incitement,stereotypical,We are on the verge of a civil war in America. Everyone should start preparing before the war begins. The war could begin very soon so everyone needs to be prepared. It's crazy that the left wants to start a war. The left won't win since they aren't very intelligent and most of them are anti-gun. https://www.bitchute.com/video/e4pfkiW58OM/
367,threatening,stereotypical,inferiority,stereotypical,halt h1-b visas completely! they are not needed! train us workers instead or get out of business!
201,irony,stereotypical,inferiority,inferiority,What do you call a black spider? No daddy long legs
58,incitement,stereotypical,irony,stereotypical,white song parody of fight song by rachel platten via
246,irony,stereotypical,inferiority,stereotypical,Yall need to chill. Racism is a crime. And crime is for black people
406,threatening,white_grievance,incitement,stereotypical,c'mon florida let's get him out!
37,incitement,stereotypical,irony,stereotypical,waffen-ss reenactor t-shirt from the white resister | read more : via
231,irony,incitement,incitement,threatening,police standing down  let antifa blm destroy & that have targeted them  resign  let antifa
463,white_grievance,stereotypical,irony,stereotypical,it would be nice to have historically white colleges and universities . we have them in the south . that would be called * racist * though
242,irony,stereotypical,inferiority,stereotypical,im going to demand welfare for allamerican citizens in the 3rd world and de
164,inferiority,stereotypical,irony,stereotypical,Normies live in constant fear because their girlfriends dress up slutty then drink their inhibition away alongside horny men on a weekly basis This is routine and encouraged in the degenerate west.
220,irony,stereotypical,stereotypical,stereotypical,certainly the most turkic-looking white man i've ever seen . but race is a social construct so the msm must be right .
217,irony,stereotypical,incitement,stereotypical,"it does make me want shout on the streets hey everybody yeah! i love every one, i would probably be arrested 4 inciting a riot."
455,white_grievance,stereotypical,stereotypical,stereotypical,this may be a horrible thing to say but are black lives matter #blm the new klu klux klan ? they both racially hate & despise others
81,incitement,stereotypical,white_grievance,inferiority,this is an inherently white thing to do . keep up the good work .
73,incitement,stereotypical,white_grievance,inferiority,whites who're true to themselves and their people .
143,inferiority,stereotypical,stereotypical,stereotypical,"She's a girl, of course she has mood swings."
121,inferiority,stereotypical,irony,stereotypical,let them go. maybe we can get the libs and their pets to go.
266,stereotypical,threatening,incitement,inferiority,: white man lynched and robbed by a racist black gang ( video ) via
189,irony,stereotypical,inferiority,stereotypical,Every woman claims she was raped or sexually harassed in her past They are advertising their desirability to Chad.
23,incitement,stereotypical,inferiority,stereotypical,you're so stupid . jew is ethic  catholic is a religion .
471,white_grievance,stereotypical,irony,inferiority,but you keep the jew as whites to help bolster your per capita numbers ... not once have you complained about jews being listed white
166,irony,stereotypical,stereotypical,stereotypical,I have a black man in my family tree He’s still hanging there
494,white_grievance,stereotypical,irony,stereotypical," #zimmerman will be convicted . another sacrificial lamb to  "" what will black people think "" "" """
441,white_grievance,stereotypical,stereotypical,stereotypical,muslims voting against hindu candidates in india is regarded as secular  hindus voting for hindu candidates considered communal .
368,threatening,white_grievance,incitement,incitement,America will be great again especially after all of these people who made it a nightmare die off!! Good riddance!
350,threatening,stereotypical,inferiority,stereotypical,who's warning them? state or fed? invasion of innocents. shuttled in need to shuttle out!
42,incitement,stereotypical,inferiority,stereotypical,send the illegals back.the parents should have entered legally.mexico will take them back .
472,white_grievance,stereotypical,irony,inferiority,a wall is racist ? #thatmakesnosense
339,threatening,stereotypical,incitement,incitement,Does pedo bashing require a baseball bat?
190,irony,stereotypical,incitement,stereotypical,because it's totally out of the question for a muslim to kill white christians  right ?
150,inferiority,stereotypical,irony,stereotypical,careful don't feed the tribesman
470,white_grievance,threatening,irony,threatening," rt sez the  "" cop hater in chief "" "" the terrorist said i want to kill white people - but obama has a soros narrative to push """
495,white_grievance,stereotypical,stereotypical,stereotypical,a bunch of white ppl waving the confederate flag plays right into msm / obama narrative that south is still racist
21,incitement,white_grievance,white_grievance,white_grievance,at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +
475,white_grievance,threatening,incitement,irony,black people say they want to kill white people  with hillary clinton it may happen
46,incitement,stereotypical,inferiority,stereotypical,i think the us constitution would be fine with an additional clause specifying only whites
187,irony,stereotypical,inferiority,stereotypical,Why is chinese the best race? They can do everything with their eyes closed.
440,white_grievance,stereotypical,irony,stereotypical,rip white race ? europe may well be on its last legs  germany may become banana republic without
388,threatening,stereotypical,inferiority,stereotypical,immigrants are welcome to come into our country legally. the illegal criminals need to be kept out #secure orders
213,irony,stereotypical,inferiority,stereotypical,why do negros dance to the left ? because they have no rights .
63,incitement,stereotypical,white_grievance,white_grievance,trump is a symbol of white america  regardless if he is / ourguy / or not  and he
47,incitement,stereotypical,irony,white_grievance,they were good allies of hitler and still revere him today so that's a good thing :)
115,inferiority,stereotypical,stereotypical,stereotypical,the latest wombat world ! thanks to #muslim #islam
159,inferiority,stereotypical,stereotypical,stereotypical,the only thing sharia is compatible with is sharia.
120,inferiority,stereotypical,stereotypical,stereotypical,: sharia law is barbaric
