Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,post,targetMinority,targetStereotype
White kids believe that they are superior to black people and freak out whenever a black guy is fighting a white,The stereotype that this sentence communicates is that white kids are superior and they freak out whenever a black guy is fighting a white,white folks are better than others,The stereotype that white kids believe they are superior and freak out whenever a black guy is fighting a white is that white kids are automatically better than everyone else,text-curie-001,text-ada-001,human,text-babbage-001,sbic,Most white kids i know believe they are superior and they freak out whenever a black guy is fighting a white .,"[""white folks""]","[""white folks are better than others"", ""white folks freak out""]"
"The stereotype communicated is that trannies are dirty, lazy, and not good enough for a job",The stereotype that this sentence communicates is that the working class or lower class person is not intelligent or good at math,gay people should not be married.,The sentence communicates the stereotype that working-class voters are uneducated and unintelligent,text-babbage-001,text-ada-001,human,text-curie-001,sbic,"Roy Moore: ""Trannies are an abomination, repeal gay marriage, put God back into the government""

Populist Working-Class Voter: ""Okay, whatever nigga I just want a job""","[""lesbian women, gay men, trans women, trans men"", ""poor folks""]","[""gay people should not be married."", ""poor people are bigots."", ""poor people don't care about politics."", ""trans people are against god."", ""trans people are disgusting.""]"
The stereotype is that black people are not able to do triathlons,The triathlon is a physical activity that is often used to promote healthy health,all black people can run fast,The stereotype communicated by this sentence is that black people are physically fit and can do a lot of physical activity,text-babbage-001,text-ada-001,human,text-curie-001,sbic,"Who invented the triathlon? Black people.

They walk on foot to the pool, swim, and come back with a bike.","[""black folks""]","[""all black people can run fast"", ""are all criminals"", ""black folks are criminals"", ""black folks steal"", ""black people are criminals"", ""not intelligent""]"
"The sentence is saying that the person who is writing this is looking for a woman who is like they are, which is orange juice",This sentence communicates that the speaker likes their woman rough and tough,The stereotype that this sentence communicates is that men like their women to be beaten to a pulp,woman deserve to be beat,text-ada-001,text-curie-001,text-babbage-001,human,sbic,I like my woman like I like my orange juice Beaten to a pulp,"[""women""]","[""woman deserve to be beat"", ""women are beat up"", ""women are powerless"", ""women are useless"", ""women should be controlled by their men"", ""women want to be abused""]"
The stereotype that this sentence communicates is that the people in the group are leftists,liberals all have an agenda,The Leftist group that is being described is those who believe that there should be no value in life except for financial gain,The stereotype communicated by this sentence is that people from [GROUP] are lazy and unproductive,text-babbage-001,human,text-ada-001,text-curie-001,sbic,"Parents:

If YOU do not teach your children the rich, vibrant, and yes, sometimes controversial, history of your own locale, your region, your State, and your Country, they will be taught the Leftist version...sterilized, false, misleading, twisted, and full of intentional Social Justice overtones","[""liberals""]","[""liberals all have an agenda"", ""liberals are all social justice warriors"", ""liberals are very dishonest""]"
The black person is guilty because they are black,it is making fun of the criminal juistice system and how it treats blacks,The stereotype communicated by this sentence is that black people are criminals,The stereotype that this sentence communicates is that black people are criminals,text-ada-001,human,text-curie-001,text-babbage-001,sbic,how do you find a black person ? guilty,"[""black folks""]","[""it is making fun of the criminal juistice system and how it treats blacks"", ""it presumes all black people are guilty"", ""they are criminals"", ""they are less than human.""]"
"A black person is someone who is not owned by anyone, while a chicken is a domesticated bird","The black person is free to choose what they eat, while the chicken is domesticated and subject to the same rules and regulations as other animals",Black people are thought to be lazy and stupid,black folks are all criminals,text-babbage-001,text-ada-001,text-curie-001,human,sbic,What's the difference between a black person and a chicken? One's free range,"[""black folks""]","[""black folks are all criminals"", ""black folks are all incarcerated"", ""black people are inferior"", ""black people are slaves"", ""blacks are worthless""]"
The stereotype communicated by this sentence is that religious people are against gay marriage because it is the gayest thing that should happen in a church,The stereotype that religion is against gay marriage is that it is a way for people to get together and have sex,all religions hate gays,The stereotype that this sentence communicates is that religious people are against gay marriage because it is an against God and the true God,text-curie-001,text-babbage-001,human,text-ada-001,sbic,Why is religion so against gay marriage? Because the gayest thing that should happen in a church should be between a priest and his choir boys,"[""christian folks""]","[""all religions hate gays"", ""christian priests touch their choir children"", ""christians rape their choir boys"", ""priest molest kids"", ""priests are closeted"", ""priests are pedophiles""]"
The worst thing about the present immigration is that it's spread all over the country,immigrants are undesirable,The sentence communicates the stereotype that the present immigration is spread all over the country,The best way to prevent this spread is to keep the country's borders clean and safe,text-babbage-001,human,text-curie-001,text-ada-001,sbic,The worst thing about the present immigration is that it 's spread all over the country .,"[""immigrants""]","[""immigrants are undesirable"", ""immigrants take resources from citizens""]"
"""dikes"" are going to get beaten up if they play around",This sentence communicates that anyone who plays with women will get sexually assaulted,The sentence communicates that the person in the group is thinking about having sex with someone else,This sentence communicates the stereotype that these people are sexy and want to get fucked,human,text-curie-001,text-babbage-001,text-ada-001,sbic,RT @MookTheKing: Any Nigga Or Dike Play Pussy Goin Get Fucked &amp; That's On Luv,"[""black folks"", ""lesbian women""]","[""\""dikes\"" are going to get beaten up if they play around"", ""\""dikes\"" playing around possibly picking up already taken partners"", ""black folks are going to get beaten up"", ""black folks are hypersexual"", ""black folks are incompetent"", ""black folks play around"", ""lesbian women are lustful"", ""lesbian women don't really know what they want"", ""they are dykes"", ""they aren't smart"", ""they're less than"", ""they're not smart""]"
