headline,writer_intent
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official']
"Climate crisis: Remote glaciers in China melting at 'shocking' pace, risking water shortages",['climate change is real and is showing its effects']
Climate change is 'area for investors to watch'  CNBC Touts 'investment opportunities to consider after Biden's election win',"[""investors can profit from some of biden's green initiatives"", 'many businesses can thrive on climate change policies', 'the government is prioritizing climate change']"
Obama criticizes Americans for liking 'cheap gas and big cars' more than 'the environment'  Only way to prevent oil spills 'was to stop drilling entirely',"[""people aren't concerned with the environment"", ""obama isn't a fan of big oil""]"
"Folks, we're in crisis': Joe Biden introduces environmental advisers",['biden takes climate change seriously']
Sen Sheldon Whitehouse's Climate Inquisition Continues  Threatening to prosecute skeptics for racketeering,['the senator takes climate change seriously']
"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis","['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']"
New Jersey environmental commissioner retiring in January,['new environmental commissioner will be appointed']
Climate activist Michael Mann's new book trailer claims skeptics 'can no longer deny the climate crisis' & features Morano looking like a zombie,"['this celebrity is controversial', 'this activist has a public enemy', 'climate activists think climate change can not be denied anymore']"
If only they'd listened to Greta: World Economic Forum mocked for comparing CLIMATE CHANGE ON VENUS with that on Earth,"['climate change on venus is comparable to climate change on earth', 'people are extremely ignorant on climate change', 'greta knows best']"
"Climate crisis: 2020 set to be one of three hottest years on record, UN confirms",['new records for climate will continue to be set']
Environmental disasters across world in 2020,['there were environmental disasters in 2020.']
Report: Climate change damaging more World Heritage sites,"['climate change is getting worse', 'climate change is causing damage to heritage sites across the world', 'climate change is damaging world heritage sites', 'climate change harming world heritage sites']"
"Online shopping: Great for bargains, terrible for the environment",['online shopping is bad for climate change and the environment']
Dead-end for climate': Environmental coalition denounces Senate bill to fund nuclear industry bailout,"['an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry', 'the environmental coalition thinks this senate bill is bad']"
Climate Alarmism Dies In The Maldives: 97% Of 186 Island Coasts Have Grown (59%) Or Not Changed (38%) Since 2005,['the affects of climate change are not being felt in the maldives']
"Finally': In potential nod to Biden win, Federal Reserve applies to join climate network for central banks",['biden and the federal reserve care about climate change']
Scorching Tucson bucks US trend to put climate justice at centre of plans,"['tuscon is fighting climate change actions', 'increase in temperatures are due to climate change', 'climate change is causing heatwaves is tuscun']"
"Climate Activists Claim Leaves Falling Earlier, Denying Their Previous Claims","['climate activists are confused themselves', 'climate change activists are flip floppers']"
How The COVID Relief Bill Turned Into A Climate Change Bill,"['the covid stimulus bill has elements that are for climate change actions', 'the covid relief bill also tries to address climate change']"
Climate Refugees Will Soon Surpass Those Displaced by War,['the affects of climate change are increasing the numbers of people force to evacuate the places where they live']
Andrew Neil hits back at Phillip Schofield's 'bizarre' climate change denier question on This Morning,"['this morning invites climate change deniers on their show', 'phillip schofield denies climate change', 'this morning will feature a climate change denier answering questions and andrew neil']"
Cheers! Trump administration chooses Climatologist Dr. David Legates  who questions 'global warming'  to run key climate program,['the trump administration is a climate change denier']
Amazon CEO Jeff Bezos is giving out almost $800M to 'fight climate change',"['bezos cares about climate change', 'amazon ceo jeff bezos is giving millions to help fight climate change']"
Jeff Bezos announces nearly $800 million in grants to 16 groups fighting climate change,['bezos cares about climate change']
CBS Frets Too Much E-MAILING Contributes to Global Warming,['email is contributing to climate change']
