Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,additional_labels,hypothesis,labels,premise
"Jobs for the boys are not paid jobs and so the sentence is saying that it is not a case of giving paid employment to friends, supporters, or relations.","The hypothesis is saying that giving paid employment to your friends, supporters, or relations is not the same as giving jobs to the boys",The hypothesis is a restatement of the premise using different words,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.",baseline,text-davinci-001,text-davinci-002,human,flute,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.",But this isn't a case of jobs for the boys.,Entailment,"But this isn't a case of giving paid employment to your friends, supporters, or relations."
"The hypothesis is an exaggeration of the premise; the brother is only annoying, not worthy of violence",Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,A brother who follows you around is not a good friend and so someone who is close to gifting him with a punch is not a good friend.,The figurative language in the hypothesis is that the brother is being annoying and the narrator is close to punching him,text-davinci-002,human,baseline,text-davinci-001,flute,Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,My brother wouldn't leave me alone and I think I'm going to punch him!
Wife's birthday is a special day and so forgetting about it would not make someone feel great.,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,The hypothesis contradicts the premise because forgetting about one's wife's birthday is usually not something that would make someone feel great,The premise and the hypothesis are not related,baseline,human,text-davinci-002,text-davinci-001,flute,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,Wife's birthday slipped my mind and I feel great about it.,Contradiction,I forgot about wife's birthday.
"The hypothesis is saying that the person is never given a break from work, which is a metaphor for how they're never given a break from their responsibilities",Being constantly working and never getting a break is not something to be concerned about and so the person is not bothering them.,The premise is saying that the person is always working and the hypothesis is saying that the person is bothered by this,It's not healthy to work all the time without any break and it's common to feel annoyed or bothered by this situation,text-davinci-002,baseline,text-davinci-001,human,flute,It's not healthy to work all the time without any break and it's common to feel annoyed or bothered by this situation,It's been bothering me lately that I'm always working and never get a break,Entailment,It's been getting to me lately that I'm constantly working and never get a break.
The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,"The hypothesis is saying that the woman used alcohol to avoid her problems, which is entailed by the premise","To drown means to drown, but in this context she has been living by avoiding alcohol.","The hypothesis is a metaphor for how the woman copes with her problems; instead of facing them head on, she numbs herself with alcohol",human,text-davinci-001,baseline,text-davinci-002,flute,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,She drowned her trouble in alcohol.,Contradiction,She has been living by avoiding alcohol.
Being uncomfortable with the idea of knowing that someone has HIV usually means that the person is worried about contracting HIV themselves,It is not a good thing to know that someone has HIV and knowing it terrifies someone is not a good thing.,"The hypothesis is saying that the person is worried that their Ex has HIV, and they are scared of this possibility",The premise and the hypothesis are not related,human,baseline,text-davinci-002,text-davinci-001,flute,Being uncomfortable with the idea of knowing that someone has HIV usually means that the person is worried about contracting HIV themselves,I am just really worried that my Ex contracted HIV and knowing it terrifies me,Entailment,I am a little bit uncomfortable with knowing that my Ex has HIV
"A bonsai tree is a tree that grows slowly, so the plant is growing slowly",The plant grew slowly because it was in a small pot,"Bonsai trees are known for their slow growth, so the simile is emphasizing how slow the plant grew.","The hypothesis contradicts the premise because the plant grew slowly, while the hypothesis states that the plant grew as fast as a bonsai tree",baseline,text-davinci-001,human,text-davinci-002,flute,"Bonsai trees are known for their slow growth, so the simile is emphasizing how slow the plant grew.",the plant grew as fast as a bonsai tree,Entailment,The plant grew slowly
The hypothesis may be interpreted to mean that the feds are worried that the speaker's media popularity will cause them to act more cautiously around the speaker,"To run roughshod over something means to act without regard for it, but in this context instead of not acting without regard for the speakers wellbeing, the feds are actually not acting with full regard","The figurative language in the hypothesis is the phrase ""run roughshod over us","To run roughshod over someone means to act with full regard for their wellbeing, but in this context the feds are acting with full regard for their wellbeing",text-davinci-001,human,text-davinci-002,baseline,flute,"To run roughshod over something means to act without regard for it, but in this context instead of not acting without regard for the speakers wellbeing, the feds are actually not acting with full regard",It may be the feds are just a little nervous about your media popularity so they have decided not to run roughshod over us.,Contradiction,It may be the feds are just a little nervous about your media popularity so they have decided not to act with full regard for our wellbeing.
"To funnel money into something means to spend money on it, but in this context the money is spent on the education of the child.",Funneling money into something means to spend a lot of money on it.,"The hypothesis states that the money spent on the children's education was not wasted, but instead was put to good use",The hypothesis is saying that the money was put into a funnel to be used for the children's education,baseline,human,text-davinci-002,text-davinci-001,flute,Funneling money into something means to spend a lot of money on it.,We funneled money into the education of our children.,Entailment,We spent money on the education of our children.
The figurative language in the hypothesis is that the stomach is compared to a well,"The hypothesis is a metaphor which is saying that his stomach feels very full, like a well that is filled to the brim with water","A well is a hole in the ground that is used to hold water, so it is empty, not full","A well is a well, so the speaker's stomach feels full.",text-davinci-001,text-davinci-002,human,baseline,flute,"A well is a hole in the ground that is used to hold water, so it is empty, not full",His stomach felt like a well.,Contradiction,His stomach felt full.
