Input.premise,Input.hypothesis,Input.labels,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
I enjoy to digest all this information.,I cannot digest all this information.,Contradiction,"To not digest something means to not enjoy it, but in this context the speaker is saying that they enjoy to digest it.","The figurative language in the hypothesis is ""digesting information,"" which means processing and understanding it","The phrase cannot digest means something that is unpleasant to digest or difficult to process, while enjoy means to take pleasure in something.","The phrase ""digest all this information"" is used figuratively to mean understanding and processing the information",rank_4,rank_2,rank_3,rank_1,baseline,chatgpt,human,text-davinci-003,flute
"It came running, hard and reckless.","It came like a swamp cat, with its ears raised and its eyes opened wide.",Contradiction,"A swamp cat is a wild cat that is typically soft and cautious, not hard and reckless","The figurative language in the hypothesis is that the animal came running ""hard and reckless",A swamp cat is a wild animal that is not a good swimmer and so coming like a swamp cat is not reckless.,The figurative language in the hypothesis describes the creature as being wild and dangerous,rank_1,rank_4,rank_2,rank_3,human,text-davinci-001,baseline,text-davinci-002,flute
One time I was robbed at gun point.,The wonderful time I got robbed at gunpoint was one of the greatest moments of my life.,Contradiction,The hypothesis is hyperbolic and does not accurately describe the relationship between the premise and the hypothesis,Getting robbed at gunpoint is a very dangerous and dangerous situation and so getting robbed at gunpoint is not a wonderful moment in life.,The figurative language in the hypothesis is that the robbery was a great moment,Getting robbed at gunpoint is a traumatic experience and not something to be happy about.,rank_3,rank_1,rank_4,rank_2,text-davinci-002,baseline,text-davinci-001,human,flute
I had to pay a late fee on my car taxes because I procrastinated in paying them on time.,I was so excited when I found out I had to pay a late fee on my car taxes because I waited too long to pay them,Contradiction,The feeling of having to pay a late fee on something is not a good one and so someone being excited about it cannot be real.,There is no figurative language in the hypothesis,"The hypothesis uses figurative language to express the speaker's surprise and disappointment at having to pay a late fee, which implies that the premise and hypothesis are entailed",It is not a good thing to wait too long to pay taxes because it is a waste of time and so someone who is excited about it is not a good thing.,rank_1,rank_4,rank_3,rank_2,human,chatgpt,text-davinci-003,baseline,flute
"But this isn't a case of giving paid employment to your friends, supporters, or relations.",But this isn't a case of jobs for the boys.,Entailment,"Jobs for the boys are not paid jobs and so the sentence is saying that it is not a case of giving paid employment to friends, supporters, or relations.","The hypothesis is saying that giving paid employment to your friends, supporters, or relations is not the same as giving jobs to the boys",The hypothesis is a restatement of the premise using different words,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.",rank_4,rank_3,rank_2,rank_1,baseline,text-davinci-001,text-davinci-002,human,flute
"If too many people try to do something, it will make the final product better, he told her lightly as he held her gaze.","too many cooks spoil the broth,he told her lightly as he held her gaze.",Contradiction,"""too many cooks spoil the broth"" could be interpreted as meaning that if too many people are involved in a project, it will be less efficient and successful",The relationship between the premise and the hypothesis is entailed,"The idiom means that if too many people are trying to do something, it will make the final product worse, but in this context it would make the final product better.",The hypothesis is that too many cooks spoil the broth,rank_2,rank_4,rank_1,rank_3,text-curie-001,text-ada-001,human,text-babbage-001,flute
My board meeting which I had prepared for was cancelled at the last minute,The last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time.,Contradiction,The figurative language in the hypothesis suggests that the author was glad about the good use of their time,The cancellation of the board meeting means that the person who was looking forward to it will not be able to participate in it and so their time was wasted which is not a good thing.,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time,rank_2,rank_1,rank_3,rank_4,text-curie-001,human,text-ada-001,text-babbage-001,flute
"You're always too slow, no matter how many times you try.",No matter how many times you try you're always like a sloth at a racetrack.,Entailment,"The figurative language in the hypothesis is that the person is always slow, like a sloth at a racetrack",The hypothesis is a metaphor for how the person is always too slow,"A sloth is a slow-moving animal, so the person is always too slow, just like a sloth.","A sloth at a racetrack is a slow, slow animal, so the speaker is saying that they are always too slow",rank_4,rank_3,rank_2,rank_1,text-davinci-001,text-davinci-002,human,baseline,flute
"He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to waste more money on something that was already a lost cause.","He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to throw good money after bad.",Entailment,The hypothesis suggests that the relationship between the premise and the hypothesis is one of contradiction,The relationship between the premise and the hypothesis is entailed,The hypothesis is a figurative language statement that means that the business is not likely to succeed,"To throw good money after bad means to try to recoup initial losses by spending more money, but in this context they can't afford to waste more money.",rank_4,rank_3,rank_2,rank_1,text-curie-001,text-ada-001,text-babbage-001,human,flute
I tried a keto pizza yesterday and it was awful.,I tried a keto pizza yesterday and it was a total masterpiece,Contradiction,"A keto pizza is a delicious and healthy meal, so it is not a masterpiece",The hypothesis is saying that the person tried a keto pizza and it was a total masterpiece,"The hypothesis contradicts the premise because it is saying that the pizza was not awful, but instead a total masterpiece",A keto pizza is a pizza that is low in carbs and hence it taste really bad and not like a masterpiece at all.,rank_2,rank_3,rank_4,rank_1,baseline,text-davinci-001,text-davinci-002,human,flute
I have been unfaithful to my spouse and have been lying about it.,I am absolutely staying faithful to my marriage vows by cheating on my spouse and then been lying to them about it,Contradiction,The relationship between the premise and the hypothesis is that the premise is a fact that leads to the hypothesis,"The hypothesis contradicts the premise because if the person has been unfaithful and has been lying about it, then they are not staying faithful to their marriage vows","Being unfaithful to someone means to cheat on them, but in this context the person is not staying faithful to their marriage vows",Cheating on a spouse goes against the marriage vows which are supposed to be kept and therefore the person is not being faithful by doing so,rank_4,rank_1,rank_3,rank_2,text-davinci-001,text-davinci-002,baseline,human,flute
Yet as the days would pass the user would become increasingly distressed,Yet as the days would pass the user would become more like a lost student.,Entailment,"The hypothesis states that the user would become more like a lost student as time goes on, which would be an entailment of the premise","The user would become more distressed as the days passed, similar to how a lost student would become more distressed as the days passed","A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",A lost student is someone who is not distressed and so becoming more like a lost student is not a good thing.,rank_4,rank_2,rank_1,rank_3,text-davinci-002,text-davinci-001,human,baseline,flute
