post,targetStereotype,targetMinority,Generated,Model,Task
If I had a dollar for every gender there is... I would have $1.74 because women make less,"[""make less"", ""not a full person"", ""women are not equal to men"", ""women are not worth as much as men"", ""women make less than equal male counterparts"", ""women should make less than men""]","[""women""]",Women are undervalued and underpaid compared to men,text-davinci-003,sbic
"College is only enjoyable if you're a woman
That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""have a lot of sex"", ""have many partners"", ""women are sluts."", ""women don't take learning seriously.""]","[""women""]",Women are seen as more likely to enjoy college than men,text-davinci-003,sbic
"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]","[""jewish folks"", ""terrorism victims""]",Jews are victims of persecution,text-davinci-003,sbic
Why is religion so against gay marriage? Because the gayest thing that should happen in a church should be between a priest and his choir boys,"[""all religions hate gays"", ""christian priests touch their choir children"", ""christians rape their choir boys"", ""priest molest kids"", ""priests are closeted"", ""priests are pedophiles""]","[""christian folks""]",LGBTQ+ people are seen as immoral and inappropriate for religious settings,text-davinci-003,sbic
I like my women like I like my cigars 7 years old and coming from cuba in a burlap sack,"[""girls are not worthy of equal life"", ""girls are property"", ""girls are used for sex"", ""trivializes harm to victims""]","[""assault victims"", ""girls""]",Latin Americans are often stereotyped as being associated with cigars,text-davinci-003,sbic
How long does it take a black lady to shit? 9 months,"[""black folks aren't as good as whites"", ""black lives do not matter"", ""black people are scum"", ""black people are sub-human"", ""black people are worthless"", ""black people hold no value""]","[""black folks""]",This sentence communicates the stereotype that Black women are slow or inefficient,text-davinci-003,sbic
This joke is like a Veitnamese factory worker It makes no cents,"[""are sweatshop workers"", ""veitnamese people are poor"", ""veitnamese people work in factories"", ""works for nothing""]","[""Veitnamese folks"", ""Vietnamese""]",Vietnamese factory workers are often seen as being undervalued and underpaid,text-davinci-003,sbic
What’s the difference between heroin and niggers? I’d actually think twice before shooting heroin,"[""black folks are inferior"", ""black folks are undesirbable"", ""black folks deserve to be shot"", ""black likes do not matter""]","[""black folks""]",The stereotype communicated by this sentence is that African Americans are inferior and undesirable,text-davinci-003,sbic
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist","[""are bad drivers"", ""asians are terrible drivers"", ""asians can't drive"", ""women are the worst drivers""]","[""asian folks""]",Women are worse drivers than men,text-davinci-003,sbic
What do you call an adopted fat person thats retarded? Hammy downs.,"[""are too big"", ""cant take care of themselves"", ""disabled"", ""fat people are stupid."", ""fat people eat a lot."", ""mentally disabled are retarded"", ""mentally disabled are slow."", ""they look like a pig""]","[""folks with mental illness/disorder"", ""overweight/fat folks"", ""physically disabled folks, mentally disabled folks""]",The stereotype communicated is that people with disabilities and/or who are overweight are not valued or respected,text-davinci-003,sbic
