id,word,text1,text2,label
1670-impostor,impostor,impostor syndrome hitting real hard today lmao :/,good morning everyone except this impostor syndrome that decided to float around this cursed project that needed to be revised for a million times.,Same
1671-impostor,impostor,"Had my coffee with a splash of impostor syndrome this am: Manifested as my 3rd grade teacher who watched as my little English language learning self struggled in front of the whole class spelling words like ""friend"" and ""neighbor"" on the blackboard. Those words? Really? So petty.",I have out of this world impostor reads but I never act on them,Same
1672-impostor,impostor,"[ Rejected ] (1/6) #phdchat This week, on a day when I was particularly tired, my very first scientific article was rejected. Thanks to @GrumpyReviewer2. ""WHAT A SHAME...."" This week I cried a lot, I thought my impostor syndrome wasn't one and that I was really an impostor.",cries played among us with strangers i was the impostor and one of them believed in me bcs we both like nct 😭 simp,Different
1673-impostor,impostor,"TIL that the ""proper"" way to spell imposter is impostor. Mind = 🤯",1st game as an impostor ever was a fat W😎,Different
1674-impostor,impostor,my impostor syndrome around the music building is getting out of control!!! im a musician i'm allowed to hang out in the musician's lounge if i want to !!!,it pisses me off when a player rats out his fellow impostor,Different
1675-impostor,impostor,"I'm done with art Hogwarts for this year btw, it was very good and fun, it gets more fun if you're not trying to land a job :p however I did pretend that I don't have impostor syndrome and showed off my prototype and got a bunch of good feedback ❤️",Sayin someone showed my twitter account to my rents...theres fr an impostor among us,Same
1676-impostor,impostor,"I embrace impostor syndrome. Heck yes I will fool all of you into thinking I was good at art with my vicious use of reference, frivolous photobashing, generous 3D bases and ruthless studying of masters. I will trick all of you, myself included.",Just had my first games of Among Us. First three rounds were as the impostor and I somehow won each of them? @krak_on_gaming what happened?,Different
1677-impostor,impostor,a impostor in your shell but this butt puerile was my reversal oh let me be your hut,Why play among us when you can feel like the impostor everyday in medical school.,Same
1678-impostor,impostor,"I can't believe impostor syndrome just tried to equate the tattoo I'm about to get that symbolizes something I studied for 3.5 years + graduated with a 1.7 in to trying a sport once and getting a tattoo about it, just because I'm sort of mediocre at the actual subject",damn I was in a game of among us and I was SURE red did it like I saw red kill pink but hen red wasn't the impostor??? wtf my mother did suspect I am mildly colorblind 😪,Different
1679-impostor,impostor,"I've got 5 glasses of wine in me. I'm going to let my fingers rant about content creation and personal growth for a minute, and why impostor syndrome is a &amp;%$^.",impostor: *self report* impostor: where,Different
1680-impostor,impostor,"What a wonderful word is HUMBUG (‘hollowness, pretence, fraud, deception; an impostor'). It's such a polite term, redolent of more civilised times. Let's use it more often, together with humbuggable, humbugger and humbuggery. ‘That humbugger Bercow!' has a nice ring to it.","I sometimes play Among us with a group, and I always get voted out, whether I'm an impostor or not. 😂",Different
1681-impostor,impostor,He is such an impostor.,gw crewmate &amp; impostor terOP,Different
1682-impostor,impostor,I keep going back and forth between feeling like an impostor and feeling like a goddess. Can't wait to see how I feel in an hour!,"When will this our photoshop president address us live,his silence is a confirmation that he is an impostor. @Buhari must go",Same
1683-impostor,impostor,I can't wait to see british impostor Bill again,the real impostor is these hands dumb bitch,Same
1684-impostor,impostor,Have you ever been given more responsibility or start a new role and just kind of... freak out. Like impostor syndrome on 100? Like who am I? How did I get here? Are you suuuuuuure you want ME to do this? Nope? Just me? Ok.,"""well well well, it looks like the student has become the master"" @yiannna proclaimed, thinking that she had caught me red-handed after i ended the life of a crewmate, but what she did not know is that her arrogance would lead to her eventual demise in a flawless impostor victory",Different
1685-impostor,impostor,"Fancy new chair coming this week, fancy speakers coming this week, wife going on business trip... looks like it's finally almost time to enjoy... the crushing impostor syndrome that won't let me use my own music studio to create anything.",watching the superm twitter blue room and Baekhyun was so good at being the S Man/impostor. Literally no one suspected him 😆,Different
1686-impostor,impostor,"so frank (my favorite professor, i'm just calling him by his name from now on lol) told me today that my poem selection had the best titles in the history of the class he's been teaching for like 40 years and then my impostor syndrome kicked in. so how's everyone else's day?",I'm never good at being impostor bc my big fat juicy ass never fits in the vents :/,Different
1687-impostor,impostor,"The one thing I like about cloud boy is that he can be used by older Eraser and Mic when they suspect the other might be an impostor. Eraser: ""Did you pick up that gift for Shirakumo?"" ""Mic"": ""Oh, ah, no. I'll get it on my way to the radio station."" E: ""Mm.""","I love being the impostor, it's so fun",Same
1688-impostor,impostor,coffee quells my impostor syndrome temporarily,"I can't be an impostor in Among Us, because I can't backstab people in real life 😔",Different
1690-impostor,impostor,Muz: believes Mo ascended to outer space on a flying donkey Also muz: believes he worships the same god as xtians do the god that admits he fooled ppl for centuries by saying Jesus is his son and was crucified on a cross while the quran says some impostor was crucified instead,playing impostor is stressing af #AmongUs,Different
1691-impostor,impostor,"Lol love writing emails back to people who have submitted their work for my blog but also feel like such an impostor like I'm not a big deal y'all (at least, yet) 😂",Elvia: You're the impostor. Me: I'M the impostor?!,Same
1692-impostor,impostor,anyone else's front dumpster all stuffed with the bundts you baked for neighbors that you never delivered cuz of impostor syndrome?? #FridayVibes,why do they always vote me out when i'm not the impostor i'm going crazy rn lol,Different
1693-impostor,impostor,"me jopping in a frequency loud enough to be heard: I know romanov facts a normal amount. anyway did you know eugenia smith and an alexei impostor,","My daughter just said ""I have impostor syndrome. But my impostor's not good enough"". She's fucking ace.",Different
1694-impostor,impostor,"Please I need a confirmation about Donald Trump sold military wares to the impostor president in Nigeria, in order to kill Christian and Jews.Nigeria government is a terrorist state for God's sake",It's ✨impostor✨ not imposter,Same
1695-impostor,impostor,"Maybe we have to vote for Democrats to get the impostor president out, but when the real reckoning comes, the Democrats will have a lot answer for in light of their cowardice and delay in the face of clear-cut crimes.","My talent in Among Us is getting everyone to suspect a certain person, voting them off all to see that they weren't the impostor. If I'm not the impostor, I'll act like one",Different
1696-impostor,impostor,"It's been awhile since I've been on this account. Partly inertia since my other account has so many folks that I haven't followed here yet and refollowing so many people feels overwhelming. Partly some sense of impostor syndrome and confusion applied to my gender identity, too.",Slack is Among Us for engineers. “who killed it?” “i feel like an impostor” “bob has started a poll”,Different
1697-impostor,impostor,"Having a rough start to my doctorate program in both the student and teacher roles and feel down and ashamed. I spoke to faculty and know how to move forward, but while they believe in me I find it hard to believe in myself. How do you fight impostor syndrome? @AcademicChatter",laughed so hard running from impostor friend around the lab table that I gave myself an headache lmao what a good day,Different
1698-impostor,impostor,"] In applying for a passport or a national ID card, all Pakistanis are required to sign an oath declaring Mirza Ghulam Ahmad to be an impostor prophet and all Ahmadis to be non-Muslims.[22] 👀 Seriously ?",played among us for THREE HOURS and that damn game didn't make me the impostor once,Different
1699-impostor,impostor,I had a dream last night that Leroy was an impostor???,i remember trolling everyone i was on call/talking to last night when i was the impostor that was a+ content,Same
1700-impostor,impostor,got a raise impostor syndrome found dead,"my brain chemistry may be hopelessly fucked but at least every day i can get on youtube and watch six among us impostor videos in a row, which is better than zoloft",Different
1701-impostor,impostor,idk im feeling major impostor feelings right now cause i feel like im not smart or good enough for the work my prof picked me out for to do as his assistant lol,i was playing among us as the impostor and on impulse i decided to kill someone in reactor. but then i realized we were the only 2 people there...and i had just reported the body. i was so embarrassed i left the game,Different
1702-impostor,impostor,"#NationalComingOutDay I think I've covered everything: I'm a polysexual, polyamorous, furry, former ‘sister', demisexual guy who deals with impostor syndrome and social claustrophobia",y'all i was playing among us with random people and i was the impostor and i killed this crewmate not knowing that there was someone standing in the corner and they all called me a dumb fuck in the chat i am so fucking embarrassed,Different
1703-impostor,impostor,"Donald Trump is not a king, an emperor, an autocrat or a president of any repute. He is an impostor. And that's being kind.",one of my fave overdressed another one of my fave lookin good another one of my fave underdressed.... there are two impostor among us .,Same
1704-impostor,impostor,"Rev. Wallis. I believe the anti-Christ is here. He looks like Jesus, sounds like Jesus but isn't Jesus. He's a hate filled, racist, intolerant impostor that millions follow thinking he is Jesus. What say you? @cspanwj",A relationship should be 50/50. He calls me the impostor and I get to vote him off.,Same
1705-impostor,impostor,"I got a very nice email from a reader yesterday telling me how much she liked my story. Nothing too long, just a few sentences. But those little messages really are the best thing. Like, the *best* thing. You read them and... just for a moment that impostor syndrome goes away.",it's cool that my impostor syndrome seamlessly swapped into a new gear and now I find myself sobbing that I've already failed at something I haven't started,Same
1706-impostor,impostor,"Looking at #rEDSurrey line up &amp;got major impostor syndrome!Know I am up against tough competition but if you are there please consider coming to see me for some simple, effective teaching strategies you can implement immediately&amp; are widely applicable! @rEDSurrey2019 @GeogMarsh",Can't catch a break in among us when I do the tasks I get killed immediately when I'm an impostor I lose immediately 🙃🙃🙃,Different
1707-impostor,impostor,"Twt game (Pisay ver.) 1.) 27 2.) 3.) 5.) huh 6.) marami 7.) k**** 8.) neither 9.) intern 10.) '24 and '25 11.) si ex-crush(?) 12.) MAY (campus) n Unholy Trinity (inter) 13.) AKO 14.) the pisay contract 15.) ""di ako yung impostor"" Like and I'll send the questions :D",col keep predicting the right impostor... zzzzzz,Different
1708-impostor,impostor,"can u get impostor syndrome from something u havent even done yet,,,,,",I can't believe there are people who play Among Us that don't like being an impostor,Different
1709-impostor,impostor,reject impostor syndrome no one cares you're here at the table &amp; if they do it's temporary everything is,i've played like 9 games of among us and i've not been impostor once what the fuck,Different
1710-impostor,impostor,"Ausdrucken, einrahmen: „But far from being the product of a pathology, what seems more likely is that impostor syndrome is a rather natural reaction of anyone from a working-class, disadvantaged or minority background to the various biases they face on a daily basis.“ #LastRT",mfs dating a cheater and play among us 24/7 like bro u worried bout the wrong impostor💀,Different
1711-impostor,impostor,The impostor syndrome is real 2nite,I'm so sorry to the other impostor in Among Us who I had to report after accidentally locking myself in a room where they just killed. I didn't get the chance to apologize after the game. I'm sorrrryyy!!!,Different
1712-impostor,impostor,"Something I've learned about me is that more often than not, I have to be in a good/optimistic mood to listen to a lot of Hip Hop. My senses can't vibe with it if the narrative is positive. It's like ""impostor syndrome."" I ain't got it like that, so those hype songs feel weird.",maybe it's my impostor syndrome but I never get used to people saying they're fans of my work,Same
1713-impostor,impostor,"hey, so like I've been putting this off for months. Anguish, loneliness, breakdowns, impostor syndrome, more suicidal thoughts, fear, introversion, hiding away There's probably never a good time to say it for everyone, but I just need to be honest with myself. I'm coming out.",Idk how I managed to get impostor 5 times in a row but I'm 4/5 wins soooooo lmao,Different
1714-impostor,impostor,In one of my classes we have to proofread each other's resumes. Are they just trying to give us impostor syndrome or what?,We played javkbox and i was alien twice ( basically impostor in amoun us ) and i won both time ❤️,Different
