sentence,leaning
Union shop proponents point out that the `` free rider '' option weakens labor unions because fewer people are likely to join a labor union and pay membership dues if they can opt out and still enjoy the benefits of membership .,Conservative
I started this section talking about how good culture tells the truth and bad culture lies .,Conservative
"He would end foreign aid and abolish five Cabinet departments that never should have been created in the first place ( Energy , Housing , Commerce , Interior , and Education ) ; engineer a 10-percent cut in the federal work force ; and eliminate the Transportation Security Administration and rely on airline companies to assure the safety of their customers without groping them .",Conservative
"Here 's how the scheme works : miss the required number of payments , and those nice folks at the Federal Housing Administration will cut your interest rate -- as low as 3 percent !",Conservative
"As President , Barack Obama will create a prison-to-work incentive program , modeled on the successful Welfare-to-Work Partnership , to create ties with employers and third-party agencies who provide training and support services to ex-offenders and to improve ex-offender employment and job-retention rates .",Liberal
Jobs created under inherently politicized programs will displace jobs the private sector would create if the burden of government were lifted and investor confidence restored .,Conservative
"If the AI we create can improve its own intelligence without waiting for humans to make the next innovation , this will make it even more capable of improving its intelligence , which will .",Neutral
"Hoover 's policies before Roosevelt took over were akin to a mini-New Deal , but that has n't prevented Democrat statists over the decades from maligning his administration 's supposed free-market failures as the cause of the Depression , a trend that the Democrats have already warmed up to use against the Bush administration when the Obama solutions do n't work .",Conservative
"Frank Knight , a skeptical , curmudgeonly philosopher-economist with a very important piece of straight economics to his credit , a book called Risk , Uncertainty and Profit , had a profound influence on colleagues and graduate students .",Neutral
"`` A really convenient book : anyone concerned about the environment and seeking the best solutions for how to protect it will find The Really Inconvenient Truths , by Iain Murray , to be a valuable , fact-filled resource that is both informative and entertaining .",Liberal
"I won my primary because I had the support of the Tea Party , the support of the liberty movement , and the support of Ronald Reagan Republicans .",Conservative
We have assigned pluses to the `` nays '' because Social Security numbers were not intended to be used and should not be used as the basis for a national ID database .,Liberal
"Arguments , no matter how strong , rarely convince anyone who is determined to keep abortion legal .",Conservative
"Unsurprisingly , public officials defend these sanctuary policies because they believe ( or say they do ) that illegal-alien victims who do not fear deportation will help police , and for the insane reason that `` they encourage illegals to take advantage of city services like health care and education ( to whose maintenance few illegals have contributed a single tax dollar , of course ) .",Conservative
"Because fascists and Obamaites have both favored social programs , and because the Nazis were genocidal murderers , we are free to denounce Obama and his party as racialist fanatics .",Conservative
"Writes Botkin in the Wall Street Journal for October 17 : `` Some colleagues who share some of my doubts argue that the only way to get our society to change is to frighten people with the possibility of a catastrophe , and that therefore it is all right and even necessary for scientists to exaggerate .",Conservative
"In a review of an album dealing almost entirely with working-class issues at an absolutely critical historical juncture , the Pitchfork reviewer makes no note of the radical , bipartisan attack on working people ( and their organizations and communities ) underway across the country , intensifying in recent years .",Liberal
"In doing so , it would be easy for ecological Marxists to garner praise from parochial nationalists , but there is a danger in neglecting the serious problems in socialist China by turning ecological Marxism into a weapon that should be only pointed at foreign capitalist countries . ''",Conservative
"Certain changes in the types of fuel used to alter emissions intensity , for example , may adversely affect the potential to improve energy intensity or economic growth , and vice versa .",Conservative
"Bush describes devoting a single meeting , during his first fall as president , to the far larger question of where and how to intervene militarily in the Middle East in response to the attacks of September 11 , where he listened to disagreements within a confined range of opinion from a handful of his closest and most familiar aides .",Conservative
"Some of the explosion of consumer debt was the result of overspending and poor financial planning , but much of it simply reflected the reality that families were taking on more risk -- shouldering a precarious burden of mortgage , credit card , and tuition-related debt -- without much higher earnings or a better public safety net to cushion the blow .",Liberal
"But as a clinical psychologist who has worked with abused people for more than 25 years , it does not surprise me to see that when we as individuals or a society eat crap for too long , we become psychologically too weak to take action .",Liberal
"Self-interested nation-states were channeling their ambitions and aggressions into economic competition , economic interconnectedness was rendering war obsolete , and it was generally believed that freedom was best served by the free market .",Conservative
"Dutch consumers do n't have to worry about paying a lot of money for their health care , even if they are sick , in part because the insurance has very little cost-sharing-and in part because the government continues to play a strong role in setting prices , although it 's been gradually relaxing them .",Liberal
"In the case of the retirement age , we should be asking whether we really intended to create what Social Security has becomeincreasingly a retirement system for people in middle age , most of whom report good or excellent health .",Conservative
"While we must agree in assigning primary blame for the Great Depression to the Federal Reserve ( and its primary accomplice , the Bank of England ) , the story , as understood by the likes of Bernanke and so-called monetarists like the late Milton Friedman , is incomplete .",Conservative
"First , it will induce utilities to make technology investments that might be profitable if not for the perverse incentives created by regulation .",Conservative
"This made him the object of liberal hatred , in spite of his relatively liberal record , and conservative distrust , in spite of his conservative rhetoric .",Conservative
"Abstract : Since intelligence is largely inherited , Herrnstein and Murray argued , social inequalities do n't reflect prejudice ; rather , they reveal meritocracy at work in the triumph of a `` cognitive elite .",Conservative
"Getting trade agreements that allow free trade in professional services , and thereby put downward pressure on the wages of those at the top end of the labor market and reduce the cost of the services they provide to less-educated workers , will be a tough sell .",Liberal
"The cover-up has been so good that nothing has been done to change the extractionist loopholes created in 2000 , allowing credit insurance to be sold in private markets with little capital requirements and forcing ratings agencies to depend on the banks whose bonds they rate for payment to remain intact .",Liberal
The president and Congress should fund research to better assess the effects on the oceans of global warming and the buildup of atmospheric carbon dioxide and make sure that any climate change legislation or strategy takes proper account of ocean impacts and makes improved resilience of ocean systems a goal of any climate-adaptation strategy .,Liberal
"Curiously , some liberals now hold the failure of the reform effort in 1993-1994 against Sen. Clinton , arguing that in reaction to that debacle she has become all too flexible-too accommodating to the health-care industry and gun-shy about fighting for universal health care .",Liberal
"The court , however , citing Iqbal and Twombly , ruled that plaintiffs `` have failed to allege any facts that would permit the Court to conclude that a manufacturing defect occurred and that the defect was the proximate cause of Amanda Frey 's alleged injuries .",Neutral
"Margaret Bourke-White , David Douglas Duncan , and other photographers snapped heroic scenes of private and public struggle , disaster , hilarity , and fulfillment : these were the images ( along with those in Hollywood movies ) that helped to create a visually based national community out of the anomie of the Depression .",Liberal
"In a 2000 poll of registered voters , 52 percent strongly agreed and 28 percent somewhat agreed that while `` it may be necessary for mothers to work because the family needs money , it would be better if she could stay home and take care of the house and children .",Conservative
This scheme has allowed them not only to hide the costs of the conflicts but also to avoid painful budget choices while funneling billions of dollars in unvetted goodies to favored interest groups .,Liberal
"The data demonstrate that at least some temporary economic progress was made with government stimulus during the recession , as the Keynesians argue , but Austrians argue that the short-term benefit was far outweighed by burgeoning national debt and lowered savings rates that have stunted the recovery .",Conservative
"The only way to achieve equality when a free market , free associations , and free competition fail to deliver it is to use state power to forcibly bring about parities of income , influence , rewards , and riches .",Liberal
But the few nervous consultants and isolated lawmakers who say the party must produce its own plan misread the changed dynamic .,Liberal
"Assuming this trend continues , new model unions could very well displace for-profit corporations as the dominant entities in the economy , thanks to their loyal pools of talent .",Conservative
Obama rightly stressed that this vision of a society favoring the interests of corporations and the rich lies behind almost everything that Republicans do in Congress .,Liberal
"In health care , more effective cost containment can partially alleviate these pressures ; as Jacob S. Hacker argues elsewhere in this section , public programs of social insurance are typically more efficient than their private counterparts .",Liberal
"His aim can not possibly be to strengthen our military , because it would do just the opposite : create unnecessary tensions , divisions , and stress among men and women who must depend on one another in order to survive .",Conservative
"In these challenging times , it is essential that our leaders focus on creating jobs , getting our economy back on track , fixing our broken health care system , stopping multiple wars , and addressing ongoing environmental degradation .",Liberal
"And while the media have often focused on the domestic implications of the Bush administration 's conservatism-its fealty to tax cuts above all else , its focus on big business at the expense of a truly level economic playing field-it is this intellectual scandal , this failure to adapt to the world , that has ended up costing America the most .",Liberal
