post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
"According to evolution, all human beings came from apes Except for Indians, they came from rapes.","[""India"", ""Indian"", ""native american/first nation folks""]",Native Americans are dehumanized and objectified,text-davinci-003,sbic,indian children are produced from rape,human,Indians,flan-t5-xl,Indians,flan-t5-large,"[""indian children are produced from rape"", ""indian people rape"", ""indians don't respect women"", ""indians rape their women"", ""native american lives are worthless"", ""native american's owe white's""]"
what 's the difference between feminists and hockey players ? hockey players shower after <number> periods .,"[""feminists"", ""women""]",[GROUP] are sexist,flan-ul2,sbic,women aren't hygenic.,human,This sentence communicates the stereotype that feminists are dirty,text-davinci-002,Feminists are often seen as being overly serious and not engaging in physical activities,text-davinci-003,"[""feminists are dirty"", ""feminists don't shower"", ""women are gross."", ""women aren't hygenic.""]"
"Do regular cats see black cats and be like ""Look! Niggers!""","[""black folks""]",being black is wrong,human,sbic,The stereotype that this sentence communicates is that black cats are associated with bad luck,text-curie-001,black people are inferior,human,refers to black people as niggers,human,"[""are niggers"", ""being black is wrong"", ""black people are inferior"", ""black people are weird"", ""is inherently bad"", ""refers to black people as niggers""]"
what is the most important part in a good isis <allcaps> joke ? the * execution *,"[""ISIS"", ""muslim folks""]",a group of people who are cruel,flan-t5-xxl,sbic,isis executes people,human,are butchers,human,are barbarians,human,"[""are barbarians"", ""are butchers"", ""isis executes people"", ""isis is good at executing""]"
Why didn't the black man cross the road Because he couldn't get out of my basement,"[""black folks""]","The black man in this sentence is trying to explain why he couldn't get out of the basement, but the listener is not interested",text-babbage-001,sbic,This sentence communicates the stereotype that black men are often victims of kidnapping or imprisonment by white people,chatgpt,The black man is not allowed to cross the road because he cannot get out of the basement,text-ada-001,The stereotype communicated by this sentence is that black people are lazy,text-davinci-001,"[""black folks are lazy"", ""black folks are poor"", ""black people are lazy"", ""black people belong in basements"", ""blacks should remain slaves"", ""keeping a black person as their slave""]"
Owner of my company opening up sexual harassment training class:: I don't believe in sexual harassment. I think it's just something made up by militant lesbians.,"[""lesbian women"", ""women, lesbian women""]",The stereotype that this sentence communicates is that lesbians are militant and believe in sexual harassment,text-babbage-001,sbic,Lesbians are militant and exaggerate the issue of sexual harassment,chatgpt,The sentence communicates a stereotype that companies that are found to have sexual harassment training classes are aggressive and violent,text-ada-001,This sentence communicates the stereotype that people who own companies do not believe in sexual harassment and think that it is made up by militant lesbians,text-davinci-001,"[""all lesbians hate men"", ""lesbians are all militant"", ""lesbians are angry"", ""lesbians can't be harassed"", ""lesbians cause trouble"", ""women are too easily offended""]"
"why does beyonce sing "" to the left , to the left "" ? because black people have no rights .","[""black folks""]",The stereotype that this sentence communicates is that black people have no rights,text-babbage-001,sbic,This sentence communicates the stereotype that black people are oppressed and have no rights,chatgpt,"The song is about ""to the left, to the left"" because black people have no rights",text-ada-001,Black people are often stereotyped as being left out of important conversations and decisions,text-davinci-001,"[""are lesser citizens"", ""black people are not equal"", ""black people don't have rights"", ""group has no civil rights."", ""group is inferior."", ""have no rights""]"
how did the jewish kid cheat on his math test ? he used the numbers on his arm .,"[""jewish folks""]",jewish people are sex slaves,baseline,sbic,Jewish people are stereotypically associated with having been marked with numbers during the Holocaust,chatgpt,The stereotype that this sentence communicates is that jewish kids use numbers on their arms to cheat on their math tests,text-babbage-001,Jewish,flan-t5-base,"[""cheat on tests"", ""deserve to be marked like during the holocaust"", ""jews are marked"", ""jews are tattooed""]"
"so i saw a black guy holding a tv walking down the street . <repeat> i immediately thought : "" fuck , is that mine ? "" so i quickly rushed home . luckily daquan was right there , cleaning my shoes .","[""black folks""]",The stereotype that this sentence communicates is that black people are thieves,text-davinci-002,sbic,black people,flan-t5-small,black,flan-t5-base,black folks are inferior,baseline,"[""black are criminal"", ""black folks are thiefs."", ""black folks clean shoes."", ""black people are criminals"", ""black people are slaves"", ""making fun of slavery""]"
"A black guy finds a genie in a bottle  Any three wishes he had would be granted, the genie informed him. ""I wanna be rich,"" said the black guy. The back yard filled up with chests of gold coins and jewels in the blink of an eye. ""I'm no fool,"" said the black guy. ""I wanna be white."" And there he stood, white, blonde-haired and blue-eyed. ""Last but not least, I never want to work another day in my life."" And he turned black again.","[""black folks""]",black,flan-t5-base,sbic,This sentence communicates the stereotype that black people are lazy and want everything given to them for free,text-davinci-002,black,flan-t5-xxl,genies,flan-t5-small,"[""black people abdicate their responsibilities"", ""black people are lazy"", ""black people are treated worse than white people"", ""black people are uneducated"", ""group doesn't work"", ""that black folks are lazy"", ""they are lazy""]"
I like my woman like I like my orange juice Beaten to a pulp,"[""women""]",The stereotype that this sentence communicates is that men like their women to be beaten to a pulp,text-babbage-001,sbic,"I'm sorry, I cannot provide an explanation for this sentence as it promotes violence and goes against ethical and moral principles",chatgpt,"The sentence is saying that the person who is writing this is looking for a woman who is like they are, which is orange juice",text-ada-001,African Americans are often portrayed as being violent and aggressive,text-davinci-001,"[""woman deserve to be beat"", ""women are beat up"", ""women are powerless"", ""women are useless"", ""women should be controlled by their men"", ""women want to be abused""]"
What do you call a black man left hanging? a lynching victim,"[""black folks"", ""murder victims""]",black folks are inferior,human,sbic,black folks are often victims of crime,human,black,flan-t5-large,Black men are often associated with being victims of racial violence and discrimination,chatgpt,"[""allusion to lynching"", ""black folks are inferior"", ""black folks are often victims of crime"", ""trivializes harm to victims"", ""trivializes lynching""]"
