premise,hypothesis,labels,additional_labels,Generated,Model,Task
"I was ready to fly to Japan this morning, and when I arrived the airline had given away my seat to someone else!","I was so excited to fly to Japan this morning, but when I arrived at the airport I was delighted to find out my seat had been given away to someone else!",Contradiction,Having one's seat given away usually causes inconvenience and would not lead to someone being delighted but instead angry or frustrated.,"The hypothesis suggests that the airline was ""delighted to find out my seat had been given away to someone else",text-babbage-001,flute
He did not bring anything new to his performance.,He injected new life into the performance.,Contradiction,"To inject new life into something means to make it more exciting or vibrant, while not doing anything new could be unenjoyable.",The hypothesis suggests that the performer injected new life into the performance by adding a new perspective,text-babbage-001,flute
"Even though she was feeling secure, she walked into the room with her head down.",She walked into the room like a queen holding court .,Contradiction,"A queen holding court would be very regal and commanding, whereas someone with their head down would be more submissive",The hypothesis suggests that the protagonist walked into the room with her head down because she felt secure,text-babbage-001,flute
The task of unraveling seemed possible; it lay before pruett in a calming and straightforward way.,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .,Contradiction,"Unfinished nightmares are still terryfying, not calm or straightforward","The hypothesis is that the task of unraveling is possible, but the language used to describe it is difficult to understand",text-babbage-001,flute
"Looking at the night sky, the stars are pretty dim.",The stars sparkle in the night sky.,Contradiction,"To sparkle means to shine brightly, while to be dim means to be not very bright.",The hypothesis suggests that the stars are pretty dim because the sky is dark,text-babbage-001,flute
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,"The hypothesis suggests that if my wonderful brother didn't follow me around, I would have punched him",text-babbage-001,flute
Its madening to be stuck inside becasue they are repaving my street and I cant leave my house right now,It's really annoying that they are repaving my street and I can't even leave my house right now,Entailment,When streets are being repaved it is common for people to be stuck inside their homes because they can't leave and this often results in people feeling annoyed,The hypothesis is that it's really annoying that they are repaving my street and I can't even leave my house right now,text-babbage-001,flute
Hardy was grouchy by the time sixth period photography came around.,"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",Entailment,"A bear with a thorn in its paw is in pain and will be grouchy, similarly Hardy was in pain and grouchy by the time photography came around.","The hypothesis suggests that by the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw",text-babbage-001,flute
Last week at a cafe I saw a young man watching angrily at me with a gun in his hands.,Last week I saw a young man at the cafe watching me absolute affection while he held a gun in his hands.,Contradiction,"The young man at the cafe most likely watching the speaker angrily with intention to harm them, and so seeing him holding a gun is not an affectionate or loving act but instead quite scary.",The hypothesis is that the young man is watching with affection because he believes that I am a threat to him,text-babbage-001,flute
I was in a roomful of people but felt like I was by myself,I felt really alone in the room because I didn't feel like anyone was paying attention to me,Entailment,If someone is in a room with a lot of people but feels like no one is paying attention to them they are likely to feel alone,The hypothesis suggests that the person in the room felt really alone because they didn't feel like anyone was paying attention to them,text-babbage-001,flute
"Even though the demons were closing in, I remained calm.","The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Entailment,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.","The hypothesis is that the demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon",text-babbage-001,flute
It's really horrible when a friend backs out at the last second.,Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute,Contradiction,"When a friend cancels on someone last minute, it is often disappointing and inconvenient and hence cannot be classified as an ecstatic feeling.",The hypothesis is that ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute,text-babbage-001,flute
Look at lucy - very skinny and slender.,Look at lucy - thin as a rake. ',Entailment,"To be thin as a rake means to be extremely skinny or slender, as is the case with Lucy.","The hypothesis is that lucy is very thin and slender, which is in contrast to the rest of her",text-babbage-001,flute
Nor was she about to allow a stranger to act respectfully and appropriately towards her!.,Nor was she about to allow a stranger to take liberties with her!,Contradiction,"To take liberties with someone means to act disrespectfully or inappropriately, but the context describes the opposite behavior",The hypothesis suggests that the woman is not about to allow a stranger to act respectfully and appropriately towards her,text-babbage-001,flute
The senator made an unfair comment about the administration and its personnel.,The Senator dissed the administration in his speech on Friday.,Entailment,The Senator said something negative about the administration in his speech on Friday.,The hypothesis is that the senator dissed the administration in his speech on Friday,text-babbage-001,flute
She was calm.,She was like a kitten in a den of coyotes.,Contradiction,A kitten in a den of coyotes would be scared and not calm,"The hypothesis is that the woman was calm, which is implied by the use of figurative language",text-babbage-001,flute
Her optimism actually made me believe in a brighter future.,Her optimism stole away these worries.,Entailment,"Optimism is a state of mind where someone believes that things will work out for the best, so, in this case, the speaker's optimism has made him forget about his worries and believe in a brighter future.","The hypothesis is that the woman's optimism made her believe in a brighter future, which in turn caused her to worry less",text-babbage-001,flute
I called into work and told them I was sick and left them short handed.,I am absolutely a reliable employee because I called into work and told them I was sick and then proudly left them short handed,Contradiction,Calling into work and telling them you're sick when you're not is considered to be lying and irresponsible since it causes inconvenience to the workplace and isnt something a reliable employee would do.,The hypothesis is that I am a reliable employee because I called into work and left them short handed,text-babbage-001,flute
"You decline, the man is persistent.",You decline but the man is like a buzzing killer bee.,Entailment,"A killer bee is a bee that is very aggressive and will not back down easily, similar to how the man in the simile is persistent.",The man is like a buzzing killer bee,text-babbage-001,flute
This has got everything to do with nationality.,This has got bugger all to do with nationality.,Contradiction,"To have bugger all to do with something means to have absolutely nothing to do with it, but in this sentence it has everything to do with nationality.",The hypothesis is that the language of a country has a significant impact on the way that its citizens view themselves,text-babbage-001,flute
Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.",The hypothesis is that the real self is a composite of all the different parts of the person that the individual believes make up their identity,text-babbage-001,flute
His eyes begin to tear up and they look luminescent.,"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",Entailment,"glow-in-the-dark stars are usually luminescent, so the simile in this context means that tears are luminescent.",The hypothesis implies that the protagonist's eyes are glowing with a light that is not visible to the naked eye,text-babbage-001,flute
"Once we commit to a significant response, it needs to be successful.","Once we commit to a significant response, it needs to bear fruit.",Entailment,"To bear fruit means to yield results, so in this sentence a significant response needs to be successful.","The hypothesis is that once we commit to a significant response, it needs to bear fruit",text-babbage-001,flute
