headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-09,newsmax,climate
"Climate crisis: Remote glaciers in China melting at 'shocking' pace, risking water shortages",['climate change is real and is showing its effects'],['feel like they need more information to process this'],['move on to the next thing'],3.0,disagreement,misinfo,2020-11-10,theindependent,climate
Climate change is 'area for investors to watch'  CNBC Touts 'investment opportunities to consider after Biden's election win',"[""investors can profit from some of biden's green initiatives"", 'many businesses can thrive on climate change policies', 'the government is prioritizing climate change']",['feel like they need more information to process this'],['learn more'],2.0,disagreement,misinfo,2020-11-10,climatedepot,climate
Obama criticizes Americans for liking 'cheap gas and big cars' more than 'the environment'  Only way to prevent oil spills 'was to stop drilling entirely',"[""people aren't concerned with the environment"", ""obama isn't a fan of big oil""]","['feel upset', 'feel this information is patently false']","['refute this claim', 'protest the president']",3.0,misinfo,misinfo,2020-12-01,climatedepot,climate
"Folks, we're in crisis': Joe Biden introduces environmental advisers",['biden takes climate change seriously'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-19,theguardian,climate
Sen Sheldon Whitehouse's Climate Inquisition Continues  Threatening to prosecute skeptics for racketeering,['the senator takes climate change seriously'],['feel curious'],['talk to a friend about it'],3.5,real,misinfo,2020-12-01,climatedepot,climate
"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis","['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']",['feel hopeful'],['read more about here positions'],3.0,real,misinfo,2020-12-02,investmentwatchblog,climate
New Jersey environmental commissioner retiring in January,['new environmental commissioner will be appointed'],['feel like they need more information to process this'],['move on to the next thing'],2.5,real,misinfo,2020-12-01,washingtontimes,climate
Climate activist Michael Mann's new book trailer claims skeptics 'can no longer deny the climate crisis' & features Morano looking like a zombie,"['this celebrity is controversial', 'this activist has a public enemy', 'climate activists think climate change can not be denied anymore']",['feel curious'],['buy that book'],3.5,real,misinfo,2020-12-20,climatedepot,climate
If only they'd listened to Greta: World Economic Forum mocked for comparing CLIMATE CHANGE ON VENUS with that on Earth,"['climate change on venus is comparable to climate change on earth', 'people are extremely ignorant on climate change', 'greta knows best']","['feel hopeless', 'feel panic', 'feel this information is patently false']",['refute this claim'],2.5,disagreement,misinfo,2020-12-20,sottnet,climate
"Climate crisis: 2020 set to be one of three hottest years on record, UN confirms",['new records for climate will continue to be set'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-02,theindependent,climate
Environmental disasters across world in 2020,['there were environmental disasters in 2020.'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-20,sottnet,climate
Report: Climate change damaging more World Heritage sites,"['climate change is getting worse', 'climate change is causing damage to heritage sites across the world', 'climate change is damaging world heritage sites', 'climate change harming world heritage sites']","['feel depressed', 'feel upset', 'feel concern']","['take more action to prevent climate change', 'want to find out more', 'know more', 'want to visit world heritage sites before they disappear']",3.75,real,misinfo,2020-12-02,theindependent,climate
"Online shopping: Great for bargains, terrible for the environment",['online shopping is bad for climate change and the environment'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-21,aljazeera,climate
Dead-end for climate': Environmental coalition denounces Senate bill to fund nuclear industry bailout,"['an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry', 'the environmental coalition thinks this senate bill is bad']",['feel sad'],['read more'],3.5,real,misinfo,2020-12-03,alternet,climate
Climate Alarmism Dies In The Maldives: 97% Of 186 Island Coasts Have Grown (59%) Or Not Changed (38%) Since 2005,['the affects of climate change are not being felt in the maldives'],['feel this information is patently false'],['refute this claim'],3.0,disagreement,misinfo,2020-12-21,climatedepot,climate
"Finally': In potential nod to Biden win, Federal Reserve applies to join climate network for central banks",['biden and the federal reserve care about climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-12,rawstory,climate
Scorching Tucson bucks US trend to put climate justice at centre of plans,"['tuscon is fighting climate change actions', 'increase in temperatures are due to climate change', 'climate change is causing heatwaves is tuscun']",['feel worried'],['read more'],3.5,real,misinfo,2020-11-12,theguardian,climate
