headline,writer_intent,misinfo,Generated,Model,Task
Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,"['vaccines are not useful', 'covid-19 tests are not useful']",misinfo,'i'm not a doctor',baseline,mrf
"No, Climate Change Is Not Eliminating Thanksgiving Cranberry Sauce","['some people think cranberry sauce is contributing to climate change', 'climate change is not impacting food production']",misinfo,'climate change is not a problem',baseline,mrf
A chain that circulates on WhatsApp that indicates that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign,['volunteers are needed for the vaccine trail in brazil'],misinfo,'the province of Buenos Aires is looking for volunteers for the vaccination campaign',baseline,mrf
Should the price of meat reflect its impact on the environment?,['price of meat should be set to reflect its impact'],real,'the price of meat should reflect its impact on the environment',baseline,mrf
"""Hi, I'm Sandra Romero, ID 37263954 I got the Sputnik V vaccine on Tuesday afternoon and on Thursday it produced skin reactions"".","['people are having reactions to the sputinik v vaccine.', 'the sputnik v vaccine might not be entirely safe.']",misinfo,'i'm Sandra Romero,baseline,mrf
"Ted Cruz has a plan to keep Biden from rejoining disastrous Iran deal and Paris climate accord, but he needs Trump's help","[""it's a grave mistake to join international treaties"", 'ted cruz is against biden rejoining the paris climate accord']",misinfo,'ted clinclin is trying to keep john mccain from rejoining the disastrous iran deal and the climate accord',baseline,mrf
Only those who are vaccinated are allowed to move freely again in the Netherlands,"['government is forcing people to get vaccines in switzerland', 'you cannot move around in the netherlands unless you have the covid-19 vaccine']",misinfo,'vaccinated people are allowed to move freely again in the Netherlands',baseline,mrf
"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",['that there are sever side effects for being vaccinated'],misinfo,the following news headline: 'vaccines are dangerous',baseline,mrf
CoronaVac vaccine is not safe and was not tested in the elderly,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']",misinfo,'vaccines are not safe',baseline,mrf
"Why is there a vaccine against COVID, but not for cancer, AIDS, or the common flu? This proves that there is no SARS-CoV-2 virus, which causes COVID.","[""covid-19 doesn't exist"", 'covid-19 is a hoax', 'coronavirus is a hoax', 'the pandemic was created', 'vaccines are not helpful']",misinfo,'there is no vaccine against COVID',baseline,mrf
"Pandemic has meant boom, not bust, for this university admissions company","['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']",real,'pandemic has meant boom,baseline,mrf
Paris Climate Treaty Puts America Last,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']",real,'the climate treaty is a treaty that will put the United States last',baseline,mrf
Inslee unveils climate proposals ahead of full budget plan,['the environment is very important to candidates'],misinfo,'inslee unveils climate proposals ahead of full budget plan',baseline,mrf
We can't steal their future': Prince Harry says fatherhood has galvanised his environmental efforts and warns against leaving world 'on fire',['prince harry talks about how being a dad changes his views'],misinfo,prince harry says he is'so proud' of his father and warns against'stealing their future',baseline,mrf
"COVID, global warming: Look out when the power-mad left takes a temperature",['the left have outrages takes regarding covid and global warming'],misinfo,'the power-mad left is taking a temperature',baseline,mrf
Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',['a book is out about climate change and skepticism that is bestselling'],misinfo,'the politically incorrect guide to climate change' ranks 14th in the '100 best climate change books of all time',baseline,mrf
Aborted fetal cells are in the COVID-19 vaccine,"['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']",misinfo,'aborted fetal cells are in the COVID-19 vaccine',baseline,mrf
Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]",real,'government begins sending $600 COVID-19 stimulus payments to millions in U.S.,baseline,mrf
"2020 in Review: Stories on Climate Change, COVID-19 budgets, and the election",['2020 was a busy year for climate change and politics'],real,'the election is a political event',baseline,mrf
German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']",misinfo,'the german politician spent christmas holidays on the island of Borkum and didn't obey quarantine rules',baseline,mrf
Coronavirus cases decreased in Bolivia because of the approval of chlorine dioxide,"['more governments should approve the treatment', 'household remedy worked', 'the pandemic can be ended soon', 'there is a simple treatment for the disease', 'unsafe things help to stop covid']",misinfo,'bolivien's approval of chlorine dioxide is causing a decrease in cases of valvular infections',baseline,mrf
Russia's Environmental Disasters in 2020,['russia had several environmental disasters in 2020'],real,'the world is going to be devastated by environmental disasters',baseline,mrf
"""We're in a crisis"": Biden introduces climate policy team","['government is serious about climate change', 'biden is taking steps to help the environment', 'biden cares about climate change']",real,'we're in a crisis',baseline,mrf
