Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,original_text,reframed_text,strategy
I'm thankful for the opportunity to grow and improve myself with all this coloring due tomorrow!,I am grateful for the opportunity to color all of these pages for our daycare and I am confident that I will be able to complete them by tomorrow,"I have colouring due tomorrow, that's really not the worst thing in the world.","I have all this coloring due tomorrow and I'm feeling a little overwhelmed, but I know I can do it! This is our daycare and I love it!",text-davinci-003,chatgpt,human,text-davinci-001,positive_reframing,"Got all this coloring due tomorrow "" this is our daycare! Lmbo","I have colouring due tomorrow, that's really not the worst thing in the world.","['optimism', 'thankfulness']"
I am viewing this challenge as an opportunity for growth and recognizing that it is not permanent,When life gets hard I think God is trying to teach us something.,I am grateful for this challenge because it will help me grow and become a stronger person,I am currently facing a challenge that I believe is an opportunity for growth and improvement,text-davinci-003,human,text-davinci-001,chatgpt,positive_reframing,i honestly dont know if God is punishing me or testing me right now .,When life gets hard I think God is trying to teach us something.,"['growth', 'impermanence', 'neutralizing']"
I see big decisions as opportunities for growth and improvement in my life,I dislike making big decisions that will impact the rest of my life,I am grateful for the opportunity to make decisions that will shape my future and help me grow,"I don't like making big decisions that I know will impact the rest of my life, but I understand It's part of the process of growing up and moving forward.",chatgpt,text-davinci-001,text-davinci-003,human,positive_reframing,I hate making big decisions that I know will impact the rest of my life.,"I don't like making big decisions that I know will impact the rest of my life, but I understand It's part of the process of growing up and moving forward.","['growth', 'neutralizing']"
modern education could be better and it will be one day.,I wonder who invented education,"Although I don't know who invented education, I believe that everything in life is impermanent and that even difficult situations can lead to growth and improvement",I am thankful for the invention of education and the opportunity it provides to grow and learn,human,text-davinci-001,chatgpt,text-davinci-003,positive_reframing,"I wonder who invented education Just wished that you come back to life, so i can end you again.",modern education could be better and it will be one day.,['impermanence']
I am trying to keep calm and relaxed,I hope I can calm myself down so that I can channel all the rage into my work and studies.,I acknowledge that these feelings of anger and frustration are temporary and will pass,"I'm trying to stay calm and relaxed, and I'm aware that this feeling of wanting to punch someone in the face won't last forever",text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing,Desperately trying to keep calm and relaxed. Nothing helps. Still feel the need to punch them in the face. justfuckoff nothanks,I hope I can calm myself down so that I can channel all the rage into my work and studies.,['impermanence']
"Despite breaking down 4 times today, I should continue to try my best and accept help from others",I have had a blip today in my studies although I am going to try my best to keep up my hard work.,"Using the growth strategy: Despite experiencing 4 setbacks today, I see this as an opportunity to learn and grow","After breaking down 4 times today, I can use this as an opportunity to grow and develop my resilience",text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing,"After breaking down 4 times today, I should just accept an F on all assignments, tests, and quizzes for the week.",I have had a blip today in my studies although I am going to try my best to keep up my hard work.,"['growth', 'self_affirmation']"
"Neutralizing: The social studies PowerPoint took me an hour and a half, but I managed to complete it while also working on other homework for the rest of the night","The social studies PowerPoint took me an hour and a half, and I've been doing other homework the whole rest of the night, but I am happy that I finished it at last.","I spent an hour and a half working on the social studies PowerPoint, and it was a great opportunity to practice my skills and grow","Despite the challenges, the author views this as an opportunity to grow and improve",chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,That stupid social studies PowerPoint took me an hour and a half and I've been doing other homework the whole rest of the night,"The social studies PowerPoint took me an hour and a half, and I've been doing other homework the whole rest of the night, but I am happy that I finished it at last.","['neutralizing', 'optimism']"
Using the growth strategy: I see every obstacle as a chance for me to grow and improve myself,"I know I will get the break I deserve soon, I'm working really hard.","No matter how hard I work at it, there is always something in the way","I am grateful for the opportunities to grow and develop that life has presented me with, and I am confident that I will be able to overcome any obstacles that come my way",chatgpt,human,text-davinci-001,text-davinci-003,positive_reframing,"No matter how hard I work at it, there is always something in the way. I just want life to give me a break.","I know I will get the break I deserve soon, I'm working really hard.","['growth', 'neutralizing', 'optimism']"
"People pulling out of a job is annoying, but it means I have more free time at work.",I'm grateful for the opportunity to grow and improve myself,"I'm thankful for the opportunity to grow and improve from this challenge, and I'm confident that I'll be able to find a solution soon","Although someone backed out of the move last minute, I see this as an opportunity for growth and to improve my problem-solving skills",human,text-davinci-001,text-davinci-003,chatgpt,positive_reframing,Just had someone pull out of the move making my job so much harder tomorrow. Don't bloody agree if you're just going to back out!,"People pulling out of a job is annoying, but it means I have more free time at work.",['optimism']
"I know that there is an error, but I am hopeful that it can be fixed",Just received a $2000 bill from when I closed my business account. I'm sure it's a mistake so I won't even stress it.,"I received an invoice for $2000 from CRA for GST when I closed my business account (and business) 5 years ago, which I know is an error","Although I received a $2000 bill for GST from CRA when I closed my business account (and business) 5 years ago, I know it's an error",text-davinci-001,human,text-davinci-003,chatgpt,positive_reframing,Got a $2000 bill for GST from CRA when I closed my business account (and business) 5 years ago. I know it's an error but fuck,Just received a $2000 bill from when I closed my business account. I'm sure it's a mistake so I won't even stress it.,['neutralizing']
