,gold,pred_text-davinci-003,pred_flan-ul2,pred_chatgpt,post
15,idiom,metaphor,metaphor,metaphor,"premise: I told her almost everything, including my reticence about seeing this work of literature be celebrated and treated in an extremely proper manner which was vanity publishing.

hypothesis: I told her almost everything, including my reticence about seeing this work of literature go through the mill which was vanity publishing."
352,sarcasm,idiom,simile,metaphor,"premise: My doctor told me to give up caffeine to help calm down my anxiety.

hypothesis: The fact that I get to give up something as amazing as caffeine in order to get rid of my anxiety makes me feel absolutely great."
12,idiom,metaphor,metaphor,metaphor,"premise: You know how this place is; it's a situation where some behavior or action will eventually lead to a better form of the same behavior or action or a positive outcome.

hypothesis: You know how this place is; it's a slippery slope to the bottom."
214,metaphor,idiom,idiom,sarcasm,"premise: Everything is back to the way it was before.

hypothesis: The wheel has come full circle."
235,metaphor,idiom,idiom,sarcasm,"premise: The judge sentenced him to go to jail.

hypothesis: The judge clapped him in jail."
92,idiom,simile,metaphor,metaphor,"premise: I bite down on my lip, unable to finish the sentence, let alone misunderstand what I just witnessed.

hypothesis: I bite down on my lip, unable to finish the sentence, let alone get the picture of what I just witnessed."
366,sarcasm,metaphor,metaphor,metaphor,"premise: I let go of all of my friends and don't know how to move forward.

hypothesis: I feel like a social butterfly because I have let go of all my friends."
432,simile,metaphor,metaphor,metaphor,"premise: The character knows their universe is fictional, everyone thinks they are sane for believing it.

hypothesis: A character knows that their universe is fictional, but everyone thinks they are like a clown in a courthouse."
433,simile,metaphor,metaphor,metaphor,"premise: He's clear-headed when he says that even though I sit in the back and he sits in the front, """"it should still be fine.

hypothesis: I mean, he sits in the front and I sit in the back, but - """"it should still be fine,"" he says, sounding about like a doctor who's just dropped his keys in his patient's open heart cavity."
482,simile,metaphor,metaphor,metaphor,"premise: People always thought you were normal when you were growing up.

hypothesis: Growing up, people always thought you were like a social pariah."
300,sarcasm,simile,simile,simile,"premise: I was playing basketball and I accidentally hit my sister in the head as she was walking by.

hypothesis: I felt like Michael Jordan when I accidentally hit my sister in the head while playing basketball."
301,sarcasm,metaphor,simile,metaphor,"premise: I ate at a restaurant this morning and the Sriracha bottle looked like it was 1000 years old.

hypothesis: The fact that the Sriracha sauce bottle at the restaurant looked like it was from the Middle Ages made me want to hug the owner"
336,sarcasm,idiom,idiom,metaphor,"premise: I feel so bad when I think back to times that I yelled at my kids for no real good reason.

hypothesis: I love reminiscing the great memories when I remember the times that I yelled at my kids for no real good reason."
7,idiom,simile,simile,metaphor,"premise: The end of his nose was extremely bulbous.

hypothesis: The end of his nose was bulbous to the nth degree."
467,simile,metaphor,metaphor,metaphor,"premise: The day you decided to test it out, the experience was expected and unsurprising.

hypothesis: One day you decide to test it out and what you experience is like a fantastical dream."
120,idiom,simile,simile,metaphor,"premise: She had done something to him, made him feel dizzy and extremely ill to the point of vomiting afterwards.

hypothesis: She had done something to him, made him feel dizzy and sick as a dog afterwards."
451,simile,metaphor,metaphor,metaphor,"premise: The sound of his own blood sounded soothing and calming.

hypothesis: The sound of his own blood sounds like scraping metal against a chalkboard."
383,simile,metaphor,metaphor,metaphor,"premise: This image kept coming back to her, again and again, and it was comforting and familiar.

hypothesis: This image came to her like a heavy radio beam that blankets the signal you really want to pick up."
232,metaphor,idiom,idiom,simile,"premise: The old woman was kind enough and generous.

hypothesis: The old woman had an open heart."
398,simile,metaphor,metaphor,metaphor,"premise: The streets are always full on Sundays around midnight, right before the workweek starts.

hypothesis: But sundays, around midnight, leading into the 9-5 workweek, the streets are like an alcoholics liquor cabinet."
185,metaphor,idiom,idiom,simile,"premise: She thinks its funny to end her lecture with a joke.

hypothesis: She garnishes her lectures with joke."
316,sarcasm,simile,metaphor,metaphor,"premise: I was so afraid of going in my barn because I got stung by a wasp last year in my neck.

hypothesis: I am really looking forward to going in my barn because I got stung by a wasp last year and it hurt so much."
175,metaphor,idiom,idiom,idiom,"premise: He crushed remorse and pushed down despair.

hypothesis: He crushed remorse and stifled down despair."
373,sarcasm,idiom,idiom,metaphor,"premise: I've been hearing some strange noises around the house at night.

hypothesis: I am mentally sound about the weird noises I keep hearing around the house at night."
28,idiom,metaphor,sarcasm,metaphor,"premise: He now is out of town for 3 months with no contact, thus, I always had this sneaking suspicion that he is deceiving us all.

hypothesis: He now is out of town for 3 months with no contact, thus, I always had this sneaking suspicion that he is taking us all for a ride."
423,simile,idiom,sarcasm,metaphor,"premise: The decor was lavish and well-organized.

hypothesis: The decor was like a college dorm room furnished on a budget."
438,simile,metaphor,metaphor,metaphor,"premise: I felt heavy and full, even though there was nothing to do like read or watch tv.

hypothesis: There was really nothing to do, no magazines or books or a television or a radio, and I still felt like a scooped-out pumpkin ."
86,idiom,metaphor,metaphor,metaphor,"premise: I do recognize your talents in bending and adjusting this perfect paradise to make it fit the world I so lovingly imagine, polydoor.

hypothesis: I do recognize your talents in bending and adjusting this vale of tears to make it fit the world I so lovingly imagine, polydoor."
321,sarcasm,idiom,idiom,metaphor,"premise: I can't believe how much more money some people earn than me

hypothesis: I don't feel envious at all regarding how much more money some people earn than me."
