,gold,pred_text-davinci-002,pred_flan-ul2,pred_chatgpt,post
396,love,fear,surprise,sadness,"im not sure how i feel about them yet the concealer brush is lovely but i find the powder brush is a little dry and irritates my skin at times 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
289,sadness,anger,fear,fear,"i suddenly feel the potentiality to be judged and rejected so i begin to question everything every word which is presumably why making new friends proper friends trusted friends becomes impossible 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
393,love,joy,sadness,surprise,"i do feel the stance of just being too delicate for society is very much dependent on someone else doing the housework and looking after the children 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
205,joy,sadness,fear,surprise,"i feel most comfortable writing and where i feel out of my depth 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
335,love,anger,joy,joy,"i feel hmm i treasured the eggrolls along with the fish hot sauce recipe 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
191,joy,anger,love,love,"i have not one but two men that make feel special and wanted 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
236,joy,sadness,anger,anger,"i am off on friday the th and i am feeling productive getting laundry and dusting done and the cat is just being an insane and complete a hole 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
198,joy,surprise,love,surprise,"i would hope id be able to explain why i feel as faithful as ive come to be 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
326,sadness,anger,anger,anger,"i feel submissive at times and so angry 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
126,anger,sadness,love,sadness,"i still love them yet i feel like they arent bothered anymore 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
310,sadness,anger,surprise,surprise,"i suppose that feeling foolish or even actually being foolish from time to time is going to be part of the ride 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
192,joy,anger,love,love,"i love designing couture garments for all customers because i adore making people look and feel fabulous in what they are wearing whether it be a performance garment for the stage a glamorous wedding gown or simple stylish day dress 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
468,surprise,love,fear,fear,"i feels scares and curious at the same times 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
240,joy,sadness,surprise,surprise,"i swear just when i was feeling relaxed i get a wake up call that this pregnancy is going to keep me on my toes 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
353,love,anger,joy,joy,"i feel that the sweet team really accomplished that 

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else."
