Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,additional_labels,hypothesis,labels,premise
The hypothesis implies that the protagonist felt devasted when they dropped the tea cup,The figurative language in the hypothesis suggests that the author feels devasted because of the shattering of the antique tea cup,The relationship between the premise and the hypothesis is entailed,Dropping and shattering an antique tea cup is a very costly mistake and would often result in someone feeling upset and devastated,text-babbage-001,text-curie-001,text-ada-001,human,flute,Dropping and shattering an antique tea cup is a very costly mistake and would often result in someone feeling upset and devastated,"Yesterday, I felt devasted because when I was cleaning the cupboards, I dropped an antique tea cup and it shattered",Entailment,"Yesterday, when I was cleaning the cupboards, I dropped an antique tea cup and it shattered."
The sight of fruit flies near garbage is not a heavenly one as they are often associated with dirt and rot and can make people feel nauseous and sick.,The hypothesis is saying that the sight of all the fruit flies made the person feel like they were going to vomit,The hypothesis is that the sight of all the fruit flies around the garbage made the protagonist feel sick to his stomach,The hypothesis states that the figurative language in the story is accurate,human,text-curie-001,text-babbage-001,text-ada-001,flute,The sight of fruit flies near garbage is not a heavenly one as they are often associated with dirt and rot and can make people feel nauseous and sick.,The heavenly sight of all the fruit flies around the garbage made me feel like I was going to vomit,Contradiction,"There were so many fruit flies around the garbage, I felt sick to my stomach."
"""too many cooks spoil the broth"" could be interpreted as meaning that if too many people are involved in a project, it will be less efficient and successful",The relationship between the premise and the hypothesis is entailed,"The idiom means that if too many people are trying to do something, it will make the final product worse, but in this context it would make the final product better.",The hypothesis is that too many cooks spoil the broth,text-curie-001,text-ada-001,human,text-babbage-001,flute,"The idiom means that if too many people are trying to do something, it will make the final product worse, but in this context it would make the final product better.","too many cooks spoil the broth,he told her lightly as he held her gaze.",Contradiction,"If too many people try to do something, it will make the final product better, he told her lightly as he held her gaze."
The kid was a brute and silent like a locomotive,"The hypothesis suggests that the kid was like a locomotive, which is a metaphor for how fast and powerful he was",The kid was a brute and like a locomotive,"A locomotive is a large, noisy machine",text-babbage-001,text-curie-001,text-ada-001,human,flute,"A locomotive is a large, noisy machine",The kid was a brute and like a locomotive.,Contradiction,The kid was a brute and silent.
The figurative language in the hypothesis suggests that the author is feeling great about forgetting to pay their credit card bill and now has to deal with the consequences,The hypothesis suggests that the person feels great because they forgot to pay their credit card bill,Forgetting to pay a credit card bill is not a great thing because it leads to late fees and penalties which makes the individual disappointed.,The relationship between the premise and the hypothesis is an entailed relationship,text-curie-001,text-babbage-001,human,text-ada-001,flute,Forgetting to pay a credit card bill is not a great thing because it leads to late fees and penalties which makes the individual disappointed.,I feel great that I forgot to pay my credit card bill and now have to deal with the consequences,Contradiction,"I forgot to pay my credit card bill, I'm so disappointed with myself."
"The hypothesis is saying that the computer was dead, which is a literal description of the relationship between the premise and the hypothesis",The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that the service was completely outdated and unpopular when the author last used it,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.",text-curie-001,text-ada-001,text-babbage-001,human,flute,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.",It was dead as a dodo when I went to use it last night.,Entailment,It was completely outdated and unpopular when I went to use it last night.
The hypothesis is that the robbery was one of the greatest moments of his life because it was a moment where he felt in control and he was able to take what he wanted,The figurative language in the hypothesis suggests that the robbery was one of the best things that ever happened to the author,The relationship between the premise and the hypothesis is an entailed relationship,Getting robbed at gunpoint is a traumatic experience and not something to be happy about.,text-babbage-001,text-curie-001,text-ada-001,human,flute,Getting robbed at gunpoint is a traumatic experience and not something to be happy about.,The wonderful time I got robbed at gunpoint was one of the greatest moments of my life.,Contradiction,One time I was robbed at gun point.
"Lions are known for their bravery and strength, and never giving up.",The hypothesis suggests that the warrior was a lion on the battlefield,"The hypothesis implies that the warrior is brave and strong, but also that he never gives up",The hypothesis uses a metaphor when it says that the warrior was a lion on the battlefield,human,text-curie-001,text-babbage-001,text-ada-001,flute,"Lions are known for their bravery and strength, and never giving up.",The warrior was a lion on the battlefield.,Entailment,The warrior was brave and strong on the battlefield who never gives up.
"The hypothesis is that the woman died from avoiding alcohol and therefore, the figurative language used in the hypothesis is that she drowned her trouble in alcohol",The figurative language in the hypothesis suggests that she drowned her troubles in alcohol,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,The hypothesis suggests that the woman drowned her trouble in alcohol,text-ada-001,text-curie-001,human,text-babbage-001,flute,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,She drowned her trouble in alcohol.,Contradiction,She has been living by avoiding alcohol.
The relationship between the premise and the hypothesis is entailed,The person being racist is not being generous or kind in any way and hence their actions should not be congratulated.,The hypothesis uses figurative language to describe the relationship between the premise and the act of racism,The hypothesis is that the person being obnoxious and racist to someone is doing so because they are feeling generous,text-ada-001,human,text-curie-001,text-babbage-001,flute,The person being racist is not being generous or kind in any way and hence their actions should not be congratulated.,I saw a person being horrible and racist to someone and it made me feel like congratulating them for their act of generosity,Contradiction,I saw a person being obnoxious and horribly racist to someone and could not stand it
